ica_mode,participant,target,modality,classifier,feature_count_request,ica_feature_count_resolved,ica_folds,ica_balanced_accuracy_mean,ica_balanced_accuracy_sd,ica_balanced_accuracy_median,ica_balanced_accuracy_min,ica_balanced_accuracy_max,ica_accuracy_mean,ica_precision_mean,ica_recall_mean,ica_f1_mean,no_ica_mode,no_ica_feature_count_resolved,no_ica_folds,no_ica_balanced_accuracy_mean,no_ica_balanced_accuracy_sd,no_ica_balanced_accuracy_median,no_ica_balanced_accuracy_min,no_ica_balanced_accuracy_max,no_ica_accuracy_mean,no_ica_precision_mean,no_ica_recall_mean,no_ica_f1_mean,balanced_accuracy_delta,accuracy_delta,analysis_row,is_ica_best_all,is_no_ica_best_all,is_ica_best_eeg_containing,is_no_ica_best_eeg_containing
individual,P01,arousal,face,svm,10,10,5,0.6065079365079364,0.1016018714750175,0.6150793650793651,0.4880952380952381,0.7285714285714285,0.6514492753623189,0.6759491978609626,0.8152380952380952,0.7369946587299202,individual,10,5,0.6065079365079364,0.1016018714750175,0.6150793650793651,0.4880952380952381,0.7285714285714285,0.6514492753623189,0.6759491978609626,0.8152380952380952,0.7369946587299202,0.0,0.0,matched_configuration,False,False,False,False
individual,P01,arousal,face,svm,20,10,5,0.6065079365079364,0.1016018714750175,0.6150793650793651,0.4880952380952381,0.7285714285714285,0.6514492753623189,0.6759491978609626,0.8152380952380952,0.7369946587299202,individual,10,5,0.6065079365079364,0.1016018714750175,0.6150793650793651,0.4880952380952381,0.7285714285714285,0.6514492753623189,0.6759491978609626,0.8152380952380952,0.7369946587299202,0.0,0.0,matched_configuration,False,False,False,False
individual,P01,arousal,face,svm,5,5,5,0.6011111111111112,0.0761152075299959,0.6142857142857143,0.5222222222222223,0.7142857142857143,0.6605072463768116,0.6655329611908559,0.8866666666666667,0.7589137399431517,individual,5,5,0.6011111111111112,0.0761152075299959,0.6142857142857143,0.5222222222222223,0.7142857142857143,0.6605072463768116,0.6655329611908559,0.8866666666666667,0.7589137399431517,0.0,0.0,matched_configuration,False,False,False,False
individual,P01,arousal,face,svm,all,all,5,0.6065079365079364,0.1016018714750175,0.6150793650793651,0.4880952380952381,0.7285714285714285,0.6514492753623189,0.6759491978609626,0.8152380952380952,0.7369946587299202,individual,all,5,0.6065079365079364,0.1016018714750175,0.6150793650793651,0.4880952380952381,0.7285714285714285,0.6514492753623189,0.6759491978609626,0.8152380952380952,0.7369946587299202,0.0,0.0,matched_configuration,True,False,False,False
individual,P01,arousal,multimodal,gnb,10,10,5,0.5826617826617826,0.1100856776256882,0.6150793650793651,0.4007936507936508,0.6837606837606838,0.6086956521739131,0.6447478991596639,0.7208791208791209,0.6750574712643678,individual,10,5,0.6086080586080586,0.0718014644834661,0.6150793650793651,0.4920634920634921,0.6837606837606838,0.6351778656126482,0.6695098039215687,0.7505494505494505,0.7012479474548441,0.025946275946275965,0.026482213438735136,matched_configuration,False,False,False,False
individual,P01,arousal,multimodal,gnb,20,20,5,0.5943223443223443,0.1101513818465488,0.5793650793650793,0.4563492063492064,0.7564102564102564,0.6177865612648221,0.6599206349206349,0.721978021978022,0.68062026334503,individual,20,5,0.5948717948717949,0.1037818267815618,0.5992063492063493,0.4563492063492064,0.7393162393162394,0.6177865612648221,0.6579059829059829,0.7230769230769232,0.6785768406119521,0.0005494505494505475,0.0,matched_configuration,False,False,True,False
individual,P01,arousal,multimodal,gnb,5,5,5,0.5781440781440781,0.0835036745170255,0.5793650793650793,0.4523809523809523,0.6837606837606838,0.608300395256917,0.6507002801120448,0.7340659340659341,0.6884072249589491,individual,5,5,0.5858363858363858,0.0884337055354615,0.5793650793650793,0.4523809523809523,0.6837606837606838,0.6173913043478261,0.6548669467787115,0.7494505494505495,0.6972742200328408,0.007692307692307665,0.009090909090909038,matched_configuration,False,False,False,False
individual,P01,arousal,multimodal,gnb,all,all,5,0.5241758241758242,0.133606109371534,0.5897435897435898,0.3452380952380952,0.6388888888888888,0.5458498023715415,0.6158764111705288,0.6483516483516484,0.6175302210645829,individual,all,5,0.5310744810744812,0.1188675417091786,0.5170940170940171,0.3809523809523809,0.7103174603174603,0.5628458498023715,0.626283422459893,0.7065934065934066,0.6530266055783297,0.006898656898656985,0.016996047430830052,matched_configuration,False,False,False,False
individual,P01,arousal,multimodal,knn,10,10,5,0.5000610500610501,0.1360256463686515,0.5299145299145299,0.2698412698412698,0.6282051282051282,0.5371541501976285,0.5915363068304245,0.689010989010989,0.6341368309110245,individual,10,5,0.5034798534798535,0.1161896703987299,0.5512820512820513,0.3055555555555556,0.5854700854700855,0.5367588932806324,0.6026470588235294,0.6736263736263737,0.6337471264367817,0.0034188034188034067,-0.00039525691699604515,matched_configuration,False,False,False,False
individual,P01,arousal,multimodal,knn,20,20,5,0.5017704517704518,0.120481177953193,0.5341880341880342,0.3055555555555556,0.6111111111111112,0.5549407114624506,0.5946783625730994,0.7813186813186813,0.671494000067415,individual,20,5,0.5197191697191696,0.0698521822208321,0.5128205128205128,0.4166666666666666,0.5897435897435898,0.5632411067193676,0.6086192239133416,0.7505494505494505,0.6654442619959862,0.017948717948717885,0.008300395256916948,matched_configuration,False,False,False,False
