mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,rmse,mae,r2,explained_variance
general,COHORT,P40,valence,eeg,ridge,10,10,7,P10;P11;P19;P22;P25;P32;P42;P43;P45,1200,1080,120,2.1479557359562325,1.868214336997391,-0.0598793846632768,-0.03377543330152988
general,COHORT,P42,valence,eeg,ridge,10,10,8,P10;P11;P19;P22;P25;P32;P40;P43;P45,1200,1080,120,1.389916878776865,1.1996871770729431,-0.002158312283837338,-0.0021481378422252284
general,COHORT,P43,valence,eeg,ridge,10,10,9,P10;P11;P19;P22;P25;P32;P40;P42;P45,1200,1080,120,1.3209593151905137,1.0061744243061934,-0.0217983237117525,-0.021506589956579836
general,COHORT,P45,valence,eeg,ridge,10,10,10,P10;P11;P19;P22;P25;P32;P40;P42;P43,1200,1080,120,1.471045612030348,1.2292740211913236,-0.018640867395700367,0.006325137349253773
general,COHORT,P10,valence,eeg,ridge,20,20,1,P11;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.2756712666248364,1.7659905457040466,-0.4486098773846263,-0.028093558370477556
general,COHORT,P11,valence,eeg,ridge,20,20,2,P10;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.2989990684283295,1.9676933665241725,-0.1449201624576435,-0.12827274585970483
general,COHORT,P19,valence,eeg,ridge,20,20,3,P10;P11;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,1.6308548679672608,1.3293177898737993,-0.0230660713047377,0.021358199104445585
general,COHORT,P22,valence,eeg,ridge,20,20,4,P10;P11;P19;P25;P32;P40;P42;P43;P45,1200,1080,120,2.277773990921209,2.0559158076805706,-0.06998829476292823,0.0018788628926671436
general,COHORT,P25,valence,eeg,ridge,20,20,5,P10;P11;P19;P22;P32;P40;P42;P43;P45,1200,1080,120,1.8527005585072132,1.6755437556195858,-0.07007838706021374,-0.058684178810360255
general,COHORT,P32,valence,eeg,ridge,20,20,6,P10;P11;P19;P22;P25;P40;P42;P43;P45,1200,1080,120,1.581154284231343,1.2795391516019534,-0.11973822698581982,-0.1018663073154833
general,COHORT,P40,valence,eeg,ridge,20,20,7,P10;P11;P19;P22;P25;P32;P42;P43;P45,1200,1080,120,2.1468677445525204,1.8636653558198086,-0.058805947633213895,-0.028082049083854033
general,COHORT,P42,valence,eeg,ridge,20,20,8,P10;P11;P19;P22;P25;P32;P40;P43;P45,1200,1080,120,1.389857200020756,1.191565660715534,-0.002072254939778695,-0.0010555926855384534
general,COHORT,P43,valence,eeg,ridge,20,20,9,P10;P11;P19;P22;P25;P32;P40;P42;P45,1200,1080,120,1.3142913932935565,1.0126703752945085,-0.011508717717516825,-0.010670914140204157
general,COHORT,P45,valence,eeg,ridge,20,20,10,P10;P11;P19;P22;P25;P32;P40;P42;P43,1200,1080,120,1.48915439720528,1.2380146705845718,-0.04387446600332834,-0.023242747156551946
general,COHORT,P10,valence,face,knn,all,all,1,P11;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.2511399010266975,1.7696969696969698,-0.4175466558697849,-0.007589871758667988
general,COHORT,P11,valence,face,knn,all,all,2,P10;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.3628057981284503,2.037121212121212,-0.20935462198747912,-0.11547111515794639
general,COHORT,P19,valence,face,knn,all,all,3,P10;P11;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,1.7565305146896288,1.4272727272727272,-0.18681889267324792,-0.16505259885962986
general,COHORT,P22,valence,face,knn,all,all,4,P10;P11;P19;P25;P32;P40;P42;P43;P45,1200,1080,120,2.461661961830883,2.1863636363636365,-0.24972540167107327,-0.05337055245396227
general,COHORT,P25,valence,face,knn,all,all,5,P10;P11;P19;P22;P32;P40;P42;P43;P45,1200,1080,120,2.006240264773888,1.6719696969696969,-0.25478989413522135,-0.15813319864286113
general,COHORT,P32,valence,face,knn,all,all,6,P10;P11;P19;P22;P25;P40;P42;P43;P45,1200,1080,120,1.8147125993340703,1.5174242424242423,-0.4749717950240484,-0.29402784536090176
general,COHORT,P40,valence,face,knn,all,all,7,P10;P11;P19;P22;P25;P32;P42;P43;P45,1200,1080,120,2.140729947366357,1.8540715253475126,-0.05276044586715556,-0.032117956311710216
general,COHORT,P42,valence,face,knn,all,all,8,P10;P11;P19;P22;P25;P32;P40;P43;P45,1200,1080,120,1.4735968252224845,1.2575757575757578,-0.12646066096052855,-0.1221734652955977
general,COHORT,P43,valence,face,knn,all,all,9,P10;P11;P19;P22;P25;P32;P40;P42;P45,1200,1080,120,1.3830935103608157,1.1045454545454547,-0.1201840625022057,-0.11844184074600972
general,COHORT,P45,valence,face,knn,all,all,10,P10;P11;P19;P22;P25;P32;P40;P42;P43,1200,1080,120,1.4960692298472917,1.2416666666666667,-0.05359135769149437,-0.05299457437786903
general,COHORT,P10,valence,face,knn,5,5,1,P11;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.2159110334101824,1.746212121212121,-0.3735264592366079,-0.08911922521885285
general,COHORT,P11,valence,face,knn,5,5,2,P10;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,2.2895588854203255,2.015909090909091,-0.1355368917086337,-0.09556857405568353
general,COHORT,P19,valence,face,knn,5,5,3,P10;P11;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,1.7841319238674829,1.475,-0.22441032143894724,-0.19532067510921136
general,COHORT,P22,valence,face,knn,5,5,4,P10;P11;P19;P25;P32;P40;P42;P43;P45,1200,1080,120,2.4949949899749297,2.2416666666666667,-0.2837992667277729,-0.038024175068744226
general,COHORT,P25,valence,face,knn,5,5,5,P10;P11;P19;P22;P32;P40;P42;P43;P45,1200,1080,120,1.8876136785499928,1.6484848484848484,-0.11078845991786546,-0.10391509490507533
general,COHORT,P32,valence,face,knn,5,5,6,P10;P11;P19;P22;P25;P40;P42;P43;P45,1200,1080,120,1.7026959663190044,1.4303030303030302,-0.2985007985304884,-0.18788228377920224
general,COHORT,P40,valence,face,knn,5,5,7,P10;P11;P19;P22;P25;P32;P42;P43;P45,1200,1080,120,2.1071503611816835,1.8590909090909091,-0.019992184331641738,-0.015030131458276141
