mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,folds,balanced_accuracy_mean,accuracy_mean,macro_precision_mean,macro_recall_mean,macro_f1_mean,recall_low_mean,recall_neutral_mean,recall_high_mean,balanced_accuracy_sd
individual,P19,arousal,eeg,knn,all,all,5,0.32158730158730153,0.5083333333333333,0.2799299719887955,0.32158730158730153,0.2947237472959035,0.22380952380952382,0.740952380952381,0.0,0.04074142787849036
individual,P19,arousal,multimodal,knn,all,all,5,0.3206349206349206,0.4916666666666667,0.2925709996917427,0.3206349206349206,0.2960343226946643,0.2619047619047619,0.7,0.0,0.0787835840236722
individual,P19,arousal,eeg,knn,10,10,5,0.3142857142857142,0.5166666666666666,0.2686018968991105,0.3142857142857142,0.2865192213436995,0.16190476190476186,0.780952380952381,0.0,0.05748355226105338
individual,P19,arousal,multimodal,svm,10,10,5,0.30142857142857143,0.4916666666666667,0.2546825396825397,0.30142857142857143,0.2695256695116188,0.09999999999999999,0.7542857142857142,0.05,0.042637591661890656
individual,P19,arousal,face,svm,10,10,5,0.2965079365079365,0.5333333333333333,0.21573503917897505,0.2965079365079365,0.24855720030909523,0.02857142857142856,0.8609523809523809,0.0,0.030929987829618328
individual,P19,arousal,face,svm,20,10,5,0.2965079365079365,0.5333333333333333,0.21573503917897505,0.2965079365079365,0.24855720030909523,0.02857142857142856,0.8609523809523809,0.0,0.030929987829618328
individual,P19,arousal,face,svm,all,all,5,0.2965079365079365,0.5333333333333333,0.21573503917897505,0.2965079365079365,0.24855720030909523,0.02857142857142856,0.8609523809523809,0.0,0.030929987829618328
individual,P19,arousal,eeg,svm,10,10,5,0.2833333333333333,0.45,0.23254049445865302,0.2833333333333333,0.25142158557312816,0.03333333333333332,0.7,0.11666666666666665,0.05241100628920338
individual,P19,arousal,multimodal,knn,10,10,5,0.2828571428571428,0.45833333333333337,0.24732600732600735,0.2828571428571428,0.25735421441303796,0.1619047619047619,0.6866666666666668,0.0,0.0710607815090876
individual,P19,arousal,face,gnb,10,10,5,0.28095238095238095,0.4583333333333333,0.23488455988455986,0.28095238095238095,0.2530531478807341,0.061904761904761886,0.7142857142857142,0.06666666666666667,0.021236647873428063
individual,P19,arousal,face,gnb,20,10,5,0.28095238095238095,0.4583333333333333,0.23488455988455986,0.28095238095238095,0.2530531478807341,0.061904761904761886,0.7142857142857142,0.06666666666666667,0.021236647873428063
individual,P19,arousal,face,gnb,all,all,5,0.28095238095238095,0.4583333333333333,0.23488455988455986,0.28095238095238095,0.2530531478807341,0.061904761904761886,0.7142857142857142,0.06666666666666667,0.021236647873428063
individual,P19,arousal,multimodal,svm,5,5,5,0.266031746031746,0.475,0.21286043391306547,0.266031746031746,0.2315151515151515,0.02857142857142857,0.7695238095238095,0.0,0.04678637060810296
individual,P19,valence,face,svm,10,10,5,0.4311111111111111,0.5833333333333333,0.39942761945083927,0.4311111111111111,0.40713603425178374,0.36,0.7733333333333333,0.16,0.11156850301136756
individual,P19,valence,face,svm,20,10,5,0.4311111111111111,0.5833333333333333,0.39942761945083927,0.4311111111111111,0.40713603425178374,0.36,0.7733333333333333,0.16,0.11156850301136756
individual,P19,valence,face,svm,all,all,5,0.4311111111111111,0.5833333333333333,0.39942761945083927,0.4311111111111111,0.40713603425178374,0.36,0.7733333333333333,0.16,0.11156850301136756
individual,P19,valence,face,knn,5,5,5,0.4188888888888889,0.6,0.38687022042285196,0.4188888888888889,0.3932373522885856,0.22000000000000003,0.8266666666666665,0.21000000000000002,0.1887908242172855
individual,P19,valence,face,gnb,10,10,5,0.37222222222222223,0.4666666666666666,0.3909882927529986,0.37222222222222223,0.36945823560117214,0.36,0.5866666666666667,0.17,0.11069366025095152
individual,P19,valence,face,gnb,20,10,5,0.37222222222222223,0.4666666666666666,0.3909882927529986,0.37222222222222223,0.36945823560117214,0.36,0.5866666666666667,0.17,0.11069366025095152
individual,P19,valence,face,gnb,all,all,5,0.37222222222222223,0.4666666666666666,0.3909882927529986,0.37222222222222223,0.36945823560117214,0.36,0.5866666666666667,0.17,0.11069366025095152
individual,P19,valence,face,knn,10,10,5,0.3555555555555555,0.5083333333333333,0.3759869370395686,0.3555555555555555,0.3417100471461526,0.22999999999999998,0.7066666666666667,0.13,0.05746711351549222
individual,P19,valence,face,knn,20,10,5,0.3555555555555555,0.5083333333333333,0.3759869370395686,0.3555555555555555,0.3417100471461526,0.22999999999999998,0.7066666666666667,0.13,0.05746711351549222
individual,P19,valence,face,knn,all,all,5,0.3555555555555555,0.5083333333333333,0.3759869370395686,0.3555555555555555,0.3417100471461526,0.22999999999999998,0.7066666666666667,0.13,0.05746711351549222
