held_out_participant,architecture,train_rows,validation_rows,test_rows,best_epoch,best_validation_mse,validation_rmse,validation_mae,test_rmse,test_mae,dummy_validation_rmse,dummy_validation_mae,dummy_test_rmse,dummy_test_mae,validation_rmse_delta,test_rmse_delta,validation_ba,test_ba,test_accuracy
P32,baseline,3354,906,120,35,3.108372449874878,1.7630577087402344,1.4743843078613281,1.535881757736206,1.2398078441619873,1.7648193423915621,1.4702302677044705,1.5338871006344066,1.2250596302921883,-0.0017616336513277542,0.0019946571017994685,0.5209001782531195,0.5378197997775306,0.5333333333333333
P33,baseline,3473,790,117,50,2.8891093730926514,1.6997380256652832,1.3969001770019531,1.7359641790390015,1.481693983078003,1.7079074415411326,1.391110811431404,1.6669305410562327,1.4555804115262798,-0.008169415875849406,0.06903363798276874,0.5176101121177138,0.4429824561403509,0.452991452991453
P34,baseline,3320,945,115,52,3.161177158355713,1.7779699563980103,1.488919734954834,1.6815690994262695,1.472606897354126,1.7958607928992025,1.4971278765857081,1.8024114057505982,1.569426401257203,-0.017890836501192275,-0.12084230632432869,0.5169709263015551,0.5043532338308457,0.5739130434782609
P35,baseline,3367,899,114,3,3.489983558654785,1.868149757385254,1.5804822444915771,2.138758897781372,1.929301381111145,1.8307775603221732,1.575358622077198,2.1059787478552856,1.9196588143956563,0.0373721970630807,0.032780149926086466,0.512240293548867,0.45750620347394544,0.4824561403508772
P36,baseline,3377,901,102,37,3.1600711345672607,1.7776589393615723,1.5093051195144653,2.1104013919830322,1.8760515451431274,1.785634111610873,1.5127327021566865,2.103280505634149,1.88443159318806,-0.007975172249300666,0.007120886348883193,0.507211562298577,0.5438664596273292,0.5098039215686274
P37,baseline,3383,890,107,100,3.366424322128296,1.8347817659378052,1.570436954498291,1.8188527822494507,1.4411187171936035,1.8275845914701403,1.572647108643017,1.7145948789347338,1.3459573845036066,0.00719717446766488,0.10425790331471685,0.5329611097551054,0.5081967213114754,0.4392523364485981
P38,baseline,3325,935,120,29,3.1845381259918213,1.7845274209976196,1.4846605062484741,1.6465896368026733,1.4111391305923462,1.752417724701873,1.4575693779904304,1.6322039549923044,1.3794035087719296,0.03210969629574656,0.014385681810368922,0.5040199893046156,0.526444380569129,0.4583333333333333
P39,baseline,3435,827,118,41,2.986360549926758,1.7281090021133423,1.4371147155761719,1.4460890293121338,1.146011471748352,1.7347389842721024,1.418621523579202,1.341307126776531,1.0167789208792837,-0.006629982158760095,0.10478190253560271,0.499886686228202,0.5,0.2796610169491525
P40,baseline,3435,825,120,48,2.9251580238342285,1.710309386253357,1.4163488149642944,2.1120519638061523,1.8742291927337646,1.7039075937823855,1.3858695249437607,2.1058628884886317,1.8168995633187772,0.00640179247097139,0.006189075317520665,0.5007192541607488,0.4831649831649832,0.5166666666666667
P41,baseline,3494,769,117,40,3.465463399887085,1.8615754842758179,1.583386778831482,1.9412270784378052,1.60407555103302,1.8665506792292759,1.5803692452899007,1.940173438124291,1.5979872699964288,-0.004975194953457995,0.0010536403135141814,0.5552011675391235,0.4826923076923077,0.452991452991453
P42,baseline,3327,933,120,66,3.323040246963501,1.822920799255371,1.5442248582839966,1.3834635019302368,1.1846562623977661,1.8073178687668254,1.5506819870938064,1.4114708056143,1.1934450455866146,0.015602930488545663,-0.028007303684063123,0.5142811163731666,0.4875565610859729,0.45
P43,baseline,3429,831,120,128,3.39463472366333,1.8424534797668457,1.521079182624817,1.321753978729248,1.0055795907974243,1.8577370239723372,1.508992984380763,1.3078910979540666,0.9854792456498492,-0.015283544205491495,0.013862880775181496,0.5348788362519054,0.5563273935366959,0.48333333333333334
P44,baseline,3434,827,119,32,3.0390028953552246,1.7432736158370972,1.460389494895935,2.477692127227783,2.2223849296569824,1.7428972073522278,1.4401084820054666,2.3989194516082737,2.1625857098809234,0.00037640848486941714,0.07877267561950951,0.515990630374192,0.5357142857142857,0.3445378151260504
P45,baseline,3434,826,120,8,3.577209949493408,1.891351342201233,1.599328637123108,1.5257844924926758,1.257516622543335,1.887278444563903,1.5821220919984038,1.4575374731925204,1.1790380508639098,0.004072897637329875,0.06824701930015542,0.5461729456142863,0.4926739926739927,0.48333333333333334
P46,baseline,3436,826,118,92,2.846189260482788,1.6870652437210083,1.398475170135498,1.5734970569610596,1.3142261505126953,1.6774274843766053,1.363869807507463,1.5295782120816575,1.2614490637517017,0.00963775934440303,0.04391884487940212,0.4982798714998082,0.47705882352941176,0.5254237288135594
