mode,participant,held_out_participant,target,modality,classifier,feature_count_request,fold,tn,fp,fn,tp
general,COHORT,P23,valence,eeg,svm,20,11,0,69,0,48
general,COHORT,P24,valence,eeg,svm,20,12,20,42,21,34
general,COHORT,P25,valence,eeg,svm,20,13,3,51,5,61
general,COHORT,P26,valence,eeg,svm,20,14,7,59,6,45
general,COHORT,P27,valence,eeg,svm,20,15,10,27,15,64
general,COHORT,P30,valence,eeg,svm,20,16,4,53,4,55
general,COHORT,P32,valence,eeg,svm,20,17,19,39,25,37
general,COHORT,P33,valence,eeg,svm,20,18,0,60,0,57
general,COHORT,P34,valence,eeg,svm,20,19,27,43,22,26
general,COHORT,P38,valence,eeg,svm,20,20,0,49,0,68
general,COHORT,P39,valence,eeg,svm,20,21,7,26,13,71
general,COHORT,P40,valence,eeg,svm,20,22,0,54,0,66
general,COHORT,P41,valence,eeg,svm,20,23,20,32,21,44
general,COHORT,P42,valence,eeg,svm,20,24,32,20,39,29
general,COHORT,P43,valence,eeg,svm,20,25,1,42,7,70
general,COHORT,P44,valence,eeg,svm,20,26,0,35,0,84
general,COHORT,P45,valence,eeg,svm,20,27,0,42,0,78
general,COHORT,P46,valence,eeg,svm,20,28,21,28,31,37
general,COHORT,P10,valence,eeg,gnb,all,1,34,16,50,20
general,COHORT,P11,valence,eeg,gnb,all,2,24,34,27,35
general,COHORT,P14,valence,eeg,gnb,all,3,1,61,1,53
general,COHORT,P15,valence,eeg,gnb,all,4,1,37,1,77
general,COHORT,P16,valence,eeg,gnb,all,5,1,54,3,59
general,COHORT,P17,valence,eeg,gnb,all,6,22,29,31,36
general,COHORT,P18,valence,eeg,gnb,all,7,37,19,26,34
general,COHORT,P19,valence,eeg,gnb,all,8,1,42,10,67
general,COHORT,P20,valence,eeg,gnb,all,9,0,52,0,65
general,COHORT,P22,valence,eeg,gnb,all,10,1,67,7,45
general,COHORT,P23,valence,eeg,gnb,all,11,14,55,9,39
general,COHORT,P24,valence,eeg,gnb,all,12,14,48,12,43
general,COHORT,P25,valence,eeg,gnb,all,13,6,48,15,51
general,COHORT,P26,valence,eeg,gnb,all,14,1,65,3,48
general,COHORT,P27,valence,eeg,gnb,all,15,1,36,2,77
general,COHORT,P30,valence,eeg,gnb,all,16,0,57,0,59
general,COHORT,P32,valence,eeg,gnb,all,17,2,56,4,58
general,COHORT,P33,valence,eeg,gnb,all,18,15,45,20,37
general,COHORT,P34,valence,eeg,gnb,all,19,0,70,0,48
general,COHORT,P38,valence,eeg,gnb,all,20,0,49,0,68
general,COHORT,P39,valence,eeg,gnb,all,21,18,15,51,33
general,COHORT,P40,valence,eeg,gnb,all,22,2,52,2,64
general,COHORT,P41,valence,eeg,gnb,all,23,2,50,3,62
general,COHORT,P42,valence,eeg,gnb,all,24,3,49,2,66
general,COHORT,P43,valence,eeg,gnb,all,25,0,43,0,77
general,COHORT,P44,valence,eeg,gnb,all,26,7,28,16,68
general,COHORT,P45,valence,eeg,gnb,all,27,0,42,0,78
general,COHORT,P46,valence,eeg,gnb,all,28,34,15,52,16
general,COHORT,P10,valence,eeg,gnb,5,1,45,5,67,3
general,COHORT,P11,valence,eeg,gnb,5,2,7,51,6,56
general,COHORT,P14,valence,eeg,gnb,5,3,0,62,1,53
general,COHORT,P15,valence,eeg,gnb,5,4,0,38,0,78
general,COHORT,P16,valence,eeg,gnb,5,5,9,46,6,56
general,COHORT,P17,valence,eeg,gnb,5,6,3,48,8,59
general,COHORT,P18,valence,eeg,gnb,5,7,28,28,18,42
general,COHORT,P19,valence,eeg,gnb,5,8,27,16,66,11
general,COHORT,P20,valence,eeg,gnb,5,9,0,52,0,65
general,COHORT,P22,valence,eeg,gnb,5,10,0,68,0,52
general,COHORT,P23,valence,eeg,gnb,5,11,13,56,7,41
general,COHORT,P24,valence,eeg,gnb,5,12,0,62,0,55
general,COHORT,P25,valence,eeg,gnb,5,13,3,51,8,58
general,COHORT,P26,valence,eeg,gnb,5,14,0,66,0,51
general,COHORT,P27,valence,eeg,gnb,5,15,9,28,30,49
general,COHORT,P30,valence,eeg,gnb,5,16,11,46,9,50
general,COHORT,P32,valence,eeg,gnb,5,17,3,55,1,61
general,COHORT,P33,valence,eeg,gnb,5,18,15,45,16,41
general,COHORT,P34,valence,eeg,gnb,5,19,35,35,18,30
general,COHORT,P38,valence,eeg,gnb,5,20,29,20,41,27
general,COHORT,P39,valence,eeg,gnb,5,21,4,29,16,68
general,COHORT,P40,valence,eeg,gnb,5,22,4,50,6,60
general,COHORT,P41,valence,eeg,gnb,5,23,2,50,3,62
general,COHORT,P42,valence,eeg,gnb,5,24,12,40,12,56
general,COHORT,P43,valence,eeg,gnb,5,25,8,35,15,62
general,COHORT,P44,valence,eeg,gnb,5,26,14,21,40,44
general,COHORT,P45,valence,eeg,gnb,5,27,34,8,66,12
general,COHORT,P46,valence,eeg,gnb,5,28,0,49,0,68
general,COHORT,P10,valence,eeg,gnb,10,1,45,5,67,3
general,COHORT,P11,valence,eeg,gnb,10,2,4,54,4,58
general,COHORT,P14,valence,eeg,gnb,10,3,0,62,0,54
general,COHORT,P15,valence,eeg,gnb,10,4,0,38,1,77
general,COHORT,P16,valence,eeg,gnb,10,5,1,54,4,58
general,COHORT,P17,valence,eeg,gnb,10,6,9,42,20,47
general,COHORT,P18,valence,eeg,gnb,10,7,2,54,3,57
general,COHORT,P19,valence,eeg,gnb,10,8,17,26,49,28
general,COHORT,P20,valence,eeg,gnb,10,9,1,51,1,64
general,COHORT,P22,valence,eeg,gnb,10,10,1,67,3,49
general,COHORT,P23,valence,eeg,gnb,10,11,3,66,2,46
general,COHORT,P24,valence,eeg,gnb,10,12,1,61,5,50
general,COHORT,P25,valence,eeg,gnb,10,13,1,53,0,66
general,COHORT,P26,valence,eeg,gnb,10,14,1,65,0,51
general,COHORT,P27,valence,eeg,gnb,10,15,0,37,0,79
general,COHORT,P30,valence,eeg,gnb,10,16,2,55,4,55
general,COHORT,P32,valence,eeg,gnb,10,17,1,57,1,61
general,COHORT,P33,valence,eeg,gnb,10,18,0,60,1,56
general,COHORT,P34,valence,eeg,gnb,10,19,4,66,0,48
general,COHORT,P38,valence,eeg,gnb,10,20,17,32,21,47
general,COHORT,P39,valence,eeg,gnb,10,21,2,31,5,79
general,COHORT,P40,valence,eeg,gnb,10,22,0,54,1,65
general,COHORT,P41,valence,eeg,gnb,10,23,0,52,0,65
