mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,folds,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,accuracy_mean,precision_mean,recall_mean,f1_mean
general,COHORT,arousal,multimodal,svm,10,10,28,0.4981993833772776,0.028566913373822247,0.5,0.41911764705882354,0.5648148148148148,0.5714678723922544,0.5939577058731987,0.8859510460351638,0.6855305950593759
general,COHORT,arousal,multimodal,svm,20,20,28,0.5036963466697588,0.04626001465441735,0.5,0.4202682563338301,0.615211810012837,0.5558990641694194,0.590177855751602,0.7859668015200437,0.6474644178159431
general,COHORT,arousal,multimodal,svm,5,5,28,0.4998781736748912,0.018984622636077465,0.5,0.45248868778280543,0.5652747252747253,0.575169650050672,0.5965577896247499,0.9391122926256716,0.7093513252510263
general,COHORT,arousal,multimodal,svm,all,all,28,0.49864004548365404,0.03561366749984162,0.4983759520644767,0.3942307692307692,0.6241758241758242,0.5399842816384448,0.5964576107546156,0.8039912106208856,0.6576294540518518
general,COHORT,valence,eeg,gnb,10,10,28,0.4934518011956621,0.03170574593473897,0.5,0.37949260042283295,0.5695701357466063,0.5235890273551612,0.5414676633470169,0.8723603953227583,0.6490753763834454
general,COHORT,valence,eeg,gnb,20,20,28,0.49643464553751043,0.02830610946120877,0.5,0.38764723648444577,0.5684389140271493,0.5316935623100564,0.5514460817063294,0.9011166023712255,0.6641729398134234
general,COHORT,valence,eeg,gnb,5,5,28,0.49578339770383717,0.03879433234442104,0.4980769230769231,0.3853820598006644,0.6,0.5101824052464127,0.5380583553606229,0.76639209057557,0.600587628288428
general,COHORT,valence,eeg,gnb,all,all,28,0.49165689493311077,0.03191017376015203,0.4994026284348865,0.44004524886877827,0.6136904761904762,0.5216490308902113,0.5478873489710937,0.8146184802835112,0.6338030187198853
general,COHORT,valence,eeg,knn,10,10,28,0.4803634833138629,0.043451269713080005,0.4926272883295194,0.36616161616161613,0.5570676031606673,0.4880732023136399,0.5366484167246447,0.5790938194996498,0.5449321135119717
general,COHORT,valence,eeg,knn,20,20,28,0.49925341011319085,0.042479245043962575,0.4940528557464041,0.4375,0.5841601094765652,0.5054639218453195,0.5545342280191001,0.591302460073553,0.559364368334197
