mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,feature,selected,feature_score
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_sd__C3,False,0.4212480012063397
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_sd__C4,False,3.625079337041981
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_sd__Cz,False,0.03552684094016351
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_sd__Fz,False,0.01934138241399978
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_sd__Oz,False,1.988610186131587
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_sd__PO7,False,1.2606715820570957
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_sd__PO8,False,2.370619664201926
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_sd__Pz,False,0.12240727031492019
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se__C3,False,0.011777540283747123
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se__C4,False,1.4874520013160648
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se__Cz,False,4.255548482017599
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se__Fz,False,4.446129274625578
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se__Oz,False,4.349042590890916
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se__PO7,False,0.31306861342560444
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se__PO8,True,10.18696473849151
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se__Pz,False,1.216625367294871
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_hm__C3,False,1.0188493975034372
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_hm__C4,False,0.4400512532240357
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_hm__Cz,True,10.518714158618142
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_hm__Fz,False,4.116870626696134
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_hm__Oz,False,8.141156401719446
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_hm__PO7,False,2.746648312902951
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_hm__PO8,True,13.072244709321136
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_hm__Pz,False,2.8863484556520835
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_hc__C3,False,7.1080220403489065
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_hc__C4,False,2.5126853709515435
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_hc__Cz,False,9.595470210557092
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_hc__Fz,False,5.978630218096605
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_hc__Oz,False,6.58613262642824
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_hc__PO7,False,3.7960156799259397
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_hc__PO8,True,15.40165749990739
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_hc__Pz,False,2.268005661744758
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_mf_hz__C3,False,4.774227612859368
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_mf_hz__C4,False,0.07905916816838247
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_mf_hz__Cz,False,6.257864905620175
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_mf_hz__Fz,False,3.16655245439512
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_mf_hz__Oz,False,2.8517670247629847
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_mf_hz__PO7,False,3.0354389745055115
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_mf_hz__PO8,True,12.12042075152614
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_mf_hz__Pz,False,4.045398664000686
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_delta__C3,False,5.609292889644046
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_delta__C4,False,0.003076049021652784
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_delta__Cz,False,5.9657242813027445
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_delta__Fz,False,1.3178515990980246
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_delta__Oz,False,3.823836230190422
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_delta__PO7,False,1.0788026025945212
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_delta__PO8,False,8.236278374301099
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_delta__Pz,False,0.1875624984882683
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_delta__C3,False,1.4318495397474726
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_delta__C4,False,0.6344627702589749
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_delta__Cz,False,0.6002956067099621
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_delta__Fz,False,0.016736684846763907
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_delta__Oz,False,0.25163568057553487
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_delta__PO7,False,0.1526229075241609
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_delta__PO8,False,0.4116601039228487
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_delta__Pz,False,2.4671270026595917
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_theta__C3,False,0.01911747519202178
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_theta__C4,False,0.47600032776648094
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_theta__Cz,False,0.013238434752918051
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_theta__Fz,False,1.0545203853572513
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_theta__Oz,False,0.4491418523218965
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_theta__PO7,False,0.8150065585343438
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_theta__PO8,False,0.7844017906862165
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_theta__Pz,False,0.05168747680682029
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_theta__C3,False,0.5218842702859848
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_theta__C4,False,0.10161284868366878
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_theta__Cz,False,2.162044496745038
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_theta__Fz,False,1.983491957913382
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_theta__Oz,False,0.39655159354249814
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_theta__PO7,False,0.2118681744370948
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_theta__PO8,False,1.0191980979686128
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_theta__Pz,False,0.9464966354544206
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_alpha__C3,False,1.415932945297919
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_alpha__C4,False,3.1907490608283466
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_alpha__Cz,False,0.79717781839121
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_alpha__Fz,False,0.11199993225197577
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_alpha__Oz,False,2.239074024633953
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_alpha__PO7,False,2.0739145701142156
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_alpha__PO8,False,0.04713376227080967
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_alpha__Pz,False,0.2956762817093165
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_alpha__C3,False,1.1676410762774598
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_alpha__C4,False,1.0977030915480523
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_alpha__Cz,False,0.19230424191632278
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_alpha__Fz,False,3.975457170143453
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_alpha__Oz,False,0.02206292340258799
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_alpha__PO7,False,1.8731476411246266
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_alpha__PO8,False,1.3964635269414678
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_alpha__Pz,False,0.6136363147961847
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_beta__C3,False,4.864885839000439
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_beta__C4,False,6.546137750401114
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_beta__Cz,False,4.747815869063903
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_beta__Fz,False,5.37454944980185
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_beta__Oz,False,2.991221163220444
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_beta__PO7,False,7.7025193271920775
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_beta__PO8,False,5.634209744895819
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_beta__Pz,False,7.711107385594623
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_beta__C3,False,1.0049275109976217
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_beta__C4,False,0.1630841434198568
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_beta__Cz,False,0.06642141085131735
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_beta__Fz,False,1.2360459441460747
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_beta__Oz,False,0.2378105444241547
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_beta__PO7,False,0.004405926928766582
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_beta__PO8,False,0.02724374297925398
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_se_beta__Pz,False,0.9406360846982041
individual,P19,P19,arousal,eeg,knn,5,5,2,eeg_bp_gamma__C3,False,0.5060201632028425
