eeg_se__C3,eeg_hm__C3,eeg_hm__Oz,eeg_hc__Cz,eeg_mf_hz__C3,eeg_bp_delta__C3,eeg_se_delta__C3,eeg_se_theta__Cz,eeg_se_alpha__C4,eeg_se_beta__Oz
4.535835902373108,0.3734081490018784,0.2243033752027511,1.6915108726200323,14.0,2.4691591929353423,1.907118998544324,2.046716611717477,2.1269384551948662,3.634583227869457
4.473045708894685,0.3542704067881422,0.2311972478538028,1.8260719953943512,13.0,1.3191893790918878,1.6314298490614183,2.274689712825597,2.2648726559961467,3.759309324050826
4.417165835903499,0.28896275069627,0.2757134281865604,1.6124905117926602,9.0,2.58926359324179,1.9429219968294056,2.208922166352015,2.225316077146581,3.542916086945961
4.316553263892713,0.3174783059748756,0.3020507739075873,1.576079177496699,7.0,3.432119343526162,1.6645594940242492,2.076176817293096,2.2263067852054674,3.76318594901587
4.145592682663258,0.3394239898820758,0.2634506430104931,2.1435767144644755,5.0,3.5770507208486126,1.6162476288493048,2.03290835480036,1.92586317370733,3.72453187984163
4.357853508622581,0.3103026061961314,0.3068419126480539,1.507855445574737,9.0,3.605404818823183,1.8549605115139405,2.069455980934289,2.2485502914625077,3.677941968438853
4.374703101377573,0.3300606123965026,0.2531208824669673,1.9078396619800653,12.0,1.8994931486324085,1.9107384548028423,2.265821799196999,2.221478127839029,3.2980659090521685
4.531041692585319,0.351341447347811,0.2186648487157178,1.8033169519842256,12.0,1.5232822137258433,1.956805202333596,2.1999997332193924,2.219246068323461,3.9223611437929664
4.527636794499699,0.2942899429720352,0.2637700540671126,1.585456883167483,8.0,2.6494455841479567,1.9173642280494088,2.227920911223733,2.1096879979745635,3.6752097710233658
4.455097068116026,0.3151611417160197,0.2828591406730337,1.736372896268032,9.0,1.4597968371626435,1.8888515699413144,2.2167708196382483,2.2610207691432445,3.646918949006179
4.634612758681119,0.3386790129406482,0.3051122614148386,1.5129412089342824,10.0,2.464425486805065,1.8452231432483184,2.2553563436139994,2.0537986165455875,3.63589320009185
4.608352203900603,0.3206874783816433,0.2494313357719138,2.0897857465155107,11.0,2.1088316877914384,1.967986944651044,2.255768873177609,2.032690832825706,3.724825327773417
4.184308913296361,0.2883029991718664,0.2484122636191641,1.7724153149567965,6.0,4.310128447304173,1.9247142665949732,1.9146008086423143,2.231513079184381,3.3692551396153605
4.27977179844069,0.341728923140471,0.251927940452592,1.7570674447104715,11.0,1.0243267633470334,1.9652755111107811,2.2807189596243878,2.1020097091126857,3.8263161454988
4.617022973227607,0.3584831790729245,0.3186702163449317,1.7672423332282945,14.0,1.2971018759658062,1.912233531581493,2.295105741632139,2.151935063465509,3.936851528488067
4.2060810911139646,0.3309424395548838,0.3060572893960266,1.572077604672546,5.0,2.5925189926451035,1.8963206204148355,2.1161808054541345,2.034247165826308,3.854636973342074
4.202117275716639,0.3164426346833306,0.3214623649156968,1.418953202290131,11.0,1.103438212660064,1.6872537614580163,2.26638774455569,2.2716374083848425,3.6282318106487073
4.565028076420346,0.3284513767817905,0.2954114221864684,1.6142802006365218,11.0,1.617487311249561,1.8878818169889784,2.153707418040544,2.2184040541914527,3.856173971172548
4.355899957037975,0.3215955461009382,0.3068918374957801,1.7131865907757768,6.0,2.6406510036541344,1.7944250609573722,2.161665906977839,2.060431319750145,3.912770545771094
4.540652198738808,0.2966873469781694,0.2610610951478278,1.7097684439561824,10.0,1.6673730879896973,1.9231602037485165,2.191126516400829,2.2090581064757853,3.856223447207346
4.462057939024665,0.3167177901739744,0.2956298548266053,1.6998366372848277,8.0,3.455533919662813,1.8585829432590528,2.2476491767718056,2.1096251082977995,4.057386892593884
4.734897180877078,0.3496426237989536,0.2837252673278739,1.6844875060416125,12.0,1.0011603482534777,1.9307676060396848,2.178633251225345,2.3046573396676537,3.526190822122103
4.5189617568721,0.3036830581133871,0.2616242716649739,1.593368788776621,9.0,1.9573115543234103,1.8440366210237815,2.2646287457694205,2.226148558705365,3.589646265336705
