mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp
individual,P41,P41,arousal,face,gnb,10,10,3,P41,120,96,24,51,69,0.4928571428571429,0.5416666666666666,0.5789473684210527,0.7857142857142857,0.6666666666666666,2,8,3,11
individual,P41,P41,arousal,face,gnb,10,10,4,P41,120,96,24,51,69,0.55,0.625,0.6086956521739131,1.0,0.7567567567567568,1,9,0,14
individual,P41,P41,arousal,face,gnb,10,10,5,P41,120,96,24,51,69,0.5214285714285715,0.5416666666666666,0.6,0.6428571428571429,0.6206896551724138,4,6,5,9
individual,P42,P42,arousal,face,gnb,10,10,1,P42,120,96,24,50,70,0.45,0.4583333333333333,0.5384615384615384,0.5,0.5185185185185185,4,6,7,7
individual,P42,P42,arousal,face,gnb,10,10,2,P42,120,96,24,50,70,0.4928571428571429,0.5416666666666666,0.5789473684210527,0.7857142857142857,0.6666666666666666,2,8,3,11
individual,P42,P42,arousal,face,gnb,10,10,3,P42,120,96,24,50,70,0.47857142857142854,0.5416666666666666,0.5714285714285714,0.8571428571428571,0.6857142857142857,1,9,2,12
individual,P42,P42,arousal,face,gnb,10,10,4,P42,120,96,24,50,70,0.6142857142857143,0.6666666666666666,0.65,0.9285714285714286,0.7647058823529411,3,7,1,13
individual,P42,P42,arousal,face,gnb,10,10,5,P42,120,96,24,50,70,0.44285714285714284,0.5,0.55,0.7857142857142857,0.6470588235294118,1,9,3,11
individual,P43,P43,arousal,face,gnb,10,10,1,P43,120,96,24,48,72,0.5785714285714285,0.625,0.631578947368421,0.8571428571428571,0.7272727272727273,3,7,2,12
individual,P43,P43,arousal,face,gnb,10,10,2,P43,120,96,24,48,72,0.6714285714285715,0.6666666666666666,0.75,0.6428571428571429,0.6923076923076923,7,3,5,9
individual,P43,P43,arousal,face,gnb,10,10,3,P43,120,96,24,48,72,0.4857142857142857,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714,4,6,6,8
individual,P43,P43,arousal,face,gnb,10,10,4,P43,120,96,24,48,72,0.4444444444444444,0.5,0.5882352941176471,0.6666666666666666,0.625,2,7,5,10
individual,P43,P43,arousal,face,gnb,10,10,5,P43,120,96,24,48,72,0.3555555555555555,0.4166666666666667,0.5294117647058824,0.6,0.5625,1,8,6,9
individual,P44,P44,arousal,face,gnb,10,10,1,P44,120,96,24,68,52,0.548951048951049,0.5416666666666666,0.5,0.6363636363636364,0.56,6,7,4,7
individual,P44,P44,arousal,face,gnb,10,10,2,P44,120,96,24,68,52,0.5034965034965035,0.5,0.46153846153846156,0.5454545454545454,0.5,6,7,5,6
individual,P44,P44,arousal,face,gnb,10,10,3,P44,120,96,24,68,52,0.6071428571428572,0.625,0.5555555555555556,0.5,0.5263157894736842,10,4,5,5
individual,P44,P44,arousal,face,gnb,10,10,4,P44,120,96,24,68,52,0.6214285714285714,0.625,0.5454545454545454,0.6,0.5714285714285714,9,5,4,6
individual,P44,P44,arousal,face,gnb,10,10,5,P44,120,96,24,68,52,0.7714285714285715,0.75,0.6428571428571429,0.9,0.75,9,5,1,9
individual,P45,P45,arousal,face,gnb,10,10,1,P45,120,96,24,69,51,0.5804195804195804,0.5833333333333334,0.5454545454545454,0.5454545454545454,0.5454545454545454,8,5,5,6
individual,P45,P45,arousal,face,gnb,10,10,2,P45,120,96,24,69,51,0.3357142857142857,0.375,0.14285714285714285,0.1,0.11764705882352941,8,6,9,1
individual,P45,P45,arousal,face,gnb,10,10,3,P45,120,96,24,69,51,0.5285714285714286,0.5833333333333334,0.5,0.2,0.2857142857142857,12,2,8,2
