mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,folds,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,accuracy_mean,precision_mean,recall_mean,f1_mean
individual,P11,arousal,face,svm,all,all,5,0.571958041958042,0.07929212590351058,0.5428571428571428,0.4928571428571429,0.6888111888111889,0.6083333333333333,0.6124561403508773,0.8384615384615385,0.707645477545857
individual,P11,arousal,multimodal,gnb,10,10,5,0.4941558441558442,0.09428461927349271,0.534965034965035,0.32867132867132864,0.5571428571428572,0.5166666666666666,0.5560780722545429,0.6428571428571429,0.595307186839445
individual,P11,arousal,multimodal,gnb,20,20,5,0.5359040959040959,0.07546248658538768,0.49650349650349646,0.4571428571428572,0.6258741258741258,0.5583333333333333,0.601259559154296,0.6736263736263737,0.6319566755083996
individual,P11,arousal,multimodal,gnb,5,5,5,0.5486313686313686,0.07931118415376438,0.534965034965035,0.45104895104895104,0.6571428571428571,0.5666666666666667,0.6042016806722689,0.6736263736263737,0.6360471070148489
individual,P11,arousal,multimodal,gnb,all,all,5,0.45053946053946053,0.02172753681855677,0.4405594405594406,0.43356643356643354,0.4857142857142857,0.425,0.44666666666666666,0.24835164835164836,0.3022595704948646
individual,P11,arousal,multimodal,knn,10,10,5,0.5076223776223776,0.12205429672915474,0.520979020979021,0.36713286713286714,0.6928571428571428,0.525,0.5701587301587301,0.6461538461538462,0.6041280435051292
individual,P11,arousal,multimodal,knn,20,20,5,0.5380019980019981,0.16180382293163625,0.5357142857142857,0.32142857142857145,0.7,0.5666666666666667,0.5911470985155196,0.7505494505494505,0.6574988472259949
individual,P11,arousal,multimodal,knn,5,5,5,0.5162937062937063,0.11043825237758868,0.4714285714285714,0.40559440559440557,0.6428571428571428,0.5333333333333334,0.5833333333333333,0.6307692307692307,0.6050114942528736
individual,P11,arousal,multimodal,knn,all,all,5,0.5583016983016983,0.14142979521184953,0.534965034965035,0.37142857142857144,0.7642857142857142,0.5833333333333333,0.6091386554621849,0.732967032967033,0.66483386890784
individual,P11,arousal,multimodal,svm,10,10,5,0.4964735264735265,0.07840386801551247,0.5,0.3857142857142857,0.6071428571428572,0.5333333333333334,0.5650000000000001,0.7802197802197802,0.6467923770283117
individual,P11,arousal,multimodal,svm,20,20,5,0.4749550449550449,0.09014973612373313,0.5,0.36428571428571427,0.5979020979020979,0.5166666666666667,0.537948717948718,0.7626373626373626,0.6213879687563898
individual,P11,arousal,multimodal,svm,5,5,5,0.504015984015984,0.03931201578900051,0.5,0.4571428571428572,0.5664335664335665,0.55,0.5697838109602815,0.8043956043956044,0.6607624831309041
individual,P11,arousal,multimodal,svm,all,all,5,0.4799400599400599,0.04579215064786784,0.5,0.4,0.513986013986014,0.5166666666666666,0.5492857142857143,0.7835164835164835,0.6355280092122197
individual,P11,valence,eeg,gnb,10,10,5,0.48805361305361306,0.07107228114074335,0.458041958041958,0.41666666666666663,0.5833333333333333,0.4833333333333334,0.4923809523809524,0.4564102564102564,0.4603615643615644
individual,P11,valence,eeg,gnb,20,20,5,0.5181818181818182,0.11986500961585057,0.5,0.4020979020979021,0.6888111888111889,0.5166666666666667,0.4833333333333334,0.5333333333333334,0.4926538357278395
individual,P11,valence,eeg,gnb,5,5,5,0.4540792540792541,0.08467162423336057,0.4166666666666667,0.375,0.548951048951049,0.45,0.4486096256684492,0.40512820512820513,0.41519383165560075
individual,P11,valence,eeg,gnb,all,all,5,0.5203962703962703,0.0832377665297726,0.5416666666666666,0.4166666666666667,0.6258741258741258,0.525,0.5395306447938026,0.7923076923076924,0.6326094244149273
individual,P11,valence,eeg,knn,10,10,5,0.4997668997668998,0.08897291353659177,0.5,0.40559440559440557,0.625,0.5,0.5032748538011695,0.6192307692307693,0.5436950146627566
individual,P11,valence,eeg,knn,20,20,5,0.49720279720279714,0.08537659005625696,0.4583333333333333,0.4166666666666667,0.625,0.5,0.5182843137254902,0.6307692307692307,0.5660229885057471
individual,P11,valence,eeg,knn,5,5,5,0.4212703962703962,0.062058969854708566,0.41666666666666663,0.34965034965034963,0.5,0.4166666666666667,0.4038095238095238,0.34102564102564104,0.36451895930156797
individual,P11,valence,eeg,knn,all,all,5,0.49102564102564106,0.11057056945423922,0.45833333333333337,0.38111888111888115,0.6573426573426573,0.4916666666666666,0.49662337662337663,0.532051282051282,0.5102050928137885
