participant,target,task,window_id,window_index,window_start_s,high_class_score,nearest_image_distance,image_reference_distance_percentile,image_reference_nearest_distance_p95,image_reference_nearest_distance_max,nearest_distance_exceeds_image_p95,nearest_distance_exceeds_image_max,mean_11_image_neighbor_distance,feature_domain_reliability
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_41.000,42,41.0,4.583587919930808e-60,16.161418380656055,100.0,1.3099880359456375,2.3901764237130623,True,True,17.9436687163661,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_42.000,43,42.0,8.348196805240864e-159,29.447093448227925,100.0,1.3099880359456375,2.3901764237130623,True,True,31.3080211151656,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_43.000,44,43.0,3.0800438311729576e-137,27.23159037377632,100.0,1.3099880359456375,2.3901764237130623,True,True,29.034608489854087,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_44.000,45,44.0,4.339186066220089e-87,20.795552671564995,100.0,1.3099880359456375,2.3901764237130623,True,True,22.499036971574363,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_45.000,46,45.0,1.2573022635572993e-76,19.32905346748211,100.0,1.3099880359456375,2.3901764237130623,True,True,20.96213061607074,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_46.000,47,46.0,4.243602640252451e-25,7.950225085212202,100.0,1.3099880359456375,2.3901764237130623,True,True,9.763892896481495,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_47.000,48,47.0,3.189023490296164e-226,36.81051936045918,100.0,1.3099880359456375,2.3901764237130623,True,True,38.497413244736435,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_48.000,49,48.0,2.975545861902434e-23,7.657924881494052,100.0,1.3099880359456375,2.3901764237130623,True,True,9.450711843398162,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_49.000,50,49.0,5.32428502118009e-263,40.07773968220532,100.0,1.3099880359456375,2.3901764237130623,True,True,41.811309369906176,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_50.000,51,50.0,2.1604409968732366e-299,42.91051841423359,100.0,1.3099880359456375,2.3901764237130623,True,True,44.710192006109715,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_51.000,52,51.0,1.3413677093104348e-85,20.08870131203859,100.0,1.3099880359456375,2.3901764237130623,True,True,22.048663487744186,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_52.000,53,52.0,3.195151828485714e-34,9.055306010198178,100.0,1.3099880359456375,2.3901764237130623,True,True,10.789362627880017,beyond_image_reference
P19,valence,shape_sorter_observation,shape_sorter_observation_s1_53.000,54,53.0,7.276047406427123e-37,9.781730567563645,100.0,1.3099880359456375,2.3901764237130623,True,True,11.767784978120003,beyond_image_reference
