participant,representation,target,task,window_id,window_index,window_start_s,predicted_class,high_class_score,nearest_image_distance,image_reference_distance_percentile,image_reference_nearest_distance_p95,image_reference_nearest_distance_max,nearest_distance_exceeds_image_p95,nearest_distance_exceeds_image_max,feature_domain_reliability,selected_feature_abs_z_median,selected_feature_abs_z_p95
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_51.000,52,51.0,LOW,1.3413677093104348e-85,20.08870131203859,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,4.659135049055446,19.777020944588248
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_52.000,53,52.0,LOW,3.1951518284857145e-34,9.055306010198178,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,5.22787908851158,8.950282911003434
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_53.000,54,53.0,LOW,7.276047406427123e-37,9.781730567563645,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,5.040601327008345,10.140440735622866
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_54.000,55,54.0,LOW,4.086957030665954e-11,3.06660439764121,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.23449338205466,5.737075183961645
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_55.000,56,55.0,LOW,1.0396198808003763e-13,5.054707674228943,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,1.9991539434875751,7.257207084524477
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_56.000,57,56.0,LOW,8.875724569327894e-149,28.842315127351544,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,3.769056404101503,26.92850677613271
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_57.000,58,57.0,LOW,1.3315445281405659e-139,27.79527025522437,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,3.6956140807648215,25.970268093459474
P19,A_existing_robot_features,valence,shape_sorter_observation,shape_sorter_observation_s1_58.000,59,58.0,LOW,9.754066982130282e-23,8.875618228764774,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,0.9950371902099893,10.19059026207204
P19,A_existing_robot_features,valence,stack,stack_s1_0.000,1,0.0,LOW,0.0,83110.99081169444,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.7861041325879694,66494.09373181105
P19,A_existing_robot_features,valence,stack,stack_s1_1.000,2,1.0,LOW,0.0,1021.1222773972628,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,10.922980123225967,831.2757799049483
P19,A_existing_robot_features,valence,stack,stack_s1_2.000,3,2.0,LOW,0.0,65.1751427080054,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,4.779669221430406,56.91178526141153
P19,A_existing_robot_features,valence,stack,stack_s1_3.000,4,3.0,LOW,0.0,71.81420567355485,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,5.319808118306025,61.68942410272742
P19,A_existing_robot_features,valence,stack,stack_s1_4.000,5,4.0,LOW,1.057017643486665e-172,31.671773890302354,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,3.015392920411847,29.027920294054983
P19,A_existing_robot_features,valence,stack,stack_s1_5.000,6,5.0,LOW,1.8197360859989637e-79,19.82707191901762,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,1.9991539434875751,19.426906517264616
P19,A_existing_robot_features,valence,stack,stack_s1_6.000,7,6.0,LOW,3.05899445990302e-114,24.88625737170591,100.0,1.3099880359456375,2.3901764237130623,True,True,beyond_image_reference,2.260196895847215,23.49122744360022
