branch,target,task_type,metric,n_participants,mean,sd,median,q1,q3,iqr
eeg_only,valence,Interaction,nearest_image_distance,44,2.9837322285677303,1.7668131553845516,2.506902230523635,1.9832190490064225,3.293997886894675,1.3107788378882526
eeg_only,valence,Interaction,outside_selected_fraction,44,0.1411974977957148,0.08332813664070199,0.12776456841007847,0.08834016886330967,0.18208613272041488,0.09374596385710521
eeg_only,valence,Interaction,median_abs_image_z,44,1.0609688693205006,0.28445266855201057,1.0061810781142626,0.8893400850806483,1.1940170819443445,0.3046769968636962
eeg_only,valence,Alone,task_consensus_p_high,44,0.5522824749608325,0.2637265859676277,0.5350402021210545,0.4136919958512138,0.7221518474346701,0.3084598515834563
eeg_only,valence,Alone,absolute_margin,44,0.20777388800607682,0.167853496677993,0.15839060126728172,0.07218125690097478,0.35521555920197107,0.2830343023009963
eeg_only,valence,Alone,unanimous_agreement_rate,44,0.6688054389460617,0.23958654575980262,0.6869328493647913,0.525,0.8729227761485826,0.3479227761485826
eeg_only,valence,Alone,disagreement_rate,44,0.33119456105393824,0.23958654575980262,0.31306715063520874,0.12707722385141737,0.475,0.3479227761485826
eeg_only,valence,Alone,mean_top3_probability_range,44,0.29125946727013274,0.1577056995715301,0.28584828612916546,0.15584725838841232,0.3934248809745178,0.23757762258610546
eeg_only,valence,Alone,median_top3_probability_range,44,0.2690494959787378,0.17024474349923313,0.2758152143006284,0.14442786924635378,0.3812706977403734,0.23684282849401964
eeg_only,valence,Alone,complete_top3_coverage,44,1.0,0.0,1.0,1.0,1.0,0.0
eeg_only,valence,Alone,nearest_image_distance,44,5.594458951611958,7.562865887305986,2.961391935654193,2.428893855866568,5.811710544977643,3.3828166891110754
eeg_only,valence,Alone,outside_selected_fraction,44,0.20619545629068306,0.14682738201261447,0.16789215686274506,0.10236801242236022,0.26240079365079366,0.16003278122843345
eeg_only,valence,Alone,median_abs_image_z,44,1.4786837484702298,1.1686383329842722,1.1263308088736257,0.8647876154743782,1.681003980350706,0.8162163648763278
modality_agnostic,arousal,Observation,task_consensus_p_high,46,0.5248423388512699,0.25645591161648285,0.5224121362592586,0.4105761943893867,0.6816238097528137,0.271047615363427
modality_agnostic,arousal,Observation,absolute_margin,46,0.20674265744286846,0.16014293513954972,0.18207601197640533,0.05353859404821869,0.3569763883202175,0.3034377942719988
modality_agnostic,arousal,Observation,unanimous_agreement_rate,46,0.629894241802078,0.23540801534663064,0.6696303000718654,0.49190175863562957,0.820268148314532,0.3283663896789024
modality_agnostic,arousal,Observation,disagreement_rate,46,0.37010575819792196,0.23540801534663064,0.3303696999281346,0.17973185168546799,0.5080982413643704,0.3283663896789024
modality_agnostic,arousal,Observation,mean_top3_probability_range,46,0.3283793499167846,0.16853352537031877,0.34357507257614156,0.20358947573023523,0.40164887618840667,0.19805940045817144
modality_agnostic,arousal,Observation,median_top3_probability_range,46,0.3137950575084363,0.19195837609141217,0.29584774381765944,0.1761107061515589,0.4050884420450486,0.22897773589348971
