branch,target,participant,comparison,left_condition,right_condition,metric,left_value,right_value,delta_left_minus_right,included
eeg_only,arousal,P30,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.1514237645438967,0.1415278497800227,0.009895914763873997,True
eeg_only,arousal,P31,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.0551090600795141,0.0232970961608928,0.0318119639186213,True
eeg_only,arousal,P32,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.4999999999199715,0.4999999999980034,-7.803185875232543e-11,True
eeg_only,arousal,P33,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.2553434302920747,0.2550562000472953,0.00028723024477939063,True
eeg_only,arousal,P34,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.1262930757528267,0.0711097624993064,0.0551833132535203,True
eeg_only,arousal,P35,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.0036288056642372,0.2580281547263676,-0.2543993490621304,True
eeg_only,arousal,P36,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.3332533596910199,0.1498528493809818,0.18340051031003807,True
eeg_only,arousal,P37,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.2515274162192346,0.3305513700743323,-0.0790239538550977,True
eeg_only,arousal,P38,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.4999999995621612,0.4999999999129023,-3.5074110282806714e-10,True
eeg_only,arousal,P39,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.4789186372422691,0.4856996492943786,-0.006781012052109514,True
eeg_only,arousal,P40,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.3577771012679326,0.2903990011840152,0.06737810008391742,True
eeg_only,arousal,P41,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.3923711360412789,0.4786317514613164,-0.08626061542003755,True
eeg_only,arousal,P42,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.499612496947336,0.4810886615119404,0.018523835435395597,True
eeg_only,arousal,P43,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.1189530312961367,0.2799590175848608,-0.1610059862887241,True
eeg_only,arousal,P44,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.2951196786631088,0.2951196786631088,0.0,True
eeg_only,arousal,P45,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.0718461919891395,0.0878886036630137,-0.0160424116738742,True
eeg_only,arousal,P46,fault_effect,FAULTY_FAST,CONTROL_FAST,absolute_margin,0.107865573095386,0.2381673108533767,-0.1303017377579907,True
eeg_only,arousal,P01,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.5428571428571428,0.6507936507936508,-0.107936507936508,True
eeg_only,arousal,P02,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.8181818181818182,0.6730769230769231,0.1451048951048951,True
eeg_only,arousal,P03,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.6530612244897959,0.6666666666666666,-0.013605442176870763,True
eeg_only,arousal,P04,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.8493150684931506,0.8275862068965517,0.021728861596598925,True
eeg_only,arousal,P05,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.4677419354838709,0.6470588235294118,-0.1793168880455409,True
eeg_only,arousal,P06,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.7142857142857143,0.75,-0.0357142857142857,True
eeg_only,arousal,P07,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.7971014492753623,0.6724137931034483,0.12468765617191402,True
eeg_only,arousal,P08,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.625,0.44,0.185,True
eeg_only,arousal,P09,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,1.0,0.9253731343283582,0.07462686567164178,True
eeg_only,arousal,P10,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.5972222222222222,0.2615384615384615,0.3356837606837607,True
eeg_only,arousal,P11,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.5692307692307692,0.5789473684210527,-0.009716599190283448,True
eeg_only,arousal,P12,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.1111111111111111,0.1323529411764706,-0.021241830065359485,True
eeg_only,arousal,P13,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.6086956521739131,0.6470588235294118,-0.038363171355498715,True
eeg_only,arousal,P14,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.6290322580645161,0.7692307692307693,-0.14019851116625315,True
eeg_only,arousal,P15,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.92,0.9565217391304348,-0.03652173913043477,True
eeg_only,arousal,P16,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.8857142857142857,0.8360655737704918,0.04964871194379383,True
eeg_only,arousal,P17,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.65625,0.7407407407407407,-0.0844907407407407,True
eeg_only,arousal,P18,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.7777777777777778,0.7714285714285715,0.006349206349206327,True
eeg_only,arousal,P19,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.9411764705882352,0.8135593220338984,0.1276171485543368,True
eeg_only,arousal,P20,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.5161290322580645,0.5352112676056338,-0.019082235347569254,True
eeg_only,arousal,P21,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.2391304347826087,0.2686567164179104,-0.029526281635301688,True
eeg_only,arousal,P22,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.75,0.8,-0.050000000000000044,True
eeg_only,arousal,P23,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.5409836065573771,0.8571428571428571,-0.31615925058548,True
eeg_only,arousal,P24,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.7857142857142857,0.6612903225806451,0.12442396313364057,True
eeg_only,arousal,P25,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.7741935483870968,0.8970588235294118,-0.12286527514231504,True
eeg_only,arousal,P26,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.3387096774193548,0.6428571428571429,-0.3041474654377881,True
eeg_only,arousal,P27,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.5142857142857142,0.4833333333333333,0.030952380952380953,True
eeg_only,arousal,P28,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.75,0.6811594202898551,0.0688405797101449,True
eeg_only,arousal,P29,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.5483870967741935,0.76,-0.2116129032258065,True
eeg_only,arousal,P30,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.9642857142857144,0.8059701492537313,0.15831556503198307,True
eeg_only,arousal,P31,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.2714285714285714,0.4067796610169492,-0.13535108958837777,True
eeg_only,arousal,P32,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,1.0,0.9705882352941176,0.02941176470588236,True
eeg_only,arousal,P33,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.4,0.4722222222222222,-0.07222222222222219,True
eeg_only,arousal,P34,fault_effect,FAULTY_FAST,CONTROL_FAST,unanimous_agreement_rate,0.855072463768116,0.7,0.155072463768116,True
