held_out_participant,architecture,train_rows,validation_rows,test_rows,best_epoch,best_validation_mse,validation_rmse,validation_mae,test_rmse,test_mae,dummy_validation_rmse,dummy_validation_mae,dummy_test_rmse,dummy_test_mae,validation_rmse_delta,test_rmse_delta,validation_ba,test_ba,test_accuracy
P31,baseline,3472,802,119,3,3.0334341526031494,1.741675615310669,1.4753137826919556,1.723523736000061,1.5156397819519043,1.7324812669489287,1.4797970511509246,1.6662976443238418,1.484795531115672,0.009194348361740268,0.05722609167621928,0.5480786357489198,0.4484171848501979,0.44537815126050423
P32,baseline,3452,821,120,15,3.2359001636505127,1.798860788345337,1.4900233745574951,1.1205031871795654,0.8417165875434875,1.7700019119098493,1.4467367326113618,1.0382574567956888,0.7302819621475471,0.028858876435487568,0.08224573038387661,0.5034855754556886,0.5625,0.425
P33,baseline,3455,821,117,4,3.2140657901763916,1.7927815914154053,1.4899663925170898,1.8198697566986084,1.621873378753662,1.7694982025746142,1.447548522767935,1.6411706699054567,1.4756490655188192,0.023283388840791064,0.17869908679315172,0.5118546191505207,0.5259191176470588,0.41025641025641024
P34,baseline,3460,818,115,10,3.1291372776031494,1.7689367532730103,1.478721022605896,1.6830265522003174,1.4342613220214844,1.7548687713052018,1.48357830320675,1.735834713787457,1.5264111585825586,0.014067981967808452,-0.052808161587139635,0.5354654088050315,0.5267923133776792,0.6608695652173913
P35,baseline,3461,818,114,6,3.1579244136810303,1.777055025100708,1.4937809705734253,1.9095854759216309,1.6235125064849854,1.7551000763212885,1.4848567587557902,1.7215299288071295,1.4823471565362412,0.021954948779419503,0.18805554711450134,0.5340691823899371,0.49038461538461536,0.3333333333333333
P36,baseline,3473,818,102,11,3.3979222774505615,1.8433454036712646,1.5747795104980469,1.681193470954895,1.4496082067489624,1.9068829829125225,1.604583947278939,1.7245947515068842,1.5681757874471405,-0.0635375792412578,-0.04340128055198922,0.5285693724812895,0.5852272727272727,0.6078431372549019
P37,baseline,3362,924,107,19,2.8039495944976807,1.674499750137329,1.4201661348342896,1.31373131275177,1.0765719413757324,1.669913847959177,1.4293884283473812,1.2545028170368095,0.8826049247499539,0.004585902178152024,0.05922849571496047,0.5084333609271523,0.5,0.8317757009345794
P38,baseline,3465,808,120,12,3.2462844848632812,1.801744818687439,1.5631943941116333,1.6160582304000854,1.4653040170669556,1.8053936419809455,1.5945673138742447,1.5714310758092456,1.418095238095238,-0.0036488232935065756,0.04462715459083988,0.5731979200314148,0.4824662259269905,0.425
P39,baseline,3473,802,118,22,3.749112844467163,1.936262607574463,1.6822588443756104,1.7349103689193726,1.507204532623291,2.0334149205900944,1.7464472995455502,2.346806995870956,2.138953281244662,-0.09715231301563154,-0.6118966269515833,0.5685353409656545,0.5,0.8813559322033898
P40,baseline,3467,806,120,5,3.0435116291046143,1.7445663213729858,1.4970864057540894,2.0634305477142334,1.7820156812667847,1.8134537352853362,1.5884768905833875,1.9999895218540735,1.780946543601577,-0.06888741391235031,0.06344102586015987,0.6450937451974796,0.5146886016451234,0.5333333333333333
P41,baseline,3463,813,117,23,2.694662094116211,1.641542673110962,1.4199588298797607,2.2298996448516846,1.995606780052185,1.7478139911689863,1.5225190282512124,2.1422541110764675,1.9334873423813648,-0.10627131805802437,0.08764553377521711,0.5923698088332234,0.43397358943577435,0.4017094017094017
P42,baseline,3468,805,120,28,2.596174955368042,1.611264944076538,1.3690367937088013,1.654773473739624,1.4566024541854858,1.6907531702505008,1.4409733714457649,1.6389659209429055,1.4396578239138793,-0.07948822617396267,0.015807552796718527,0.6007861978597947,0.5514285714285714,0.5333333333333333
P43,baseline,3467,806,120,25,2.9871163368225098,1.7283276319503784,1.5032316446304321,1.3159294128417969,1.1233803033828735,1.849885434432664,1.6238608475086977,1.2270900236851687,1.0142750697048362,-0.12155780248228565,0.08883938915662815,0.594677985118332,0.4930555555555556,0.4
P44,baseline,3482,792,119,28,2.5335659980773926,1.5917179584503174,1.339033603668213,2.5499727725982666,2.2968013286590576,1.6924691474643896,1.4454641184968582,2.401021806807206,2.175683828959499,-0.1007511890140722,0.1489509657910606,0.5991185897435898,0.44362745098039214,0.42016806722689076
P45,baseline,3481,792,120,30,2.648667573928833,1.6274727582931519,1.3874826431274414,1.6489849090576172,1.4573436975479126,1.6925560127658843,1.4468695864128214,1.7951399446612386,1.5310231734176003,-0.06508325447273244,-0.14615503560362142,0.5846955128205128,0.5149190110826939,0.5833333333333334
P46,baseline,3454,821,118,7,3.054077625274658,1.7475919723510742,1.508516550064087,1.4472845792770386,1.2109873294830322,1.84360074785314,1.5764006779197204,1.1612407992264102,0.894551146791242,-0.09600877550206577,0.28604378005062836,0.5621407363420428,0.4536541889483066,0.2796610169491525
