mode,participant,held_out_participant,target,modality,classifier,feature_count_request,fold,tn,fp,fn,tp
general,COHORT,P28,valence,eeg,gnb,all,28,0,39,0,72
general,COHORT,P29,valence,eeg,gnb,all,29,3,42,3,61
general,COHORT,P30,valence,eeg,gnb,all,30,1,58,1,60
general,COHORT,P31,valence,eeg,gnb,all,31,30,28,33,28
general,COHORT,P32,valence,eeg,gnb,all,32,3,55,4,58
general,COHORT,P33,valence,eeg,gnb,all,33,3,57,3,54
general,COHORT,P34,valence,eeg,gnb,all,34,0,67,0,48
general,COHORT,P35,valence,eeg,gnb,all,35,0,62,1,51
general,COHORT,P36,valence,eeg,gnb,all,36,3,43,7,49
general,COHORT,P37,valence,eeg,gnb,all,37,0,46,2,59
general,COHORT,P38,valence,eeg,gnb,all,38,0,49,1,70
general,COHORT,P39,valence,eeg,gnb,all,39,13,20,38,47
general,COHORT,P40,valence,eeg,gnb,all,40,1,53,0,66
general,COHORT,P41,valence,eeg,gnb,all,41,0,52,1,64
general,COHORT,P42,valence,eeg,gnb,all,42,4,48,3,65
general,COHORT,P43,valence,eeg,gnb,all,43,0,43,0,77
general,COHORT,P44,valence,eeg,gnb,all,44,7,28,22,62
general,COHORT,P45,valence,eeg,gnb,all,45,0,42,0,78
general,COHORT,P46,valence,eeg,gnb,all,46,29,21,46,22
general,COHORT,P01,valence,eeg,gnb,5,1,1,51,0,62
general,COHORT,P02,valence,eeg,gnb,5,2,0,25,0,59
general,COHORT,P03,valence,eeg,gnb,5,3,0,21,0,32
general,COHORT,P04,valence,eeg,gnb,5,4,0,39,0,63
general,COHORT,P05,valence,eeg,gnb,5,5,0,62,0,55
general,COHORT,P06,valence,eeg,gnb,5,6,1,46,0,72
general,COHORT,P07,valence,eeg,gnb,5,7,0,24,0,92
general,COHORT,P08,valence,eeg,gnb,5,8,0,56,0,54
general,COHORT,P09,valence,eeg,gnb,5,9,0,47,0,70
general,COHORT,P10,valence,eeg,gnb,5,10,0,50,0,70
general,COHORT,P11,valence,eeg,gnb,5,11,9,49,10,52
general,COHORT,P12,valence,eeg,gnb,5,12,0,36,0,84
general,COHORT,P13,valence,eeg,gnb,5,13,14,17,22,42
general,COHORT,P14,valence,eeg,gnb,5,14,0,59,0,53
general,COHORT,P15,valence,eeg,gnb,5,15,0,38,1,73
general,COHORT,P16,valence,eeg,gnb,5,16,0,54,0,62
