eeg_sd__C3,eeg_sd__C4,eeg_sd__Fz,eeg_hm__Cz,eeg_hc__Cz,eeg_bp_delta__Fz,eeg_se_delta__PO7,eeg_se_theta__C4,eeg_se_theta__Fz,eeg_bp_alpha__C3,eeg_bp_alpha__PO8,eeg_se_alpha__C3,eeg_se_alpha__Fz,eeg_se_alpha__PO7,eeg_se_alpha__Pz,eeg_bp_beta__C3,eeg_bp_beta__C4,eeg_bp_beta__Cz,eeg_bp_beta__Fz,eeg_bp_beta__Pz
4.349012164358874,4.291068896547939,7.089252096582486,0.3291933313799747,1.816457595709696,11.86059389467101,1.8114786626520925,2.039474103431219,2.295562806902755,2.8549923553214933,8.330089194870087,2.2706579195359256,1.9896610052860928,2.0016953283247214,1.724104675545684,4.595244974273933,4.279676727839443,8.219375364590656,11.375318375554428,3.4586167322372594
3.5951247479675588,4.393097379493621,8.246514339738809,0.2867589907830894,2.1683575595417333,34.56030830433495,1.6771595012493363,2.194703488335371,2.101204811136854,2.54829119013543,5.280694859986148,2.1749991173314087,2.2201091133741544,1.8975652783975496,2.185601871016497,4.59223475021301,3.3898660369241664,4.982036261047962,10.972867466858476,1.7235713990759414
4.045763177448052,3.9477689489406846,9.134899350951544,0.3840376248411289,1.6302888380041558,25.68224106601061,1.8680073162662525,2.307085464208381,2.179835854029203,2.8117862016717226,3.4237315122122074,2.2477398782711435,2.2256980881395534,1.970419007798492,2.1035929172066927,8.916530128378247,5.767526718456271,7.731058625832467,12.54124138021465,2.8622614221328213
4.026849177006616,4.15377745048971,7.279190294162476,0.2450509346562115,2.309897715114588,22.2973623228066,1.8773397920297703,2.2065809090549897,2.213096226107624,2.8203567959161107,3.907208226596097,2.169469124467114,2.136460475148833,2.247594762320858,1.9964426154888573,1.5561631853055204,2.7433880624837124,3.4447485492042422,9.766441869390166,3.33043459719045
3.591613590722518,4.421372955428699,7.730031910561784,0.3323986335517328,1.6975288295297637,19.101265855043525,1.9522067274027155,2.2514778796928603,2.233820573430034,2.626983355921277,4.873502076659157,1.98441542315536,2.111430729265055,2.302961148071221,1.80675310098384,4.240184965237517,9.499342218172613,8.098145468497513,16.181017207643098,4.115032749939902
4.208378164667621,4.202476944904507,7.741325858467275,0.3840867506360544,1.6049499011827433,23.14108487032427,1.8663250850986344,2.234062863499725,2.0743310461420688,1.8630615179719232,3.915332047977676,2.242939287844822,2.228883972549041,1.6566519059124214,1.9525093572402912,4.007290690744776,4.528641179713596,4.453159667836853,14.476468583627913,2.997927416479081
3.755848366469434,4.108348421026578,9.304685653404317,0.2715531344066039,2.0575778366410464,35.677037377439,1.8188609586124385,2.237892241655578,2.1612821220044345,1.80051993389091,5.187661882461621,2.203707995240704,2.177948854223866,1.9182875882171788,2.1008148949717698,3.960987739369655,3.654984409133503,4.631289821779847,11.17245977166458,2.288622421720842
3.626387305496104,4.013489449993302,7.81184187170929,0.3043030021738728,2.0413495005302087,9.004441396507785,1.6538788325635754,2.168512685935263,2.148611227708144,2.250923482761843,4.008906364033215,2.1638159578655363,2.17511636029484,2.2619308873005446,1.844472380487152,2.6853451538596818,3.209271949266149,4.153226426068561,13.909792082907446,2.2380781025131533
4.009518781235642,3.773988035110434,6.386865467351955,0.3908028369648265,1.539154725433158,6.3424598749214205,1.949126467738775,2.149251233402493,2.2779467089111867,1.965582303310084,6.168280329211842,2.086081299172472,2.2920229882916114,1.983094336309232,2.1002637668329336,4.349828096842672,5.792252507902497,6.758036251870943,17.343775228970582,2.2970973210836183
4.087140836820889,3.8654672089027833,8.270228039949888,0.4128012937551024,1.5099115517677932,18.87682468176321,1.98465737831258,2.279019000099137,2.107054320807352,2.428380639804933,2.5060253809757844,2.0747539263813826,2.112743327266622,1.9504813504647256,2.2871762148437487,4.2912684254250895,5.8928832833603,12.152337977740412,31.663432776505537,2.6188474216765885
