eeg_sd__Fz,eeg_hm__Oz,eeg_hm__Pz,eeg_hc__Pz,eeg_mf_hz__C4,eeg_mf_hz__Oz,eeg_bp_delta__C4,eeg_se_delta__Oz,eeg_bp_theta__C4,eeg_bp_theta__Oz,eeg_se_theta__Cz,eeg_se_theta__Fz,eeg_se_alpha__C4,eeg_se_alpha__Fz,eeg_se_alpha__PO7,eeg_bp_gamma__PO7,video_irisdo_norm_std,video_eso_norm_std,video_enso_norm_std,video_mwo_norm_std
9.498349271153817,0.2286620733765789,0.2090457692558086,2.61470942949681,7.0,6.0,3.585345366027166,1.7381470238853778,3.4230131795910115,17.376293369419997,2.263712441551618,2.1920496146301374,2.01946640179801,2.205194732288153,2.052098767262064,0.5336915138089783,0.0135294629502917,0.007509732831582,0.0169126000927061,0.0079688310063153
6.9862987891768284,0.2522972809140987,0.2730059650593315,2.0083854305534685,6.0,6.0,3.2765767297128447,1.8081287406855209,5.237037062683785,7.064437255004024,2.164999937740004,2.15005931345572,2.212616066954934,2.2102482356541624,2.107058199403074,0.2210623555312264,0.0230659412124277,0.0118739886734151,0.0261881126725073,0.0112785697500571
8.846306201570549,0.2517397022870889,0.2362644214824418,1.95125607301082,6.0,5.0,7.504519563324118,1.933806471367545,7.220847451818756,15.82774256230259,2.234486790699912,1.7701692868512382,2.150079675055393,2.262010841519284,2.220824176122288,0.5898820904386016,0.0177234374680714,0.013865066093422,0.0221980217185461,0.018524370498302
9.38381070817016,0.2063113295710928,0.2742773427284947,1.9687990070416868,8.0,5.0,3.3439130574182547,1.7690493399443223,4.635328918527904,20.253210918431197,1.8488133032061784,2.2125282897814995,1.959453862239594,2.196476214854639,2.142502986423421,0.3492403923758945,0.0143898205933152,0.0158049927881339,0.0203386720646479,0.0066597488440541
8.060472318242148,0.2451135726078319,0.2013080514670454,2.506618426405796,6.0,6.0,3.388628870529192,1.7501050316967317,1.6697560044625046,8.832436675136444,2.143709039241435,1.8699510363540492,2.2587857081641443,2.2173348143591896,2.245971398345909,0.3908074458221359,0.0152676382170479,0.0099734791109839,0.0195658382168296,0.0110160401534311
10.150773198966007,0.202952528245654,0.2381129353724997,1.9324652120431176,4.0,4.0,7.361201863991326,1.9847790785922528,4.413180493911877,12.109324941881692,2.1170277991915074,2.276365685418672,2.0546729062521263,2.1599652958948257,1.8918415331062688,0.482039121874835,0.0295527784846545,0.01624657376501,0.0308627433912688,0.0196731418360277
7.089252096582486,0.2002808360667123,0.2402366131557969,2.0517935045466698,6.0,5.0,5.880354260984122,1.7742357028923097,3.320773125392168,14.518609082337363,2.221943125536279,2.295562806902755,2.2711060384351884,1.9896610052860928,2.0016953283247214,0.2288328182901596,0.0095674432702134,0.0031930620933412,0.0068521252646313,0.0090037516592765
8.246514339738809,0.2172134861970875,0.1772332666654456,2.655298396984884,4.0,3.0,10.095010792189068,1.75791736632442,4.167756410169726,3.5008706331102384,2.057564441525371,2.101204811136854,2.1848516478393805,2.2201091133741544,1.8975652783975496,0.2614415887893457,0.021288302522819,0.0148568921035883,0.0257163779654308,0.018373570644958
9.134899350951544,0.2204670855289893,0.2633780419273318,1.9801111155838476,8.0,3.0,4.93882757665727,1.7332615392968842,3.642643351121015,5.528533350634603,2.2842925320991627,2.179835854029203,2.2881571683970057,2.2256980881395534,1.970419007798492,0.3768453850607965,0.0245789475392898,0.0152477976824423,0.0236539192795668,0.0225413369841612
7.279190294162476,0.2407426715945782,0.2248062769369529,2.3169580915660206,6.0,6.0,5.264144810051404,1.8017170436724173,5.390304614745242,14.478188551174132,2.051805401016825,2.213096226107624,2.259566624688642,2.136460475148833,2.247594762320858,0.64768921285488,0.0147187555608463,0.0087490859569959,0.010698134962577,0.0173861524437625
7.730031910561784,0.2408414323085422,0.2336424153842467,2.175073116870271,12.0,6.0,2.26204335800331,1.8230473281608184,4.612349470833545,11.876895247423477,2.2471177889598257,2.233820573430034,2.225454708753275,2.111430729265055,2.302961148071221,0.1962580292713475,0.0262837275084827,0.0128221333248321,0.0265202634951594,0.0153020313374664
7.741325858467275,0.2737792345908917,0.2175749946695183,2.3027505505913277,6.0,5.0,6.395992399123984,1.9956993465881632,3.930002506812408,3.8027032995204673,2.104127705733932,2.0743310461420688,2.070416756290068,2.228883972549041,1.6566519059124214,0.220814468631921,0.0192016985271715,0.0100675095896634,0.0205028367767321,0.0140715943548935
9.304685653404317,0.1967741897465657,0.2118892690005595,2.4244618331887566,3.0,4.0,7.1604371917969445,1.983746848319932,2.1514367129641725,12.170400000831464,2.25216148514535,2.1612821220044345,2.2750308884511288,2.177948854223866,1.9182875882171788,0.2709630016678516,0.0182106243362416,0.0106203095557643,0.0196459613269885,0.0093116194320264
7.81184187170929,0.2669944668141217,0.2259941185283029,2.3828192417363234,6.0,5.0,3.5521758945074016,1.9176480750629905,3.4255756951734195,3.0523470149025824,2.100070362874709,2.148611227708144,2.119968716027329,2.17511636029484,2.2619308873005446,0.3911192520290017,0.0169207719690234,0.013900477266241,0.0238989987294272,0.0143562750709893
