mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp
individual,P10,P10,valence,eeg,knn,20,20,3,P10,120,96,24,50,70,0.6642857142857144,0.7083333333333334,0.6842105263157895,0.9285714285714286,0.7878787878787878,4,6,1,13
individual,P10,P10,valence,eeg,knn,20,20,4,P10,120,96,24,50,70,0.4642857142857143,0.4583333333333333,0.5454545454545454,0.42857142857142855,0.48,5,5,8,6
individual,P10,P10,valence,eeg,knn,20,20,5,P10,120,96,24,50,70,0.65,0.7083333333333334,0.6666666666666666,1.0,0.8,3,7,0,14
individual,P10,P10,valence,eeg,svm,all,all,1,P10,120,96,24,50,70,0.17857142857142858,0.20833333333333334,0.3333333333333333,0.35714285714285715,0.3448275862068966,0,10,9,5
individual,P10,P10,valence,eeg,svm,all,all,2,P10,120,96,24,50,70,0.5,0.5,0.5833333333333334,0.5,0.5384615384615384,5,5,7,7
individual,P10,P10,valence,eeg,svm,all,all,3,P10,120,96,24,50,70,0.5,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0,10,0,14
individual,P10,P10,valence,eeg,svm,all,all,4,P10,120,96,24,50,70,0.36428571428571427,0.375,0.46153846153846156,0.42857142857142855,0.4444444444444444,3,7,8,6
individual,P10,P10,valence,eeg,svm,all,all,5,P10,120,96,24,50,70,0.5,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0,10,0,14
individual,P10,P10,valence,eeg,svm,5,5,1,P10,120,96,24,50,70,0.5071428571428571,0.5416666666666666,0.5882352941176471,0.7142857142857143,0.6451612903225806,3,7,4,10
individual,P10,P10,valence,eeg,svm,5,5,2,P10,120,96,24,50,70,0.4571428571428572,0.5,0.5555555555555556,0.7142857142857143,0.625,2,8,4,10
individual,P10,P10,valence,eeg,svm,5,5,3,P10,120,96,24,50,70,0.6142857142857143,0.6666666666666666,0.65,0.9285714285714286,0.7647058823529411,3,7,1,13
individual,P10,P10,valence,eeg,svm,5,5,4,P10,120,96,24,50,70,0.3857142857142857,0.4166666666666667,0.5,0.5714285714285714,0.5333333333333333,2,8,6,8
individual,P10,P10,valence,eeg,svm,5,5,5,P10,120,96,24,50,70,0.6928571428571428,0.7083333333333334,0.7333333333333333,0.7857142857142857,0.7586206896551724,6,4,3,11
individual,P10,P10,valence,eeg,svm,10,10,1,P10,120,96,24,50,70,0.39285714285714285,0.375,0.4444444444444444,0.2857142857142857,0.34782608695652173,5,5,10,4
individual,P10,P10,valence,eeg,svm,10,10,2,P10,120,96,24,50,70,0.3857142857142857,0.4166666666666667,0.5,0.5714285714285714,0.5333333333333333,2,8,6,8
individual,P10,P10,valence,eeg,svm,10,10,3,P10,120,96,24,50,70,0.5285714285714286,0.5833333333333334,0.6,0.8571428571428571,0.7058823529411765,2,8,2,12
individual,P10,P10,valence,eeg,svm,10,10,4,P10,120,96,24,50,70,0.3142857142857143,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.42857142857142855,2,8,8,6
individual,P10,P10,valence,eeg,svm,10,10,5,P10,120,96,24,50,70,0.6785714285714286,0.7083333333333334,0.7058823529411765,0.8571428571428571,0.7741935483870968,5,5,2,12
