participant,condition,target,model_id,model_rank,modality,classifier,feature_request,task,n_windows,mean_high_probability,median_high_probability,sd_high_probability,fraction_predicted_high
P27,no-ICA,arousal,arousal__multimodal__gnb__10,2,multimodal,gnb,10,shape_sorter_alone,12,0.5443268772812347,0.6229922834852497,0.46407975882786484,0.5
P27,no-ICA,arousal,arousal__multimodal__gnb__10,2,multimodal,gnb,10,shape_sorter_interaction,87,0.6614372745581748,0.7200769217256523,0.31324267283599694,0.6551724137931034
P27,no-ICA,arousal,arousal__multimodal__gnb__10,2,multimodal,gnb,10,shape_sorter_observation,53,0.8708312689441707,0.96650988275329,0.24109347792389704,0.9245283018867925
P27,no-ICA,arousal,arousal__multimodal__gnb__10,2,multimodal,gnb,10,sisyphus,120,0.7309100625786924,0.9255519785795161,0.3303355963562449,0.7166666666666667
P27,no-ICA,arousal,arousal__multimodal__gnb__10,2,multimodal,gnb,10,stack,64,0.8373232004515904,0.950102552897995,0.22669500126090608,0.90625
P27,no-ICA,arousal,arousal__multimodal__knn__5,1,multimodal,knn,5,pick_place,35,0.8040816326530612,0.8571428571428571,0.13003699854754278,1.0
P27,no-ICA,arousal,arousal__multimodal__knn__5,1,multimodal,knn,5,shape_sorter_alone,12,0.7142857142857143,0.7142857142857143,0.14920941939059815,0.9166666666666666
P27,no-ICA,arousal,arousal__multimodal__knn__5,1,multimodal,knn,5,shape_sorter_interaction,87,0.7471264367816092,0.7142857142857143,0.15046384448763975,0.9425287356321839
P27,no-ICA,arousal,arousal__multimodal__knn__5,1,multimodal,knn,5,shape_sorter_observation,53,0.8436657681940701,0.8571428571428571,0.15155953010075363,0.9622641509433962
P27,no-ICA,arousal,arousal__multimodal__knn__5,1,multimodal,knn,5,sisyphus,120,0.7535714285714286,0.7142857142857143,0.15927560678314137,0.9416666666666667
P27,no-ICA,arousal,arousal__multimodal__knn__5,1,multimodal,knn,5,stack,64,0.8035714285714285,0.8571428571428571,0.14950517670636673,0.953125
P27,no-ICA,valence,valence__eeg__svm__20,3,eeg,svm,20,pick_place,41,0.6606593690767727,0.6807778783353404,0.12614473164042966,0.7317073170731707
P27,no-ICA,valence,valence__eeg__svm__20,3,eeg,svm,20,shape_sorter_alone,29,0.5963345484163146,0.6103506854781242,0.1170209219401014,0.5172413793103449
P27,no-ICA,valence,valence__eeg__svm__20,3,eeg,svm,20,shape_sorter_interaction,95,0.6669083565140546,0.6788429242216241,0.0899136466929615,0.7473684210526316
P27,no-ICA,valence,valence__eeg__svm__20,3,eeg,svm,20,shape_sorter_observation,60,0.6563515385192124,0.668380986943246,0.09204034500176281,0.6833333333333333
P27,no-ICA,valence,valence__eeg__svm__20,3,eeg,svm,20,sisyphus,127,0.5980268463792662,0.5996208743026965,0.10086196772365774,0.4881889763779528
P27,no-ICA,valence,valence__eeg__svm__20,3,eeg,svm,20,stack,70,0.6222372009815021,0.6353742551596733,0.10034397199129551,0.6142857142857143
P27,no-ICA,valence,valence__eeg__svm__all,1,eeg,svm,all,pick_place,41,0.6453987683223548,0.6523567868147169,0.12116641176381716,0.5121951219512195
P27,no-ICA,valence,valence__eeg__svm__all,1,eeg,svm,all,shape_sorter_alone,29,0.711555271701978,0.708990740550979,0.14579535218265602,0.7586206896551724
P27,no-ICA,valence,valence__eeg__svm__all,1,eeg,svm,all,shape_sorter_interaction,95,0.6423967603357092,0.6471754793961574,0.1055055592714076,0.47368421052631576
P27,no-ICA,valence,valence__eeg__svm__all,1,eeg,svm,all,shape_sorter_observation,60,0.654957173770793,0.6526885309033263,0.09195754984446902,0.5166666666666667
P27,no-ICA,valence,valence__eeg__svm__all,1,eeg,svm,all,sisyphus,127,0.7290788783274045,0.6970250117873211,0.15122324264383194,0.6614173228346457
P27,no-ICA,valence,valence__eeg__svm__all,1,eeg,svm,all,stack,70,0.6371816358864584,0.6330347676720249,0.10990378380655802,0.4142857142857143
P27,no-ICA,valence,valence__multimodal__svm__10,2,multimodal,svm,10,pick_place,35,0.7448220156942676,0.774317002658973,0.13361828652865185,0.8857142857142857
P27,no-ICA,valence,valence__multimodal__svm__10,2,multimodal,svm,10,shape_sorter_alone,12,0.689357673516327,0.75410363864243,0.22207168690252257,0.75
P27,no-ICA,valence,valence__multimodal__svm__10,2,multimodal,svm,10,shape_sorter_interaction,87,0.6928630711794848,0.7341381967870968,0.15649640252827038,0.8275862068965517
P27,no-ICA,valence,valence__multimodal__svm__10,2,multimodal,svm,10,shape_sorter_observation,53,0.7028407767920077,0.7415298849751498,0.13518220646619708,0.8301886792452831
P27,no-ICA,valence,valence__multimodal__svm__10,2,multimodal,svm,10,sisyphus,120,0.6572912830304601,0.7027124272306449,0.20692840455803746,0.7333333333333333
P27,no-ICA,valence,valence__multimodal__svm__10,2,multimodal,svm,10,stack,64,0.6893759161210468,0.6792243543919267,0.11098400362267159,0.84375
