participant,target,modality,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,feature_count_resolved,outer_folds,mean_outer_cv_balanced_accuracy,fold_ba_sd,outer_fold_ba_values,mean_accuracy,low_count,high_count,sample_size
P02,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.38594322344322346,0.05389658024482856,"[0.3333333333333333, 0.3541666666666667, 0.3541666666666667, 0.4375, 0.45054945054945056]",0.43,39,61,100
P02,arousal,multimodal,svm,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.4789377289377289,0.06250209646418792,"[0.4583333333333333, 0.5833333333333333, 0.4166666666666667, 0.4583333333333333, 0.478021978021978]",0.53,39,61,100
P02,arousal,multimodal,svm,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.4324175824175825,0.07738559195619261,"[0.4791666666666667, 0.3541666666666667, 0.375, 0.5416666666666667, 0.41208791208791207]",0.48,39,61,100
P02,arousal,multimodal,svm,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.41817765567765564,0.053956402204321824,"[0.4583333333333333, 0.4583333333333333, 0.39583333333333337, 0.33333333333333337, 0.44505494505494503]",0.45,39,61,100
P02,valence,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.5288461538461539,0.04786277090726943,"[0.5897435897435898, 0.5448717948717949, 0.5064102564102564, 0.46153846153846156, 0.5416666666666666]",0.6555555555555556,29,64,93
P02,valence,face,gnb,face_geometry,all_face,all,primary,10,all,5,0.5435897435897437,0.06590417006397371,"[0.5448717948717949, 0.6282051282051282, 0.5, 0.46153846153846156, 0.5833333333333334]",0.6877192982456141,29,64,93
P02,valence,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.5352564102564102,0.1045481181429493,"[0.6794871794871795, 0.5448717948717949, 0.5256410256410257, 0.38461538461538464, 0.5416666666666666]",0.6017543859649124,29,64,93
P02,valence,face,logreg,face_geometry,all_face,all,primary,10,all,5,0.49230769230769234,0.1081606118174169,"[0.5192307692307692, 0.5897435897435898, 0.5897435897435898, 0.34615384615384615, 0.4166666666666667]",0.5900584795321637,29,64,93
P02,valence,face,svm,face_geometry,all_face,5,primary,10,5,5,0.5651282051282052,0.10976859887574997,"[0.5512820512820513, 0.5448717948717949, 0.5897435897435898, 0.7230769230769231, 0.41666666666666663]",0.6555555555555556,29,64,93
P02,valence,face,svm,face_geometry,all_face,all,primary,10,all,5,0.5674358974358975,0.09136628208285405,"[0.5897435897435898, 0.5064102564102564, 0.717948717948718, 0.5230769230769231, 0.5]",0.6549707602339181,29,64,93
P02,valence,multimodal,gnb,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5934848484848485,0.06054352834622161,"[0.675, 0.5333333333333333, 0.5333333333333333, 0.6166666666666667, 0.6090909090909091]",0.6551470588235294,25,59,84
P02,valence,multimodal,gnb,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.6142424242424243,0.11830971129607461,"[0.775, 0.575, 0.45, 0.6166666666666667, 0.6545454545454545]",0.6676470588235295,25,59,84
P02,valence,multimodal,gnb,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.6301515151515151,0.07344852273038856,"[0.7583333333333333, 0.5916666666666667, 0.575, 0.6166666666666667, 0.6090909090909091]",0.6904411764705882,25,59,84
P02,valence,multimodal,logreg,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5553030303030303,0.07900792407167592,"[0.675, 0.5166666666666667, 0.475, 0.5916666666666667, 0.5181818181818182]",0.6183823529411765,25,59,84
P02,valence,multimodal,logreg,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5484848484848485,0.10656535736470038,"[0.675, 0.575, 0.475, 0.4083333333333333, 0.6090909090909091]",0.6080882352941177,25,59,84
P02,valence,multimodal,logreg,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.6643939393939393,0.046911620987285546,"[0.6583333333333333, 0.6916666666666667, 0.5916666666666667, 0.7166666666666667, 0.6636363636363636]",0.6904411764705882,25,59,84
P02,valence,multimodal,svm,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.48590909090909096,0.07435558784332331,"[0.5166666666666667, 0.475, 0.3916666666666667, 0.5916666666666667, 0.45454545454545453]",0.5838235294117646,25,59,84
P02,valence,multimodal,svm,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5118181818181818,0.12495247030255445,"[0.675, 0.375, 0.45, 0.45, 0.6090909090909091]",0.5727941176470589,25,59,84
P02,valence,multimodal,svm,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.5443939393939393,0.06864447406760696,"[0.475, 0.6333333333333333, 0.475, 0.575, 0.5636363636363637]",0.6191176470588236,25,59,84
P03,arousal,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.545,0.10165300454651272,"[0.5166666666666667, 0.7166666666666667, 0.5, 0.45, 0.5416666666666667]",0.5745454545454545,30,24,54
P03,arousal,face,gnb,face_geometry,all_face,all,primary,10,all,5,0.575,0.20497289793748072,"[0.7166666666666667, 0.8166666666666667, 0.5166666666666667, 0.2833333333333333, 0.5416666666666667]",0.5927272727272728,30,24,54
