participant,target,modality,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,feature_count_resolved,outer_folds,mean_outer_cv_balanced_accuracy,fold_ba_sd,outer_fold_ba_values,mean_accuracy,low_count,high_count,sample_size,absolute_rank
P05,arousal,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.5130158730158729,0.08650902868103338,"[0.47857142857142854, 0.6222222222222222, 0.38888888888888884, 0.5277777777777778, 0.5476190476190476]",0.5420289855072464,46,72,118,3
P05,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.6238095238095238,0.10597541512889196,"[0.5436507936507937, 0.503968253968254, 0.6190476190476191, 0.7658730158730158, 0.6865079365079365]",0.6434782608695653,45,70,115,1
P05,arousal,multimodal,svm,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5912698412698413,0.10510256062023036,"[0.7261904761904762, 0.4484126984126984, 0.6547619047619048, 0.5634920634920635, 0.5634920634920635]",0.608695652173913,45,70,115,2
P05,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5873015873015873,0.10062478042147589,"[0.7658730158730158, 0.5595238095238095, 0.5436507936507937, 0.5436507936507937, 0.5238095238095238]",0.608695652173913,45,70,115,3
P05,valence,face,svm,face_geometry,all_face,all,primary,10,all,5,0.6117132867132866,0.04975765268954763,"[0.6573426573426573, 0.5664335664335665, 0.6573426573426573, 0.5524475524475525, 0.625]",0.625,64,56,120,1
P05,valence,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.5938228438228438,0.13122244032635186,"[0.7027972027972028, 0.534965034965035, 0.7412587412587412, 0.5734265734265734, 0.41666666666666663]",0.6,64,56,120,2
P05,valence,face,gnb,face_geometry,all_face,all,primary,10,all,5,0.5818181818181818,0.08509515490342877,"[0.6118881118881119, 0.6643356643356644, 0.6503496503496503, 0.4825174825174825, 0.5]",0.5916666666666666,64,56,120,3
P05,valence,multimodal,svm,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5358391608391608,0.1269025532390648,"[0.44405594405594406, 0.7237762237762237, 0.4318181818181818, 0.46969696969696967, 0.6098484848484849]",0.5376811594202898,62,55,117,1
P05,valence,multimodal,logreg,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5343240093240093,0.08012566217621968,"[0.4370629370629371, 0.6398601398601399, 0.5606060606060606, 0.5606060606060606, 0.4734848484848485]",0.5384057971014492,62,55,117,2
P05,valence,multimodal,logreg,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5343240093240093,0.08847652823913185,"[0.48951048951048953, 0.6783216783216783, 0.4734848484848485, 0.46969696969696967, 0.5606060606060606]",0.5376811594202898,62,55,117,3
P06,arousal,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.5706793206793207,0.0448607068766647,"[0.6142857142857143, 0.5142857142857142, 0.55, 0.6188811188811189, 0.5559440559440559]",0.5583333333333333,52,68,120,1
P06,arousal,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.5612487512487513,0.07341893950679701,"[0.5642857142857143, 0.5214285714285715, 0.6785714285714286, 0.5594405594405594, 0.4825174825174825]",0.575,52,68,120,2
P06,arousal,face,svm,face_geometry,all_face,5,primary,10,5,5,0.5418881118881119,0.06278750684409751,"[0.5, 0.6, 0.55, 0.458041958041958, 0.6013986013986015]",0.5333333333333334,52,68,120,3
P06,arousal,multimodal,svm,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.6821378621378621,0.045119034339768854,"[0.7357142857142858, 0.7071428571428571, 0.6958041958041958, 0.6258741258741258, 0.6461538461538461]",0.6804347826086957,52,67,119,1
P06,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.6690009990009991,0.09400294572955965,"[0.7357142857142858, 0.7928571428571429, 0.6258741258741258, 0.6328671328671329, 0.5576923076923077]",0.6630434782608695,52,67,119,2
P06,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.6593406593406593,0.042006017123091224,"[0.6857142857142857, 0.7071428571428571, 0.6118881118881119, 0.6188811188811189, 0.6730769230769231]",0.6641304347826087,52,67,119,3
P06,valence,face,gnb,face_geometry,all_face,all,primary,10,all,5,0.6336507936507937,0.14190001234905203,"[0.6071428571428572, 0.5642857142857143, 0.6857142857142857, 0.4666666666666667, 0.8444444444444444]",0.6333333333333333,48,72,120,1
P06,valence,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.5657142857142857,0.11686814478422303,"[0.6071428571428572, 0.5, 0.6214285714285714, 0.4, 0.7]",0.575,48,72,120,2
P06,valence,face,logreg,face_geometry,all_face,all,primary,10,all,5,0.5498412698412698,0.05777701464697494,"[0.5714285714285714, 0.47857142857142854, 0.5214285714285715, 0.5444444444444445, 0.6333333333333333]",0.55,48,72,120,3
P06,valence,multimodal,gnb,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.611904761904762,0.04406727718064047,"[0.6142857142857143, 0.6785714285714286, 0.5555555555555556, 0.6, 0.6111111111111112]",0.6641304347826087,47,72,119,1
P06,valence,multimodal,gnb,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.5877777777777778,0.08311308763580359,"[0.5428571428571428, 0.6071428571428572, 0.7, 0.47777777777777775, 0.6111111111111112]",0.6307971014492754,47,72,119,2
P06,valence,multimodal,gnb,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5663492063492064,0.03248446728460272,"[0.5642857142857143, 0.5785714285714285, 0.5555555555555556, 0.5222222222222223, 0.6111111111111112]",0.6307971014492754,47,72,119,3
P07,arousal,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.5390476190476191,0.07642912772383216,"[0.6190476190476191, 0.5, 0.47619047619047616, 0.475, 0.625]",0.8416666666666666,103,17,120,1
P07,arousal,face,gnb,face_geometry,all_face,all,primary,10,all,5,0.5342857142857143,0.07072771236970807,"[0.5952380952380952, 0.5, 0.47619047619047616, 0.475, 0.625]",0.8333333333333334,103,17,120,2
P07,arousal,face,svm,face_geometry,all_face,5,primary,10,5,5,0.4807142857142857,0.17610277740176836,"[0.35714285714285715, 0.30952380952380953, 0.7619047619047619, 0.475, 0.5]",0.6416666666666667,103,17,120,3
P07,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5900000000000001,0.11139893276967344,"[0.65, 0.425, 0.725, 0.5666666666666667, 0.5833333333333333]",0.5481884057971015,100,17,117,1
P07,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.5133333333333333,0.047360907461276046,"[0.575, 0.5, 0.45, 0.5, 0.5416666666666666]",0.7278985507246377,100,17,117,2
P07,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.505,0.04699290726623894,"[0.45, 0.525, 0.4666666666666667, 0.5666666666666667, 0.5166666666666666]",0.6163043478260869,100,17,117,3
P07,valence,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.5335672514619884,0.13737438339575833,"[0.7210526315789474, 0.5736842105263158, 0.5421052631578948, 0.34210526315789475, 0.48888888888888893]",0.6804347826086956,25,94,119,1
P07,valence,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.49421052631578954,0.08039032204262118,"[0.5684210526315789, 0.5, 0.48947368421052634, 0.3631578947368421, 0.55]",0.5960144927536232,25,94,119,2
P07,valence,face,svm,face_geometry,all_face,all,primary,10,all,5,0.4932748538011696,0.12224460468270007,"[0.48947368421052634, 0.5, 0.5, 0.3157894736842105, 0.6611111111111111]",0.6641304347826087,25,94,119,3
P07,valence,multimodal,logreg,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.48707602339181283,0.09670373551189276,"[0.48947368421052634, 0.47368421052631576, 0.6222222222222222, 0.5, 0.35]",0.6126811594202899,24,92,116,1
P07,valence,multimodal,logreg,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.48274853801169587,0.03998050207049638,"[0.4157894736842105, 0.48684210526315785, 0.48888888888888893, 0.5222222222222221, 0.5]",0.5865942028985508,24,92,116,2
P07,valence,multimodal,svm,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.48198830409356724,0.06878048242160735,"[0.5736842105263158, 0.4473684210526316, 0.5, 0.5, 0.3888888888888889]",0.7409420289855072,24,92,116,3
P08,arousal,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.5242424242424242,0.09980898883170283,"[0.4166666666666667, 0.5833333333333333, 0.41666666666666663, 0.625, 0.5795454545454546]",0.5213768115942029,59,60,119,1
P08,arousal,face,gnb,face_geometry,all_face,all,primary,10,all,5,0.4992424242424242,0.09732711120155214,"[0.375, 0.5833333333333334, 0.4166666666666667, 0.5833333333333333, 0.5378787878787878]",0.49601449275362325,59,60,119,2
P08,arousal,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.48863636363636365,0.11924300180831204,"[0.625, 0.4166666666666667, 0.5833333333333333, 0.33333333333333337, 0.48484848484848486]",0.48731884057971014,59,60,119,3
P08,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5206060606060606,0.1078294064710929,"[0.4666666666666667, 0.6363636363636364, 0.5454545454545454, 0.5909090909090909, 0.36363636363636365]",0.5181818181818182,56,54,110,1
P08,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.5081818181818182,0.10910984684108921,"[0.45, 0.6363636363636364, 0.5909090909090909, 0.5, 0.36363636363636365]",0.509090909090909,56,54,110,2
P08,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.4909090909090909,0.06741998624632418,"[0.5, 0.5909090909090908, 0.5, 0.45454545454545453, 0.4090909090909091]",0.4909090909090909,56,54,110,3
P08,valence,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.5765151515151515,0.05955528486979872,"[0.6666666666666667, 0.5416666666666666, 0.5833333333333334, 0.5833333333333334, 0.5075757575757576]",0.5793478260869566,60,59,119,1
P08,valence,face,svm,face_geometry,all_face,5,primary,10,5,5,0.5590909090909091,0.07444892432006696,"[0.625, 0.5, 0.5833333333333334, 0.625, 0.46212121212121215]",0.5623188405797102,60,59,119,2
P08,valence,face,logreg,face_geometry,all_face,all,primary,10,all,5,0.5181818181818182,0.13987995804615322,"[0.75, 0.45833333333333337, 0.5, 0.375, 0.5075757575757576]",0.5210144927536231,60,59,119,3
P08,valence,multimodal,gnb,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.5521212121212121,0.05063417836171012,"[0.5333333333333333, 0.5454545454545454, 0.6363636363636364, 0.5, 0.5454545454545454]",0.5545454545454545,56,54,110,1
P08,valence,multimodal,gnb,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5231818181818182,0.06818939351856525,"[0.525, 0.5454545454545454, 0.5454545454545454, 0.40909090909090906, 0.5909090909090908]",0.5272727272727272,56,54,110,2
P08,valence,multimodal,svm,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.4992424242424242,0.07128864360521041,"[0.5416666666666667, 0.40909090909090906, 0.5, 0.5909090909090908, 0.45454545454545453]",0.5,56,54,110,3
P09,arousal,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.4944852941176471,0.06325239166943109,"[0.5, 0.59375, 0.5, 0.4375, 0.4411764705882353]",0.625,39,81,120,1
P09,arousal,face,gnb,face_geometry,all_face,all,primary,10,all,5,0.4882352941176471,0.06410936181628507,"[0.46875, 0.59375, 0.5, 0.4375, 0.4411764705882353]",0.6166666666666667,39,81,120,2
