participant,target,classifier,modality,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy
P01,arousal,logreg,multimodal,all_eeg_plus_face,all_channels,10,primary,130,1,10,5,112,89,23,45,67,0.36507936507936506,0.34782608695652173
P01,arousal,logreg,multimodal,all_eeg_plus_face,all_channels,10,primary,130,2,10,5,112,89,23,45,67,0.6706349206349207,0.6956521739130435
P01,arousal,logreg,multimodal,all_eeg_plus_face,all_channels,10,primary,130,3,10,5,112,90,22,45,67,0.6068376068376069,0.6363636363636364
P01,arousal,logreg,multimodal,all_eeg_plus_face,all_channels,10,primary,130,4,10,5,112,90,22,45,67,0.5854700854700855,0.5909090909090909
P01,arousal,logreg,multimodal,all_eeg_plus_face,all_channels,10,primary,130,5,10,5,112,90,22,45,67,0.6837606837606838,0.7272727272727273
P01,arousal,svm,multimodal,all_eeg_plus_face,all_channels,10,primary,130,1,10,5,112,89,23,45,67,0.36507936507936506,0.34782608695652173
P01,arousal,svm,multimodal,all_eeg_plus_face,all_channels,10,primary,130,2,10,5,112,89,23,45,67,0.5634920634920635,0.5652173913043478
P01,arousal,svm,multimodal,all_eeg_plus_face,all_channels,10,primary,130,3,10,5,112,90,22,45,67,0.6452991452991452,0.6818181818181818
P01,arousal,svm,multimodal,all_eeg_plus_face,all_channels,10,primary,130,4,10,5,112,90,22,45,67,0.5085470085470085,0.5
P01,arousal,svm,multimodal,all_eeg_plus_face,all_channels,10,primary,130,5,10,5,112,90,22,45,67,0.5555555555555556,0.6363636363636364
P01,arousal,gnb,multimodal,all_eeg_plus_face,all_channels,10,primary,130,1,10,5,112,89,23,45,67,0.4920634920634921,0.4782608695652174
P01,arousal,gnb,multimodal,all_eeg_plus_face,all_channels,10,primary,130,2,10,5,112,89,23,45,67,0.6150793650793651,0.6521739130434783
P01,arousal,gnb,multimodal,all_eeg_plus_face,all_channels,10,primary,130,3,10,5,112,90,22,45,67,0.6068376068376069,0.6363636363636364
P01,arousal,gnb,multimodal,all_eeg_plus_face,all_channels,10,primary,130,4,10,5,112,90,22,45,67,0.6452991452991452,0.6818181818181818
