condition,model_id,task,feature_group,window_count,median_nearest_image_distance,iqr_nearest_image_distance,fraction_windows_with_outside,fraction_feature_values_outside,median_abs_image_z,maximum_abs_image_z
ICA,valence__multimodal__svm__10,shape_sorter_alone,eeg_selected,12,2.3082299100144823,1.4640532009630576,0.5833333333333334,0.05833333333333333,0.9411252349732571,18.99317353020603
ICA,valence__multimodal__svm__10,shape_sorter_interaction,eeg_selected,87,3.149875193139123,1.3504887474446843,0.42528735632183906,0.07701149425287354,1.045459586957723,16.113250595086274
ICA,valence__multimodal__svm__10,shape_sorter_observation,eeg_selected,53,2.3388018206434698,0.7693320642085322,0.33962264150943394,0.041509433962264156,0.7585543899098661,6.9807386859483325
ICA,valence__multimodal__svm__10,sisyphus,eeg_selected,120,3.086219764101928,3.649421517155801,0.6333333333333333,0.16916666666666672,0.9704045593895047,368.44617878644146
ICA,valence__multimodal__svm__10,stack,eeg_selected,64,2.2455086999659333,0.6824518553482,0.25,0.028125000000000004,0.8474634133942937,8.238729579243227
ICA,valence__eeg__svm__20,pick_place,all_selected,41,3.6985588514018852,1.7655567492360613,0.4634146341463415,0.06951219512195123,0.8238136911908982,41000.32438572243
ICA,valence__eeg__svm__20,shape_sorter_alone,all_selected,29,4.208615635198341,3.8426396418604774,0.5517241379310345,0.08448275862068964,0.8094576780896212,37061.36667454902
ICA,valence__eeg__svm__20,shape_sorter_interaction,all_selected,95,5.542160031804149,2.447364726444304,0.5894736842105263,0.08473684210526315,0.9917080582593432,45030.105884608456
ICA,valence__eeg__svm__20,shape_sorter_observation,all_selected,60,3.7486615294718035,1.055074488625535,0.48333333333333334,0.05666666666666666,0.7480722921317995,40013.991027555276
ICA,valence__eeg__svm__20,sisyphus,all_selected,127,5.000428410388996,11.363767169365714,0.8267716535433071,0.17204724409448824,0.943548724233011,44400.31817054448
ICA,valence__eeg__svm__20,stack,all_selected,70,4.083373614281971,1.1624574608343292,0.6142857142857143,0.0735714285714286,0.886094586861714,62120.09464897102
