record_type,participant,target,task,variant,model_rank,model_id,model,selected_feature_count,n_valid_windows,median_nearest_image_distance,iqr_nearest_image_distance,fraction_windows_any_selected_outside,fraction_selected_feature_values_outside,median_abs_image_z,maximum_abs_image_z,shift_warning,warning_contributor_summary
model_task,P15,valence,pick_place,ICA,3,valence__face__gnb__10,face gnb 10,10,20,6.73270875195967,2.494372271198161,1.0,0.3399999999999999,1.8964095538566283,17.526756430328497,False,
model_task,P15,valence,shape_sorter_alone,ICA,3,valence__face__gnb__10,face gnb 10,10,12,8.113681991651003,4.064796218925639,1.0,0.3333333333333333,2.0567252055614365,8.976730625150138,False,
model_task,P15,valence,shape_sorter_interaction,ICA,3,valence__face__gnb__10,face gnb 10,10,80,6.5672106091819415,1.808350194927458,1.0,0.3712499999999999,1.924526206216782,8.735014764826548,False,
model_task,P15,valence,shape_sorter_observation,ICA,3,valence__face__gnb__10,face gnb 10,10,104,5.743041782372302,1.810484511185708,1.0,0.3009615384615384,1.5904563278576151,8.855034214463766,False,
model_task,P15,valence,sisyphus,ICA,3,valence__face__gnb__10,face gnb 10,10,95,6.027801450894076,1.6571695895003709,1.0,0.2726315789473684,1.4893048429642817,15.769373854269706,False,
model_task,P15,valence,stack,ICA,3,valence__face__gnb__10,face gnb 10,10,61,5.12579014165336,1.8389082895138795,1.0,0.2770491803278688,1.307526115521859,8.277022678256895,False,
model_task,P15,arousal,pick_place,ICA,1,arousal__face__gnb__5,face gnb 5,5,20,1.964705896968572,1.282650853269813,0.5,0.23,1.4904696481171475,17.526756430328497,False,
model_task,P15,arousal,shape_sorter_alone,ICA,1,arousal__face__gnb__5,face gnb 5,5,12,2.0541728138938877,0.8745374557965548,0.5,0.1166666666666666,1.50487066200985,6.079047825542872,False,
model_task,P15,arousal,shape_sorter_interaction,ICA,1,arousal__face__gnb__5,face gnb 5,5,80,1.9115514212154656,1.1307655753894346,0.4625,0.1375,1.390248235066065,7.8756014171452176,False,
model_task,P15,arousal,shape_sorter_observation,ICA,1,arousal__face__gnb__5,face gnb 5,5,104,1.6265181690812198,0.8850973487651437,0.3461538461538461,0.1192307692307692,1.2097067565587802,6.305217892852802,False,
model_task,P15,arousal,sisyphus,ICA,1,arousal__face__gnb__5,face gnb 5,5,95,1.5555962201905449,0.97861623166293,0.3157894736842105,0.0926315789473684,1.0503783942226113,15.769373854269706,False,
model_task,P15,arousal,stack,ICA,1,arousal__face__gnb__5,face gnb 5,5,61,1.4184279741071475,0.7699407229017008,0.4098360655737705,0.121311475409836,1.166012115151566,6.870856897878245,False,
model_task,P15,arousal,pick_place,ICA,2,arousal__multimodal__knn__all,multimodal knn all,130,20,20.122391914086386,9.288198927515564,1.0,0.0684615384615384,0.7932035659105678,20.2036053225302,True,video_irisdo_norm_mean (median z²=nan; outside=32%); video_irisdo_norm_std (median z²=nan; outside=20%); video_eso_norm_mean (median z²=nan; outside=16%)
model_task,P15,arousal,shape_sorter_alone,ICA,2,arousal__multimodal__knn__all,multimodal knn all,130,12,24.910683256614625,10.571655792322694,1.0,0.0987179487179487,0.9104522252499376,24.79046358940443,True,eeg_bp_gamma__Oz (median z²=188.05; outside=75%); eeg_bp_gamma__PO7 (median z²=71.46; outside=92%); eeg_bp_gamma__PO8 (median z²=64.22; outside=100%)
model_task,P15,arousal,shape_sorter_interaction,ICA,2,arousal__multimodal__knn__all,multimodal knn all,130,80,17.19098038874286,2.911923407433477,1.0,0.073076923076923,0.8215757425852703,41.45777903990884,True,video_mwo_norm_std (median z²=nan; outside=16%); video_mwo_norm_mean (median z²=nan; outside=93%); video_mnso_norm_std (median z²=nan; outside=21%)
model_task,P15,arousal,shape_sorter_observation,ICA,2,arousal__multimodal__knn__all,multimodal knn all,130,104,15.812067286266366,2.4651016173425067,1.0,0.0575443786982248,0.8009925920006109,12.98022701829291,True,video_mwo_norm_std (median z²=nan; outside=12%); video_mwo_norm_mean (median z²=nan; outside=96%); video_mnso_norm_std (median z²=nan; outside=21%)
model_task,P15,arousal,sisyphus,ICA,2,arousal__multimodal__knn__all,multimodal knn all,130,95,223.346282589634,217.51365448105253,1.0,0.4216194331983805,2.043611624004667,734.5267413259738,True,video_mwo_norm_std (median z²=nan; outside=13%); video_mwo_norm_mean (median z²=nan; outside=82%); video_mnso_norm_std (median z²=nan; outside=22%)
model_task,P15,arousal,stack,ICA,2,arousal__multimodal__knn__all,multimodal knn all,130,61,15.33129656302575,2.642356669594085,1.0,0.0614123581336696,0.8124793635755625,16.692607918075176,True,video_irisdo_norm_mean (median z²=nan; outside=1%); video_irisdo_norm_std (median z²=nan; outside=16%); video_eso_norm_mean (median z²=nan; outside=7%)
model_task,P15,arousal,pick_place,ICA,3,arousal__multimodal__gnb__20,multimodal gnb 20,20,20,8.232855537498452,4.629065062439526,0.85,0.1075,0.8983837969255322,17.97989894735173,False,
model_task,P15,arousal,shape_sorter_alone,ICA,3,arousal__multimodal__gnb__20,multimodal gnb 20,20,12,9.091686150759893,7.300343322716529,0.9166666666666666,0.1333333333333333,0.9600768841963776,22.50805876711304,False,
model_task,P15,arousal,shape_sorter_interaction,ICA,3,arousal__multimodal__gnb__20,multimodal gnb 20,20,80,4.657530169391025,1.572557827304676,0.7125,0.07625,0.881572661380988,15.797197139268317,False,
model_task,P15,arousal,shape_sorter_observation,ICA,3,arousal__multimodal__gnb__20,multimodal gnb 20,20,104,4.242453315487508,1.0410512102628735,0.5096153846153846,0.0509615384615384,0.8450949531806079,11.99307345303305,False,
model_task,P15,arousal,sisyphus,ICA,3,arousal__multimodal__gnb__20,multimodal gnb 20,20,95,96.81479373892896,100.42469243253544,1.0,0.4531578947368421,2.0708821012596035,535.3069480398942,True,video_mwo_norm_std (median z²=nan; outside=13%); video_enso_norm_std (median z²=nan; outside=11%); video_eso_norm_std (median z²=nan; outside=0%)
model_task,P15,arousal,stack,ICA,3,arousal__multimodal__gnb__20,multimodal gnb 20,20,61,4.218533115488039,0.9524040384420388,0.5573770491803278,0.0549180327868852,0.8174683612620235,4.816135768921706,False,
model_task,P15,valence,pick_place,NO_ICA,1,valence__face__gnb__5,face gnb 5,5,20,2.862522264160093,1.6959855634833565,0.75,0.23,1.4337634104057009,5.754348038922916,False,
model_task,P15,valence,shape_sorter_alone,NO_ICA,1,valence__face__gnb__5,face gnb 5,5,12,3.200531071502824,1.2731193044941542,0.6666666666666666,0.15,1.0151026552741904,7.1468559906695335,False,
model_task,P15,valence,shape_sorter_interaction,NO_ICA,1,valence__face__gnb__5,face gnb 5,5,80,2.33417782488226,1.3452263178728263,0.4625,0.1775,1.694225604158026,6.41722692161883,False,
model_task,P15,valence,shape_sorter_observation,NO_ICA,1,valence__face__gnb__5,face gnb 5,5,104,1.5708018400052302,1.379220508521498,0.375,0.1192307692307692,1.109723571395253,5.843603388235969,False,
model_task,P15,valence,sisyphus,NO_ICA,1,valence__face__gnb__5,face gnb 5,5,95,1.4159357126564818,1.337819367636457,0.3263157894736842,0.0757894736842105,1.0087827568115633,15.769373854269706,False,
model_task,P15,valence,stack,NO_ICA,1,valence__face__gnb__5,face gnb 5,5,61,1.5300930010846232,1.3633362891470289,0.2786885245901639,0.0950819672131147,1.142069504016132,4.479465904004243,False,
model_task,P15,valence,pick_place,NO_ICA,2,valence__eeg__svm__20,eeg svm 20,20,25,3.6738106421389936,1.1040345566029313,0.32,0.0619999999999999,0.762667383021908,46450.21718347669,False,
model_task,P15,valence,shape_sorter_alone,NO_ICA,2,valence__eeg__svm__20,eeg svm 20,20,23,3.747229136078342,1.6682830518974776,0.3043478260869565,0.0782608695652174,0.8755090426819672,58382.67742027394,False,
model_task,P15,valence,shape_sorter_interaction,NO_ICA,2,valence__eeg__svm__20,eeg svm 20,20,85,3.7995913199181897,1.1281041134162215,0.5294117647058824,0.0517647058823529,0.8743625372083483,44281.783187379726,False,
