mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,best_parameters,inner_best_balanced_accuracy
individual,P19,valence,face,svm,10,10,1,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.3722222222222222
individual,P19,valence,face,svm,10,10,2,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5499999999999999
individual,P19,valence,face,svm,10,10,3,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.3648148148148148
individual,P19,valence,face,svm,10,10,4,"{""classifier__C"": 10, ""classifier__kernel"": ""linear""}",0.5095238095238095
individual,P19,valence,face,svm,10,10,5,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.3873015873015872
individual,P19,valence,face,svm,20,10,1,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.3722222222222222
individual,P19,valence,face,svm,20,10,2,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5499999999999999
individual,P19,valence,face,svm,20,10,3,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.3648148148148148
individual,P19,valence,face,svm,20,10,4,"{""classifier__C"": 10, ""classifier__kernel"": ""linear""}",0.5095238095238095
individual,P19,valence,face,svm,20,10,5,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.3873015873015872
individual,P19,valence,face,gnb,all,all,1,"{""classifier__var_smoothing"": 1e-11}",0.2685185185185185
individual,P19,valence,face,gnb,all,all,2,"{""classifier__var_smoothing"": 1e-11}",0.3851851851851851
individual,P19,valence,face,gnb,all,all,3,"{""classifier__var_smoothing"": 1e-11}",0.3185185185185186
individual,P19,valence,face,gnb,all,all,4,"{""classifier__var_smoothing"": 1e-11}",0.4291005291005291
individual,P19,valence,face,gnb,all,all,5,"{""classifier__var_smoothing"": 1e-11}",0.3240740740740741
individual,P19,valence,face,gnb,5,5,1,"{""classifier__var_smoothing"": 1e-11}",0.2722222222222222
individual,P19,valence,face,gnb,5,5,2,"{""classifier__var_smoothing"": 1e-11}",0.324074074074074
individual,P19,valence,face,gnb,5,5,3,"{""classifier__var_smoothing"": 1e-11}",0.3425925925925925
individual,P19,valence,face,gnb,5,5,4,"{""classifier__var_smoothing"": 1e-11}",0.332010582010582
individual,P19,valence,face,gnb,5,5,5,"{""classifier__var_smoothing"": 1e-11}",0.3018518518518518
individual,P19,valence,face,gnb,10,10,1,"{""classifier__var_smoothing"": 1e-11}",0.2685185185185185
individual,P19,valence,face,gnb,10,10,2,"{""classifier__var_smoothing"": 1e-11}",0.3851851851851851
individual,P19,valence,face,gnb,10,10,3,"{""classifier__var_smoothing"": 1e-11}",0.3185185185185186
individual,P19,valence,face,gnb,10,10,4,"{""classifier__var_smoothing"": 1e-11}",0.4291005291005291
individual,P19,valence,face,gnb,10,10,5,"{""classifier__var_smoothing"": 1e-11}",0.3240740740740741
individual,P19,valence,face,gnb,20,10,1,"{""classifier__var_smoothing"": 1e-11}",0.2685185185185185
individual,P19,valence,face,gnb,20,10,2,"{""classifier__var_smoothing"": 1e-11}",0.3851851851851851
