mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,sample_size,train_size,test_size,low_count,neutral_count,high_count,balanced_accuracy,accuracy,macro_precision,macro_recall,macro_f1,recall_low,recall_neutral,recall_high,cm_0_0,cm_0_1,cm_0_2,cm_1_0,cm_1_1,cm_1_2,cm_2_0,cm_2_1,cm_2_2
individual,P19,valence,face,knn,20,10,3,120,96,24,22,75,23,0.35,0.4583333333333333,0.3531746031746032,0.35,0.3508359456635319,0.25,0.6,0.2,1,2,1,2,9,4,1,3,1
individual,P19,valence,face,knn,20,10,4,120,96,24,22,75,23,0.2666666666666666,0.5,0.1904761904761904,0.2666666666666666,0.2222222222222222,0.0,0.8,0.0,0,5,0,3,12,0,0,4,0
individual,P19,valence,face,knn,20,10,5,120,96,24,22,75,23,0.3944444444444444,0.4583333333333333,0.4202020202020202,0.3944444444444444,0.3892551892551892,0.4,0.5333333333333333,0.25,2,1,2,7,8,0,1,2,1
individual,P19,valence,face,svm,all,all,1,120,96,24,22,75,23,0.6055555555555555,0.625,0.5564102564102563,0.6055555555555555,0.5714285714285715,0.75,0.6666666666666666,0.4,3,1,0,2,10,3,1,2,2
individual,P19,valence,face,svm,all,all,2,120,96,24,22,75,23,0.3333333333333333,0.5416666666666666,0.3019607843137255,0.3333333333333333,0.3166666666666666,0.0,0.8,0.2,0,2,2,1,12,2,1,3,1
individual,P19,valence,face,svm,all,all,3,120,96,24,22,75,23,0.4388888888888889,0.625,0.4907407407407407,0.4388888888888889,0.4478114478114478,0.25,0.8666666666666667,0.2,1,2,1,0,13,2,1,3,1
individual,P19,valence,face,svm,all,all,4,120,96,24,22,75,23,0.3333333333333333,0.5416666666666666,0.293859649122807,0.3333333333333333,0.3093681917211329,0.2,0.8,0.0,1,4,0,2,12,1,1,3,0
individual,P19,valence,face,svm,all,all,5,120,96,24,22,75,23,0.4444444444444444,0.5833333333333334,0.3541666666666667,0.4444444444444444,0.3904052936311,0.6,0.7333333333333333,0.0,3,2,0,4,11,0,1,3,0
individual,P19,valence,face,svm,5,5,1,120,96,24,22,75,23,0.2888888888888889,0.5416666666666666,0.2063492063492063,0.2888888888888889,0.2407407407407407,0.0,0.8666666666666667,0.0,0,4,0,0,13,2,1,4,0
individual,P19,valence,face,svm,5,5,2,120,96,24,22,75,23,0.2888888888888889,0.5416666666666666,0.2166666666666666,0.2888888888888889,0.2476190476190476,0.0,0.8666666666666667,0.0,0,3,1,1,13,1,1,4,0
individual,P19,valence,face,svm,5,5,3,120,96,24,22,75,23,0.5111111111111111,0.7083333333333334,0.4456140350877193,0.5111111111111111,0.4745098039215685,0.0,0.9333333333333332,0.6,0,3,1,0,14,1,0,2,3
individual,P19,valence,face,svm,5,5,4,120,96,24,22,75,23,0.3111111111111111,0.5833333333333334,0.2028985507246377,0.3111111111111111,0.2456140350877192,0.0,0.9333333333333332,0.0,0,5,0,1,14,0,0,4,0
individual,P19,valence,face,svm,5,5,5,120,96,24,22,75,23,0.3333333333333333,0.625,0.2083333333333333,0.3333333333333333,0.2564102564102564,0.0,1.0,0.0,0,5,0,0,15,0,0,4,0
individual,P19,valence,face,svm,10,10,1,120,96,24,22,75,23,0.6055555555555555,0.625,0.5564102564102563,0.6055555555555555,0.5714285714285715,0.75,0.6666666666666666,0.4,3,1,0,2,10,3,1,2,2
individual,P19,valence,face,svm,10,10,2,120,96,24,22,75,23,0.3333333333333333,0.5416666666666666,0.3019607843137255,0.3333333333333333,0.3166666666666666,0.0,0.8,0.2,0,2,2,1,12,2,1,3,1
individual,P19,valence,face,svm,10,10,3,120,96,24,22,75,23,0.4388888888888889,0.625,0.4907407407407407,0.4388888888888889,0.4478114478114478,0.25,0.8666666666666667,0.2,1,2,1,0,13,2,1,3,1
individual,P19,valence,face,svm,10,10,4,120,96,24,22,75,23,0.3333333333333333,0.5416666666666666,0.293859649122807,0.3333333333333333,0.3093681917211329,0.2,0.8,0.0,1,4,0,2,12,1,1,3,0
individual,P19,valence,face,svm,10,10,5,120,96,24,22,75,23,0.4444444444444444,0.5833333333333334,0.3541666666666667,0.4444444444444444,0.3904052936311,0.6,0.7333333333333333,0.0,3,2,0,4,11,0,1,3,0
individual,P19,valence,face,svm,20,10,1,120,96,24,22,75,23,0.6055555555555555,0.625,0.5564102564102563,0.6055555555555555,0.5714285714285715,0.75,0.6666666666666666,0.4,3,1,0,2,10,3,1,2,2
individual,P19,valence,face,svm,20,10,2,120,96,24,22,75,23,0.3333333333333333,0.5416666666666666,0.3019607843137255,0.3333333333333333,0.3166666666666666,0.0,0.8,0.2,0,2,2,1,12,2,1,3,1
individual,P19,valence,face,svm,20,10,3,120,96,24,22,75,23,0.4388888888888889,0.625,0.4907407407407407,0.4388888888888889,0.4478114478114478,0.25,0.8666666666666667,0.2,1,2,1,0,13,2,1,3,1
individual,P19,valence,face,svm,20,10,4,120,96,24,22,75,23,0.3333333333333333,0.5416666666666666,0.293859649122807,0.3333333333333333,0.3093681917211329,0.2,0.8,0.0,1,4,0,2,12,1,1,3,0
individual,P19,valence,face,svm,20,10,5,120,96,24,22,75,23,0.4444444444444444,0.5833333333333334,0.3541666666666667,0.4444444444444444,0.3904052936311,0.6,0.7333333333333333,0.0,3,2,0,4,11,0,1,3,0
individual,P19,valence,face,gnb,all,all,1,120,96,24,22,75,23,0.4777777777777778,0.5833333333333334,0.6156862745098038,0.4777777777777778,0.5180555555555555,0.5,0.7333333333333333,0.2,2,2,0,0,11,4,0,4,1
individual,P19,valence,face,gnb,all,all,2,120,96,24,22,75,23,0.2,0.2916666666666667,0.2698412698412698,0.2,0.2222222222222222,0.0,0.4,0.2,0,3,1,4,6,5,4,0,1
individual,P19,valence,face,gnb,all,all,3,120,96,24,22,75,23,0.4333333333333333,0.5,0.4087301587301588,0.4333333333333333,0.4143039591315453,0.5,0.6,0.2,2,1,1,4,9,2,0,4,1
individual,P19,valence,face,gnb,all,all,4,120,96,24,22,75,23,0.3277777777777778,0.4166666666666667,0.3273504273504273,0.3277777777777778,0.3238095238095237,0.2,0.5333333333333333,0.25,1,3,1,3,8,4,1,2,1
individual,P19,valence,face,gnb,all,all,5,120,96,24,22,75,23,0.4222222222222222,0.5416666666666666,0.3333333333333333,0.4222222222222222,0.368899917287014,0.6,0.6666666666666666,0.0,3,2,0,5,10,0,0,4,0
individual,P19,valence,face,gnb,5,5,1,120,96,24,22,75,23,0.3555555555555555,0.5,0.2913165266106443,0.3555555555555555,0.3194444444444444,0.0,0.6666666666666666,0.4,0,4,0,0,10,5,0,3,2
individual,P19,valence,face,gnb,5,5,2,120,96,24,22,75,23,0.2444444444444444,0.375,0.2222222222222222,0.2444444444444444,0.2326490713587488,0.0,0.5333333333333333,0.2,0,4,0,2,8,5,0,4,1
individual,P19,valence,face,gnb,5,5,3,120,96,24,22,75,23,0.3555555555555555,0.5833333333333334,0.373015873015873,0.3555555555555555,0.335978835978836,0.0,0.8666666666666667,0.2,0,4,0,1,13,1,0,4,1
individual,P19,valence,face,gnb,5,5,4,120,96,24,22,75,23,0.3666666666666667,0.4583333333333333,0.2883597883597883,0.3666666666666667,0.3094606542882405,0.0,0.6,0.5,0,3,2,1,9,5,0,2,2
individual,P19,valence,face,gnb,5,5,5,120,96,24,22,75,23,0.4222222222222222,0.625,0.3833333333333333,0.4222222222222222,0.3957671957671957,0.4,0.8666666666666667,0.0,2,3,0,2,13,0,0,4,0
individual,P19,valence,face,gnb,10,10,1,120,96,24,22,75,23,0.4777777777777778,0.5833333333333334,0.6156862745098038,0.4777777777777778,0.5180555555555555,0.5,0.7333333333333333,0.2,2,2,0,0,11,4,0,4,1
individual,P19,valence,face,gnb,10,10,2,120,96,24,22,75,23,0.2,0.2916666666666667,0.2698412698412698,0.2,0.2222222222222222,0.0,0.4,0.2,0,3,1,4,6,5,4,0,1
individual,P19,valence,face,gnb,10,10,3,120,96,24,22,75,23,0.4333333333333333,0.5,0.4087301587301588,0.4333333333333333,0.4143039591315453,0.5,0.6,0.2,2,1,1,4,9,2,0,4,1
individual,P19,valence,face,gnb,10,10,4,120,96,24,22,75,23,0.3277777777777778,0.4166666666666667,0.3273504273504273,0.3277777777777778,0.3238095238095237,0.2,0.5333333333333333,0.25,1,3,1,3,8,4,1,2,1
individual,P19,valence,face,gnb,10,10,5,120,96,24,22,75,23,0.4222222222222222,0.5416666666666666,0.3333333333333333,0.4222222222222222,0.368899917287014,0.6,0.6666666666666666,0.0,3,2,0,5,10,0,0,4,0
individual,P19,valence,face,gnb,20,10,1,120,96,24,22,75,23,0.4777777777777778,0.5833333333333334,0.6156862745098038,0.4777777777777778,0.5180555555555555,0.5,0.7333333333333333,0.2,2,2,0,0,11,4,0,4,1
individual,P19,valence,face,gnb,20,10,2,120,96,24,22,75,23,0.2,0.2916666666666667,0.2698412698412698,0.2,0.2222222222222222,0.0,0.4,0.2,0,3,1,4,6,5,4,0,1
individual,P19,valence,face,gnb,20,10,3,120,96,24,22,75,23,0.4333333333333333,0.5,0.4087301587301588,0.4333333333333333,0.4143039591315453,0.5,0.6,0.2,2,1,1,4,9,2,0,4,1
individual,P19,valence,face,gnb,20,10,4,120,96,24,22,75,23,0.3277777777777778,0.4166666666666667,0.3273504273504273,0.3277777777777778,0.3238095238095237,0.2,0.5333333333333333,0.25,1,3,1,3,8,4,1,2,1
individual,P19,valence,face,gnb,20,10,5,120,96,24,22,75,23,0.4222222222222222,0.5416666666666666,0.3333333333333333,0.4222222222222222,0.368899917287014,0.6,0.6666666666666666,0.0,3,2,0,5,10,0,0,4,0
individual,P19,valence,multimodal,knn,all,all,1,120,96,24,22,75,23,0.3111111111111111,0.5833333333333334,0.2028985507246377,0.3111111111111111,0.2456140350877192,0.0,0.9333333333333332,0.0,0,4,0,1,14,0,0,5,0
individual,P19,valence,multimodal,knn,all,all,2,120,96,24,22,75,23,0.3777777777777777,0.625,0.3999999999999999,0.3777777777777777,0.3619047619047619,0.0,0.9333333333333332,0.2,0,3,1,1,14,0,1,3,1
individual,P19,valence,multimodal,knn,all,all,3,120,96,24,22,75,23,0.3333333333333333,0.625,0.2083333333333333,0.3333333333333333,0.2564102564102564,0.0,1.0,0.0,0,4,0,0,15,0,0,5,0
