held_out_participant,train_rows,validation_rows,test_rows,best_epoch,best_validation_mse,validation_rmse,validation_mae,test_rmse,test_mae,dummy_validation_rmse,dummy_validation_mae,dummy_test_rmse,dummy_test_mae,validation_rmse_delta,test_rmse_delta,validation_ba,test_ba,test_accuracy
P36,4129,939,102,60,3.3269636631011963,1.823996663093567,1.5601062774658203,2.1080162525177,1.8832238912582397,1.8192635172510712,1.548894788440215,2.1045632477239584,1.8828183247142403,0.004733145842495734,0.0034530047937417763,0.4949646314221891,0.5512422360248447,0.5392156862745098
P37,4107,956,107,91,3.1921207904815674,1.7866507768630981,1.5079816579818726,1.7711186408996582,1.4270368814468384,1.8091760065945142,1.5220360584490404,1.716294409122245,1.3499996586634628,-0.02252522973141602,0.054824231777413246,0.5555489024612014,0.5,0.42990654205607476
P38,4069,981,120,88,3.272831439971924,1.8090969324111938,1.5341216325759888,1.673581600189209,1.4244707822799683,1.8075231699176517,1.528198714879842,1.6289377992032603,1.3707217170475956,0.0015737624935421302,0.04464380098594867,0.5295900178253119,0.4689565967231963,0.525
P39,4005,1047,118,63,3.6398816108703613,1.9078474044799805,1.5890995264053345,1.393320083618164,1.0883268117904663,1.8648515513395258,1.556221628408615,1.3452082030835326,1.0128039103662794,0.04299585314045462,0.048111880534631446,0.4930223492723493,0.5393939393939394,0.3898305084745763
P40,3987,1063,120,83,3.7935447692871094,1.947702407836914,1.6443647146224976,2.1068475246429443,1.8421775102615356,1.9370897188273304,1.6347895476856698,2.1006117610690502,1.8232296630716496,0.010612689009583676,0.006235763573894104,0.4749447270697834,0.4747474747474747,0.48333333333333334
P41,3987,1066,117,79,3.864985704421997,1.965956687927246,1.671035885810852,1.94938325881958,1.6171252727508545,1.9560360320449925,1.6604438157595676,1.938416963183263,1.5943225740065472,0.009920655882253548,0.010966295636317014,0.4901413009072706,0.41730769230769227,0.39316239316239315
P42,3984,1066,120,73,3.868340492248535,1.9668097496032715,1.6715561151504517,1.3996378183364868,1.1919530630111694,1.9559733950168554,1.6599691448721718,1.4044959672901594,1.1836094377510038,0.010836354586416075,-0.004858148953672536,0.5052814459425337,0.4847285067873303,0.5083333333333333
P43,4065,985,120,60,3.642390727996826,1.908504843711853,1.6012791395187378,1.3375552892684937,1.067445158958435,1.9285273175298097,1.585359482021216,1.3068020664850304,0.9807154571545716,-0.020022473817956632,0.030753222783463263,0.5276565915166714,0.5140440954394443,0.6333333333333333
P44,4010,1041,119,86,3.4572091102600098,1.859357237815857,1.5800315141677856,2.50872540473938,2.2519068717956543,1.8299068379983974,1.5623120393061536,2.404444914232494,2.165940191537962,0.02945039981745956,0.10428049050688593,0.49282058888971303,0.5095238095238095,0.31932773109243695
P45,4041,1009,120,63,3.1756973266601562,1.7820487022399902,1.4350125789642334,1.4322391748428345,1.168567419052124,1.7772571126425944,1.4083741255696993,1.4575357102718733,1.1791285160438834,0.0047915895973957845,-0.02529653542903887,0.5272811240951569,0.5613553113553114,0.6583333333333333
P46,4071,981,118,66,4.260340213775635,2.064059257507324,1.8024704456329346,1.5610857009887695,1.2864309549331665,2.0734923958369196,1.797556171032471,1.5293758046540409,1.2546494635474563,-0.009433138329595359,0.03170989633472865,0.49917673587474476,0.4864705882352941,0.4661016949152542
