participant,target,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,modality
P01,valence,svm,paper_compact,all_channels,8,secondary,64,3,8,5,114,91,23,52,62,0.6515151515151515,0.6521739130434783,eeg
P01,valence,svm,paper_compact,all_channels,8,secondary,64,4,8,5,114,91,23,52,62,0.5492424242424242,0.5652173913043478,eeg
P01,valence,svm,paper_compact,all_channels,8,secondary,64,5,8,5,114,92,22,52,62,0.3833333333333333,0.4090909090909091,eeg
P01,valence,gnb,paper_compact,all_channels,8,secondary,64,1,8,5,114,91,23,52,62,0.4076923076923077,0.4347826086956521,eeg
P01,valence,gnb,paper_compact,all_channels,8,secondary,64,2,8,5,114,91,23,52,62,0.5846153846153846,0.6086956521739131,eeg
P01,valence,gnb,paper_compact,all_channels,8,secondary,64,3,8,5,114,91,23,52,62,0.6553030303030303,0.6521739130434783,eeg
P01,valence,gnb,paper_compact,all_channels,8,secondary,64,4,8,5,114,91,23,52,62,0.4393939393939393,0.4347826086956521,eeg
P01,valence,gnb,paper_compact,all_channels,8,secondary,64,5,8,5,114,92,22,52,62,0.4416666666666666,0.4545454545454545,eeg
P01,valence,logreg,paper_compact,all_channels,10,secondary,64,1,10,5,114,91,23,52,62,0.4692307692307692,0.4782608695652174,eeg
P01,valence,logreg,paper_compact,all_channels,10,secondary,64,2,10,5,114,91,23,52,62,0.4307692307692308,0.4347826086956521,eeg
P01,valence,logreg,paper_compact,all_channels,10,secondary,64,3,10,5,114,91,23,52,62,0.6553030303030303,0.6521739130434783,eeg
P01,valence,logreg,paper_compact,all_channels,10,secondary,64,4,10,5,114,91,23,52,62,0.6022727272727273,0.6086956521739131,eeg
P01,valence,logreg,paper_compact,all_channels,10,secondary,64,5,10,5,114,92,22,52,62,0.3416666666666667,0.3636363636363636,eeg
P01,valence,svm,paper_compact,all_channels,10,secondary,64,1,10,5,114,91,23,52,62,0.4576923076923077,0.4782608695652174,eeg
P01,valence,svm,paper_compact,all_channels,10,secondary,64,2,10,5,114,91,23,52,62,0.4192307692307692,0.4347826086956521,eeg
P01,valence,svm,paper_compact,all_channels,10,secondary,64,3,10,5,114,91,23,52,62,0.6553030303030303,0.6521739130434783,eeg
P01,valence,svm,paper_compact,all_channels,10,secondary,64,4,10,5,114,91,23,52,62,0.5,0.5217391304347826,eeg
P01,valence,svm,paper_compact,all_channels,10,secondary,64,5,10,5,114,92,22,52,62,0.4333333333333333,0.4545454545454545,eeg
P01,valence,gnb,paper_compact,all_channels,10,secondary,64,1,10,5,114,91,23,52,62,0.4961538461538461,0.5217391304347826,eeg
P01,valence,gnb,paper_compact,all_channels,10,secondary,64,2,10,5,114,91,23,52,62,0.4692307692307692,0.4782608695652174,eeg
P01,valence,gnb,paper_compact,all_channels,10,secondary,64,3,10,5,114,91,23,52,62,0.571969696969697,0.5652173913043478,eeg
P01,valence,gnb,paper_compact,all_channels,10,secondary,64,4,10,5,114,91,23,52,62,0.4469696969696969,0.4347826086956521,eeg
