participant,target,modality,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,feature_count_resolved,outer_folds,mean_outer_cv_balanced_accuracy,fold_ba_sd,outer_fold_ba_values,mean_accuracy,low_count,high_count,sample_size
P11,arousal,face,logreg,face_geometry,all_face,all,primary,10,all,5,0.5953046953046953,0.0872525436548708,"[0.5279720279720279, 0.7342657342657343, 0.5428571428571428, 0.5428571428571428, 0.6285714285714286]",0.625,52,68,120
P11,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5405794205794205,0.0978981005422594,"[0.4125874125874126, 0.6188811188811189, 0.5071428571428571, 0.5071428571428571, 0.6571428571428571]",0.5583333333333333,52,68,120
P11,valence,eeg,logreg,hjorth,all_channels,8,primary,16,8,5,0.525874125874126,0.098265080445495,"[0.375, 0.5833333333333334, 0.5416666666666667, 0.6328671328671329, 0.49650349650349646]",0.525,58,62,120
P11,valence,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.6155594405594406,0.1104150125545392,"[0.5, 0.5833333333333333, 0.7916666666666667, 0.6398601398601399, 0.5629370629370629]",0.6083333333333333,58,62,120
P11,valence,multimodal,gnb,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.582983682983683,0.0597658241460145,"[0.5416666666666666, 0.5833333333333334, 0.5416666666666666, 0.6853146853146853, 0.5629370629370629]",0.575,58,62,120
P12,arousal,eeg,svm,paper_compact,frontal_central,8,secondary,32,8,4,0.5862068965517242,0.242607711715005,"[0.43103448275862066, 0.9482758620689655, 0.4827586206896552, 0.4827586206896552]",0.9,4,116,120
P12,arousal,face,gnb,face_geometry,all_face,all,primary,10,all,4,0.5,0.0,"[0.5, 0.5, 0.5, 0.5]",0.9666666666666668,4,116,120
P12,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,20,primary,130,20,4,0.5,0.0,"[0.5, 0.5, 0.5, 0.5]",0.9666666666666668,4,116,120
P12,valence,eeg,gnb,hjorth,all_channels,8,primary,16,8,5,0.605672268907563,0.0629007875484713,"[0.5252100840336134, 0.6680672268907563, 0.6554621848739496, 0.5546218487394958, 0.625]",0.6916666666666667,36,84,120
P12,valence,face,svm,face_geometry,all_face,5,primary,10,5,5,0.5033613445378151,0.0100313751145489,"[0.5210084033613445, 0.4957983193277311, 0.5, 0.5, 0.5]",0.6333333333333334,36,84,120
P12,valence,multimodal,logreg,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.519485294117647,0.1428475362099887,"[0.5126050420168067, 0.31932773109243695, 0.45378151260504196, 0.6554621848739496, 0.65625]",0.6083333333333333,36,84,120
P13,arousal,eeg,logreg,all_eeg,all_channels,8,primary,120,8,5,0.6392929292929292,0.0959314901025018,"[0.7102272727272727, 0.7215909090909092, 0.6590909090909092, 0.6222222222222222, 0.4833333333333333]",0.6421052631578947,53,42,95
P13,arousal,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.5416239316239316,0.1520102350153411,"[0.4444444444444444, 0.3611111111111111, 0.7576923076923077, 0.5423076923076923, 0.6025641025641025]",0.5181818181818182,67,47,114
P13,arousal,multimodal,svm,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.6581818181818182,0.080520439767078,"[0.6477272727272727, 0.7386363636363636, 0.7045454545454546, 0.6722222222222223, 0.5277777777777778]",0.6631578947368422,53,42,95
P13,valence,eeg,logreg,hjorth,all_channels,8,primary,16,8,5,0.547985347985348,0.1305364305121701,"[0.7243589743589745, 0.47435897435897434, 0.5512820512820513, 0.608974358974359, 0.38095238095238093]",0.5473684210526316,31,64,95
P13,valence,face,gnb,face_geometry,all_face,all,primary,10,all,5,0.5947023809523809,0.1116661352028169,"[0.5491071428571428, 0.5758928571428572, 0.5446428571428572, 0.5133928571428572, 0.7904761904761906]",0.5810276679841897,35,79,114
P13,valence,multimodal,gnb,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.5802197802197802,0.115467439313084,"[0.6025641025641025, 0.6923076923076923, 0.38461538461538464, 0.6025641025641025, 0.6190476190476191]",0.5789473684210527,31,64,95
P14,arousal,eeg,logreg,paper_compact,all_channels,10,secondary,64,10,5,0.6201282051282051,0.0884726860311701,"[0.6346153846153846, 0.5576923076923077, 0.5916666666666667, 0.55, 0.7666666666666666]",0.6252964426877471,50,62,112
P14,arousal,face,gnb,face_geometry,all_face,all,primary,10,all,5,0.5682717282717282,0.1350120901725101,"[0.45, 0.7785714285714285, 0.5428571428571428, 0.458041958041958, 0.6118881118881119]",0.5833333333333333,52,68,120
P14,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.583076923076923,0.0341631185919313,"[0.5692307692307692, 0.5961538461538461, 0.5416666666666667, 0.6333333333333333, 0.575]",0.5893280632411068,50,62,112
P14,valence,eeg,logreg,hjorth,all_channels,10,primary,16,10,5,0.5869696969696969,0.1093449798103858,"[0.48484848484848486, 0.5606060606060606, 0.7727272727272727, 0.5416666666666667, 0.575]",0.5905138339920948,59,53,112
P14,valence,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.5612470862470862,0.1024183941947078,"[0.45104895104895104, 0.5279720279720279, 0.6188811188811189, 0.7083333333333333, 0.5]",0.5666666666666667,63,57,120
P14,valence,multimodal,svm,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5574242424242424,0.0712149419170567,"[0.48484848484848486, 0.5568181818181819, 0.5454545454545454, 0.675, 0.525]",0.5632411067193676,59,53,112
P15,arousal,eeg,svm,paper_compact,frontal_central,10,secondary,32,10,5,0.5216666666666667,0.0953874490281544,"[0.6777777777777778, 0.5, 0.41666666666666663, 0.5138888888888888, 0.5]",0.6418972332015811,23,89,112
P15,arousal,face,gnb,face_geometry,all_face,5,primary,10,5,5,0.587953216374269,0.0891679598900973,"[0.5555555555555556, 0.5684210526315789, 0.7, 0.6473684210526316, 0.46842105263157896]",0.725,26,94,120
P15,arousal,multimodal,gnb,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.6190196078431371,0.1479441668494001,"[0.6611111111111111, 0.4722222222222222, 0.4583333333333333, 0.7916666666666667, 0.7117647058823529]",0.7233201581027668,23,89,112
P15,valence,eeg,logreg,all_eeg,all_channels,10,primary,120,10,5,0.6254761904761905,0.1037033915744141,"[0.7416666666666667, 0.7083333333333333, 0.48214285714285715, 0.6142857142857143, 0.5809523809523809]",0.6596837944664031,38,74,112
P15,valence,face,svm,face_geometry,all_face,5,primary,10,5,5,0.63125,0.0808886194096549,"[0.75, 0.625, 0.65625, 0.53125, 0.59375]",0.6583333333333333,40,80,120
P15,valence,multimodal,logreg,all_eeg_plus_face,all_channels,20,primary,130,20,5,0.6286904761904761,0.1187320221503037,"[0.7125, 0.7416666666666667, 0.44642857142857145, 0.6619047619047619, 0.5809523809523809]",0.6411067193675889,38,74,112
P16,arousal,eeg,logreg,paper_compact,all_channels,10,secondary,64,10,5,0.6788888888888889,0.068171669652502,"[0.6111111111111112, 0.6833333333333333, 0.7083333333333333, 0.775, 0.6166666666666667]",0.6989130434782609,41,75,116
P16,arousal,face,logreg,face_geometry,all_face,5,primary,10,5,5,0.6334722222222222,0.1045645180064726,"[0.65625, 0.6888888888888889, 0.7666666666666666, 0.5222222222222221, 0.5333333333333333]",0.6333333333333333,44,76,120
P16,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.6183333333333334,0.0742204860908061,"[0.5666666666666667, 0.6166666666666667, 0.5541666666666667, 0.7416666666666667, 0.6125]",0.6300724637681159,41,75,116
P16,valence,eeg,svm,hjorth,all_channels,8,primary,16,8,5,0.6021328671328672,0.1198054103493065,"[0.5804195804195804, 0.6461538461538461, 0.7840909090909092, 0.4772727272727273, 0.5227272727272727]",0.6036231884057971,54,62,116
P16,valence,face,svm,face_geometry,all_face,5,primary,10,5,5,0.6286713286713287,0.0811911903423776,"[0.7027972027972028, 0.5629370629370629, 0.7167832167832169, 0.534965034965035, 0.6258741258741258]",0.625,55,65,120
P16,valence,multimodal,svm,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.6305361305361306,0.0790494775195264,"[0.6258741258741258, 0.5192307692307692, 0.7386363636363636, 0.6553030303030303, 0.6136363636363636]",0.6293478260869565,54,62,116
P17,arousal,eeg,gnb,all_eeg,all_channels,8,primary,120,8,5,0.626890756302521,0.0699705257361488,"[0.6554621848739496, 0.5966386554621849, 0.5277777777777778, 0.6388888888888888, 0.7156862745098038]",0.6978260869565217,32,87,119
P17,arousal,face,svm,face_geometry,all_face,all,primary,10,all,5,0.580532212885154,0.1057604593574562,"[0.76890756302521, 0.5504201680672269, 0.5277777777777778, 0.5277777777777778, 0.5277777777777778]",0.625,32,88,120
P17,arousal,multimodal,logreg,all_eeg_plus_face,all_channels,10,primary,130,10,5,0.5929038281979458,0.1270977858177669,"[0.7394957983193278, 0.4831932773109243, 0.6111111111111112, 0.4444444444444444, 0.6862745098039216]",0.6641304347826087,32,87,119
P17,valence,eeg,svm,all_eeg,all_channels,8,primary,120,8,5,0.648951048951049,0.0363195774682656,"[0.6853146853146853, 0.6363636363636364, 0.6571428571428571, 0.5928571428571429, 0.6730769230769231]",0.6641304347826087,52,67,119
P17,valence,face,logreg,face_geometry,all_face,all,primary,10,all,5,0.6491708291708292,0.1081269505428465,"[0.7482517482517483, 0.6118881118881119, 0.4857142857142857, 0.6571428571428571, 0.7428571428571429]",0.6583333333333333,52,68,120
P17,valence,multimodal,logreg,all_eeg_plus_face,all_channels,5,primary,130,5,5,0.6522077922077922,0.1034635280763918,"[0.7622377622377623, 0.7097902097902098, 0.5857142857142856, 0.5071428571428571, 0.6961538461538461]",0.6557971014492754,52,67,119
