participant,target,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,best_parameters,inner_best_balanced_accuracy,selected_feature_names,modality
P29,valence,gnb,all_eeg_plus_face,all_channels,20,primary,130,1,20,5,"{""classifier__var_smoothing"": 1e-11}",0.4722222222222221,"[""eeg_sd__Oz"", ""eeg_sd__PO7"", ""eeg_se__Cz"", ""eeg_se__Oz"", ""eeg_se__PO8"", ""eeg_hm__Oz"", ""eeg_hc__Oz"", ""eeg_mf_hz__C4"", ""eeg_mf_hz__Cz"", ""eeg_bp_delta__Oz"", ""eeg_se_delta__C4"", ""eeg_se_delta__PO8"", ""eeg_bp_theta__Oz"", ""eeg_se_alpha__C3"", ""eeg_se_beta__C3"", ""eeg_se_beta__Cz"", ""eeg_se_beta__Fz"", ""eeg_bp_gamma__PO8"", ""eeg_se_gamma__C3"", ""eeg_se_gamma__C4""]",multimodal
P29,valence,gnb,all_eeg_plus_face,all_channels,20,primary,130,2,20,5,"{""classifier__var_smoothing"": 1e-11}",0.4820261437908497,"[""eeg_se__C3"", ""eeg_se__Oz"", ""eeg_se__PO8"", ""eeg_hc__Oz"", ""eeg_bp_delta__C3"", ""eeg_bp_delta__Oz"", ""eeg_se_delta__C4"", ""eeg_se_delta__PO8"", ""eeg_se_theta__Fz"", ""eeg_bp_alpha__PO7"", ""eeg_se_alpha__C3"", ""eeg_se_alpha__Cz"", ""eeg_se_alpha__PO8"", ""eeg_bp_beta__PO7"", ""eeg_se_beta__C3"", ""eeg_bp_gamma__Oz"", ""eeg_se_gamma__C3"", ""eeg_se_gamma__C4"", ""eeg_se_gamma__Fz"", ""video_mwo_norm_std""]",multimodal
P29,valence,gnb,all_eeg_plus_face,all_channels,20,primary,130,3,20,5,"{""classifier__var_smoothing"": 1e-11}",0.565359477124183,"[""eeg_se__Cz"", ""eeg_se__Oz"", ""eeg_se__PO8"", ""eeg_hc__Cz"", ""eeg_mf_hz__C4"", ""eeg_mf_hz__Cz"", ""eeg_se_delta__C4"", ""eeg_se_delta__PO8"", ""eeg_bp_theta__C3"", ""eeg_se_theta__C4"", ""eeg_se_theta__Fz"", ""eeg_bp_alpha__Cz"", ""eeg_bp_alpha__Oz"", ""eeg_bp_beta__PO7"", ""eeg_se_beta__C3"", ""eeg_se_beta__Cz"", ""eeg_bp_gamma__PO8"", ""eeg_bp_gamma__Pz"", ""eeg_se_gamma__C3"", ""eeg_se_gamma__C4""]",multimodal
P29,valence,gnb,all_eeg_plus_face,all_channels,20,primary,130,4,20,5,"{""classifier__var_smoothing"": 1e-11}",0.5196078431372549,"[""eeg_se__C3"", ""eeg_se__Fz"", ""eeg_se__Oz"", ""eeg_hm__Oz"", ""eeg_hc__Oz"", ""eeg_mf_hz__Oz"", ""eeg_bp_delta__C3"", ""eeg_bp_delta__Oz"", ""eeg_se_delta__PO8"", ""eeg_se_theta__Fz"", ""eeg_bp_alpha__Cz"", ""eeg_se_alpha__C3"", ""eeg_se_alpha__Pz"", ""eeg_se_beta__C3"", ""eeg_se_beta__Cz"", ""eeg_bp_gamma__Oz"", ""eeg_bp_gamma__PO8"", ""eeg_se_gamma__C3"", ""eeg_se_gamma__C4"", ""eeg_se_gamma__Fz""]",multimodal
P29,valence,gnb,all_eeg_plus_face,all_channels,20,primary,130,5,20,5,"{""classifier__var_smoothing"": 1e-11}",0.4645969498910675,"[""eeg_se__Cz"", ""eeg_se__PO8"", ""eeg_mf_hz__C4"", ""eeg_bp_delta__Oz"", ""eeg_se_delta__C4"", ""eeg_se_delta__PO8"", ""eeg_se_theta__Fz"", ""eeg_bp_alpha__Cz"", ""eeg_se_alpha__C3"", ""eeg_se_alpha__Cz"", ""eeg_bp_beta__PO7"", ""eeg_se_beta__C3"", ""eeg_se_beta__Cz"", ""eeg_se_beta__Fz"", ""eeg_se_beta__Oz"", ""eeg_bp_gamma__PO7"", ""eeg_bp_gamma__Pz"", ""eeg_se_gamma__C3"", ""eeg_se_gamma__Fz"", ""eeg_se_gamma__Pz""]",multimodal
P29,arousal,logreg,face_geometry,all_face,5,primary,10,1,5,5,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.4924963924963925,"[""video_irisdo_norm_mean"", ""video_eso_norm_std"", ""video_enso_norm_mean"", ""video_mnso_norm_mean"", ""video_mwo_norm_mean""]",face
P29,arousal,logreg,face_geometry,all_face,5,primary,10,2,5,5,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.523088023088023,"[""video_irisdo_norm_std"", ""video_eso_norm_std"", ""video_enso_norm_std"", ""video_mnso_norm_mean"", ""video_mnso_norm_std""]",face
P29,arousal,logreg,face_geometry,all_face,5,primary,10,3,5,5,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.4810966810966811,"[""video_irisdo_norm_std"", ""video_enso_norm_std"", ""video_mnso_norm_mean"", ""video_mnso_norm_std"", ""video_mwo_norm_mean""]",face
P29,arousal,logreg,face_geometry,all_face,5,primary,10,4,5,5,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.5005050505050505,"[""video_irisdo_norm_std"", ""video_eso_norm_std"", ""video_enso_norm_std"", ""video_mnso_norm_mean"", ""video_mwo_norm_mean""]",face
P29,arousal,logreg,face_geometry,all_face,5,primary,10,5,5,5,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.547041847041847,"[""video_eso_norm_mean"", ""video_eso_norm_std"", ""video_mnso_norm_mean"", ""video_mwo_norm_mean"", ""video_mwo_norm_std""]",face
