participant,target,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,feature_count_resolved,outer_folds,mean_outer_cv_balanced_accuracy,fold_ba_sd,outer_fold_ba_values,mean_accuracy,low_count,high_count,sample_size,modality
P02,valence,gnb,hjorth,all_channels,8,primary,16,8,5,0.6277272727272727,0.1357008302670616,"[0.8166666666666667, 0.45, 0.6333333333333333, 0.675, 0.5636363636363637]",0.6544117647058824,25,59,84,eeg
P02,valence,gnb,paper_compact,all_channels,10,secondary,64,10,5,0.6842424242424243,0.0663893163266052,"[0.8, 0.675, 0.6333333333333333, 0.6583333333333333, 0.6545454545454545]",0.75,25,59,84,eeg
P02,valence,gnb,paper_compact,all_channels,8,secondary,64,8,5,0.6268181818181818,0.1039351421517509,"[0.7583333333333333, 0.5333333333333333, 0.675, 0.6583333333333333, 0.5090909090909091]",0.7014705882352941,25,59,84,eeg
P02,valence,gnb,paper_compact,frontal_central,10,secondary,32,10,5,0.5551515151515152,0.0540656506682892,"[0.6166666666666667, 0.5333333333333333, 0.5166666666666667, 0.5, 0.6090909090909091]",0.6669117647058824,25,59,84,eeg
P02,valence,gnb,paper_compact,frontal_central,8,secondary,32,8,5,0.5842424242424242,0.0771638418822651,"[0.6583333333333333, 0.4916666666666667, 0.5166666666666667, 0.6, 0.6545454545454545]",0.6911764705882353,25,59,84,eeg
P02,valence,gnb,time_statistical,all_channels,all,primary,8,all,5,0.5168181818181818,0.1941785043507196,"[0.8166666666666667, 0.30833333333333335, 0.3916666666666667, 0.5583333333333333, 0.5090909090909091]",0.5955882352941176,25,59,84,eeg
P02,valence,logreg,all_eeg,all_channels,10,primary,120,10,5,0.5886363636363636,0.1217707298654906,"[0.675, 0.5166666666666667, 0.475, 0.7583333333333333, 0.5181818181818182]",0.6654411764705882,25,59,84,eeg
P02,valence,logreg,all_eeg,all_channels,8,primary,120,8,5,0.5553030303030303,0.1289348537462239,"[0.775, 0.5333333333333333, 0.5166666666666667, 0.43333333333333335, 0.5181818181818182]",0.6183823529411765,25,59,84,eeg
P02,valence,logreg,hjorth,all_channels,10,primary,16,10,5,0.5586363636363636,0.1809604135108971,"[0.875, 0.43333333333333335, 0.5166666666666667, 0.45, 0.5181818181818182]",0.6066176470588236,25,59,84,eeg
P02,valence,logreg,hjorth,all_channels,8,primary,16,8,5,0.6436363636363637,0.1568626419188203,"[0.875, 0.4916666666666667, 0.6166666666666667, 0.7166666666666667, 0.5181818181818182]",0.6772058823529411,25,59,84,eeg
P02,valence,logreg,paper_compact,all_channels,10,secondary,64,10,5,0.6586363636363636,0.1680073487613946,"[0.9166666666666667, 0.6333333333333333, 0.5083333333333333, 0.7166666666666667, 0.5181818181818182]",0.6654411764705882,25,59,84,eeg
P02,valence,logreg,paper_compact,all_channels,8,secondary,64,8,5,0.6486363636363637,0.1135812997903937,"[0.7583333333333333, 0.5333333333333333, 0.7166666666666667, 0.7166666666666667, 0.5181818181818182]",0.700735294117647,25,59,84,eeg
P02,valence,logreg,paper_compact,frontal_central,10,secondary,32,10,5,0.5387878787878788,0.1035683921171417,"[0.5583333333333333, 0.5333333333333333, 0.475, 0.7, 0.42727272727272725]",0.6286764705882353,25,59,84,eeg
P02,valence,logreg,paper_compact,frontal_central,8,secondary,32,8,5,0.5312121212121212,0.0604624244884619,"[0.5583333333333333, 0.5333333333333333, 0.475, 0.6166666666666667, 0.4727272727272727]",0.6176470588235294,25,59,84,eeg
P02,valence,logreg,time_statistical,all_channels,all,primary,8,all,5,0.5569696969696969,0.1983036126075024,"[0.875, 0.4166666666666667, 0.375, 0.6, 0.5181818181818182]",0.6536764705882353,25,59,84,eeg
P02,valence,svm,all_eeg,all_channels,10,primary,120,10,5,0.4625757575757576,0.0957346179805916,"[0.6166666666666667, 0.475, 0.3916666666666667, 0.375, 0.45454545454545453]",0.5838235294117646,25,59,84,eeg
P02,valence,svm,all_eeg,all_channels,8,primary,120,8,5,0.5186363636363637,0.0278742585253478,"[0.5166666666666667, 0.5333333333333333, 0.475, 0.55, 0.5181818181818182]",0.5830882352941177,25,59,84,eeg
P02,valence,svm,hjorth,all_channels,10,primary,16,10,5,0.5833333333333333,0.1720989702338615,"[0.875, 0.45, 0.4916666666666667, 0.5, 0.6]",0.6558823529411765,25,59,84,eeg
P02,valence,svm,hjorth,all_channels,8,primary,16,8,5,0.5903030303030303,0.1366531018599061,"[0.6916666666666667, 0.45, 0.5166666666666667, 0.775, 0.5181818181818182]",0.6183823529411765,25,59,84,eeg
P02,valence,svm,paper_compact,all_channels,10,secondary,64,10,5,0.6293939393939394,0.085881161618998,"[0.5583333333333333, 0.675, 0.5916666666666667, 0.7583333333333333, 0.5636363636363637]",0.6897058823529412,25,59,84,eeg
P02,valence,svm,paper_compact,all_channels,8,secondary,64,8,5,0.6436363636363637,0.0867326645296841,"[0.675, 0.6333333333333333, 0.6333333333333333, 0.7583333333333333, 0.5181818181818182]",0.6772058823529412,25,59,84,eeg
P02,valence,svm,paper_compact,frontal_central,10,secondary,32,10,5,0.4587878787878788,0.0478491709318075,"[0.475, 0.5, 0.3916666666666667, 0.5, 0.42727272727272725]",0.5816176470588236,25,59,84,eeg
P02,valence,svm,paper_compact,frontal_central,8,secondary,32,8,5,0.5071212121212121,0.1063532218850279,"[0.5583333333333333, 0.5, 0.3916666666666667, 0.6583333333333333, 0.42727272727272725]",0.6169117647058824,25,59,84,eeg
P02,valence,svm,time_statistical,all_channels,all,primary,8,all,5,0.5480303030303031,0.1178262911849411,"[0.7583333333333333, 0.5, 0.5, 0.5, 0.4818181818181818]",0.5933823529411765,25,59,84,eeg
P03,arousal,gnb,all_eeg,all_channels,10,primary,120,10,5,0.53,0.2456284456925405,"[0.5166666666666667, 0.4166666666666667, 0.55, 0.9166666666666667, 0.25]",0.5490909090909091,30,23,53,eeg
P03,arousal,gnb,all_eeg,all_channels,8,primary,120,8,5,0.5833333333333334,0.213762588973011,"[0.6166666666666667, 0.5, 0.55, 0.9166666666666667, 0.3333333333333333]",0.6054545454545455,30,23,53,eeg
P03,arousal,gnb,paper_compact,all_channels,10,secondary,64,10,5,0.4599999999999999,0.0802340326794061,"[0.3333333333333333, 0.5, 0.55, 0.4583333333333333, 0.4583333333333333]",0.4909090909090909,30,23,53,eeg
P03,arousal,gnb,paper_compact,all_channels,8,secondary,64,8,5,0.4883333333333333,0.0908295106229247,"[0.35, 0.5, 0.55, 0.5833333333333333, 0.4583333333333333]",0.510909090909091,30,23,53,eeg
P03,arousal,gnb,paper_compact,frontal_central,10,secondary,32,10,5,0.5083333333333334,0.1424000624219589,"[0.35, 0.4166666666666667, 0.65, 0.6666666666666667, 0.4583333333333333]",0.5309090909090909,30,23,53,eeg
P03,arousal,gnb,paper_compact,frontal_central,8,secondary,32,8,5,0.4783333333333333,0.1142001167541726,"[0.3666666666666667, 0.4166666666666667, 0.48333333333333334, 0.6666666666666667, 0.4583333333333333]",0.4945454545454545,30,23,53,eeg
P03,arousal,logreg,all_eeg,all_channels,10,primary,120,10,5,0.5033333333333333,0.1976950513627828,"[0.43333333333333335, 0.43333333333333335, 0.65, 0.75, 0.25]",0.509090909090909,30,23,53,eeg
P03,arousal,logreg,all_eeg,all_channels,8,primary,120,8,5,0.53,0.1898098463667724,"[0.5166666666666667, 0.4166666666666667, 0.55, 0.8333333333333333, 0.3333333333333333]",0.5490909090909091,30,23,53,eeg
P03,arousal,logreg,paper_compact,all_channels,10,secondary,64,10,5,0.3883333333333333,0.0840799883708629,"[0.3333333333333333, 0.5166666666666667, 0.3, 0.41666666666666663, 0.375]",0.3963636363636363,30,23,53,eeg
P03,arousal,logreg,paper_compact,all_channels,8,secondary,64,8,5,0.4283333333333333,0.0655108133567785,"[0.35, 0.43333333333333335, 0.48333333333333334, 0.5, 0.375]",0.4345454545454545,30,23,53,eeg
P03,arousal,logreg,paper_compact,frontal_central,10,secondary,32,10,5,0.37,0.1412493854460574,"[0.18333333333333335, 0.3666666666666667, 0.4666666666666667, 0.5416666666666667, 0.29166666666666663]",0.38,30,23,53,eeg
P03,arousal,logreg,paper_compact,frontal_central,8,secondary,32,8,5,0.35,0.1360402309776209,"[0.2833333333333333, 0.43333333333333335, 0.2, 0.5416666666666667, 0.29166666666666663]",0.3618181818181818,30,23,53,eeg
P03,arousal,svm,all_eeg,all_channels,10,primary,120,10,5,0.4733333333333333,0.1511989124005563,"[0.5166666666666667, 0.43333333333333335, 0.6666666666666666, 0.5, 0.25]",0.5072727272727272,30,23,53,eeg
P03,arousal,svm,all_eeg,all_channels,8,primary,120,8,5,0.4733333333333333,0.1315505817378074,"[0.6, 0.5166666666666667, 0.5, 0.5, 0.25]",0.5254545454545454,30,23,53,eeg
P03,arousal,svm,paper_compact,all_channels,10,secondary,64,10,5,0.4616666666666667,0.0380058475033045,"[0.43333333333333335, 0.4166666666666667, 0.5, 0.5, 0.4583333333333333]",0.510909090909091,30,23,53,eeg
P03,arousal,svm,paper_compact,all_channels,8,secondary,64,8,5,0.4733333333333333,0.0693221144769514,"[0.35, 0.5166666666666667, 0.5, 0.5, 0.5]",0.5309090909090909,30,23,53,eeg
P03,arousal,svm,paper_compact,frontal_central,10,secondary,32,10,5,0.395,0.1487914274711043,"[0.18333333333333335, 0.5, 0.5, 0.5, 0.29166666666666663]",0.4345454545454545,30,23,53,eeg
P03,arousal,svm,paper_compact,frontal_central,8,secondary,32,8,5,0.4283333333333333,0.1381424385673473,"[0.18333333333333335, 0.5, 0.5, 0.5, 0.4583333333333333]",0.4745454545454545,30,23,53,eeg
P03,valence,gnb,all_eeg,all_channels,10,primary,120,10,5,0.5638095238095239,0.0735527407302694,"[0.48214285714285715, 0.6785714285714286, 0.5333333333333333, 0.5416666666666667, 0.5833333333333333]",0.6036363636363636,21,32,53,eeg
P03,valence,gnb,all_eeg,all_channels,8,primary,120,8,5,0.5578571428571428,0.1526286119876575,"[0.4107142857142857, 0.8035714285714286, 0.5333333333333333, 0.4583333333333333, 0.5833333333333333]",0.5836363636363636,21,32,53,eeg
P03,valence,gnb,hjorth,all_channels,10,primary,16,10,5,0.4830952380952381,0.0524107058354283,"[0.42857142857142855, 0.5535714285714286, 0.43333333333333335, 0.5, 0.5]",0.5472727272727272,21,32,53,eeg
P03,valence,gnb,hjorth,all_channels,8,primary,16,8,5,0.4714285714285714,0.1164447598055309,"[0.42857142857142855, 0.5535714285714286, 0.3333333333333333, 0.4166666666666667, 0.625]",0.5290909090909091,21,32,53,eeg
P03,valence,gnb,paper_compact,all_channels,10,secondary,64,10,5,0.4697619047619047,0.1246497360179411,"[0.42857142857142855, 0.5535714285714286, 0.6166666666666667, 0.4583333333333333, 0.29166666666666663]",0.5236363636363637,21,32,53,eeg
P03,valence,gnb,paper_compact,all_channels,8,secondary,64,8,5,0.5007142857142857,0.0431586615643628,"[0.5, 0.5535714285714286, 0.5333333333333333, 0.4583333333333333, 0.4583333333333333]",0.5436363636363637,21,32,53,eeg
P03,valence,gnb,paper_compact,frontal_central,10,secondary,32,10,5,0.4730952380952381,0.0755394432266561,"[0.42857142857142855, 0.5535714285714286, 0.4666666666666667, 0.375, 0.5416666666666667]",0.5272727272727272,21,32,53,eeg
P03,valence,gnb,paper_compact,frontal_central,8,secondary,32,8,5,0.4697619047619047,0.0762583403118648,"[0.42857142857142855, 0.5535714285714286, 0.45, 0.375, 0.5416666666666667]",0.5272727272727272,21,32,53,eeg
P03,valence,gnb,time_statistical,all_channels,all,primary,8,all,5,0.5714285714285714,0.2416036159833619,"[0.5, 0.48214285714285715, 0.4166666666666667, 0.4583333333333333, 1.0]",0.6272727272727272,21,32,53,eeg
