participant,target,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,fold,feature_count_resolved,outer_folds,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy
P01,arousal,svm,all_eeg,all_channels,8,primary,120,2,8,5,112,89,23,45,67,0.5,0.6086956521739131
P01,arousal,svm,all_eeg,all_channels,8,primary,120,3,8,5,112,90,22,45,67,0.32478632478632474,0.36363636363636365
P01,arousal,svm,all_eeg,all_channels,8,primary,120,4,8,5,112,90,22,45,67,0.7307692307692308,0.6818181818181818
P01,arousal,svm,all_eeg,all_channels,8,primary,120,5,8,5,112,90,22,45,67,0.5,0.5909090909090909
P01,arousal,gnb,all_eeg,all_channels,8,primary,120,1,8,5,112,89,23,45,67,0.41666666666666663,0.43478260869565216
P01,arousal,gnb,all_eeg,all_channels,8,primary,120,2,8,5,112,89,23,45,67,0.4722222222222222,0.4782608695652174
P01,arousal,gnb,all_eeg,all_channels,8,primary,120,3,8,5,112,90,22,45,67,0.44017094017094016,0.5
P01,arousal,gnb,all_eeg,all_channels,8,primary,120,4,8,5,112,90,22,45,67,0.5170940170940171,0.5909090909090909
P01,arousal,gnb,all_eeg,all_channels,8,primary,120,5,8,5,112,90,22,45,67,0.5170940170940171,0.5909090909090909
P01,arousal,logreg,all_eeg,all_channels,10,primary,120,1,10,5,112,89,23,45,67,0.41666666666666663,0.43478260869565216
P01,arousal,logreg,all_eeg,all_channels,10,primary,120,2,10,5,112,89,23,45,67,0.5436507936507937,0.5652173913043478
P01,arousal,logreg,all_eeg,all_channels,10,primary,120,3,10,5,112,90,22,45,67,0.5128205128205128,0.5454545454545454
P01,arousal,logreg,all_eeg,all_channels,10,primary,120,4,10,5,112,90,22,45,67,0.6752136752136753,0.6363636363636364
P01,arousal,logreg,all_eeg,all_channels,10,primary,120,5,10,5,112,90,22,45,67,0.49572649572649574,0.5454545454545454
P01,arousal,svm,all_eeg,all_channels,10,primary,120,1,10,5,112,89,23,45,67,0.3968253968253968,0.43478260869565216
P01,arousal,svm,all_eeg,all_channels,10,primary,120,2,10,5,112,89,23,45,67,0.5436507936507937,0.5652173913043478
P01,arousal,svm,all_eeg,all_channels,10,primary,120,3,10,5,112,90,22,45,67,0.5299145299145299,0.5454545454545454
P01,arousal,svm,all_eeg,all_channels,10,primary,120,4,10,5,112,90,22,45,67,0.5,0.5909090909090909
P01,arousal,svm,all_eeg,all_channels,10,primary,120,5,10,5,112,90,22,45,67,0.5555555555555556,0.6363636363636364
P01,arousal,gnb,all_eeg,all_channels,10,primary,120,1,10,5,112,89,23,45,67,0.4007936507936508,0.391304347826087
P01,arousal,gnb,all_eeg,all_channels,10,primary,120,2,10,5,112,89,23,45,67,0.4365079365079365,0.43478260869565216
P01,arousal,gnb,all_eeg,all_channels,10,primary,120,3,10,5,112,90,22,45,67,0.44017094017094016,0.5
