participant,target,task,task_label,feature,geometry,median_contribution,p95_contribution,largest_contributor_pct,median_abs_contribution,median_signed_contribution,direction,dominant_contributor_pct
P19,arousal,sisyphus,Sisyphus,eeg_mf_hz__PO8,mean_of_11_image_neighbors,0.006545946296927453,0.02390305511401075,0.0,,,,
P19,arousal,sisyphus,Sisyphus,eeg_bp_beta__Fz,nearest_image_neighbor,0.001523697025554432,0.046615994787342956,0.0,,,,
P19,arousal,sisyphus,Sisyphus,eeg_bp_beta__Fz,mean_of_11_image_neighbors,0.002104774367053105,0.023468992324798085,0.0,,,,
P19,arousal,sisyphus,Sisyphus,eeg_bp_beta__PO8,nearest_image_neighbor,0.1643410587451425,0.6097583213403399,23.076923076923077,,,,
P19,arousal,sisyphus,Sisyphus,eeg_bp_beta__PO8,mean_of_11_image_neighbors,0.15775504435365323,0.47295212200353653,16.483516483516482,,,,
P19,arousal,sisyphus,Sisyphus,eeg_bp_beta__Pz,nearest_image_neighbor,0.0015711251909271149,0.015075069275411999,0.0,,,,
P19,arousal,sisyphus,Sisyphus,eeg_bp_beta__Pz,mean_of_11_image_neighbors,0.0024902056451571643,0.01177904108936914,0.0,,,,
P19,arousal,shape_sorter_interaction,Shape Sorter Interaction,eeg_se__Fz,nearest_image_neighbor,0.030249876949375303,0.17088011528388966,2.5974025974025974,,,,
P19,arousal,shape_sorter_interaction,Shape Sorter Interaction,eeg_se__Fz,mean_of_11_image_neighbors,0.04144893170637918,0.18357532233712126,3.896103896103896,,,,
P19,arousal,shape_sorter_interaction,Shape Sorter Interaction,eeg_hm__Fz,nearest_image_neighbor,0.020377051279140992,0.11030395069657586,1.2987012987012987,,,,
P19,arousal,shape_sorter_interaction,Shape Sorter Interaction,eeg_hm__Fz,mean_of_11_image_neighbors,0.027106549635470403,0.060210494093313,0.0,,,,
P19,arousal,shape_sorter_interaction,Shape Sorter Interaction,eeg_hm__PO8,nearest_image_neighbor,0.026365769540866356,0.16952773161405751,0.0,,,,
P19,arousal,shape_sorter_interaction,Shape Sorter Interaction,eeg_hm__PO8,mean_of_11_image_neighbors,0.045916724234452026,0.15437632967456633,1.2987012987012987,,,,
P19,arousal,shape_sorter_interaction,Shape Sorter Interaction,eeg_hc__Fz,nearest_image_neighbor,0.06505537982248472,0.29000165843518744,3.896103896103896,,,,
P19,arousal,shape_sorter_interaction,Shape Sorter Interaction,eeg_hc__Fz,mean_of_11_image_neighbors,0.06333233808958628,0.2429106215850205,2.5974025974025974,,,,
P19,arousal,shape_sorter_interaction,Shape Sorter Interaction,eeg_hc__PO8,nearest_image_neighbor,0.009172113921811066,0.16885667753138506,0.0,,,,
P19,arousal,shape_sorter_interaction,Shape Sorter Interaction,eeg_hc__PO8,mean_of_11_image_neighbors,0.013506431943882668,0.04215708367705958,0.0,,,,
P19,arousal,shape_sorter_interaction,Shape Sorter Interaction,eeg_mf_hz__Fz,nearest_image_neighbor,0.024128512902375478,0.24184760966464883,5.194805194805195,,,,
P19,arousal,shape_sorter_interaction,Shape Sorter Interaction,eeg_mf_hz__Fz,mean_of_11_image_neighbors,0.02599640561939104,0.057791507704720885,0.0,,,,
P19,arousal,shape_sorter_interaction,Shape Sorter Interaction,eeg_mf_hz__PO8,nearest_image_neighbor,0.05020386276344857,0.24111513986217084,3.896103896103896,,,,
P19,arousal,shape_sorter_interaction,Shape Sorter Interaction,eeg_mf_hz__PO8,mean_of_11_image_neighbors,0.03895523284966731,0.11276371692628476,0.0,,,,
