mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,best_parameters,inner_best_balanced_accuracy
individual,P43,P43,valence,eeg,knn,5,5,1,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.5356782106782108
individual,P43,P43,valence,eeg,knn,5,5,2,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5248556998556998
individual,P43,P43,valence,eeg,knn,5,5,3,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5666666666666667
individual,P43,P43,valence,eeg,knn,5,5,4,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5490981240981241
individual,P43,P43,valence,eeg,knn,5,5,5,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.47925685425685427
individual,P45,P45,valence,eeg,knn,5,5,1,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.4935064935064935
individual,P45,P45,valence,eeg,knn,5,5,2,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.5108225108225107
individual,P45,P45,valence,eeg,knn,5,5,3,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.47821067821067825
individual,P45,P45,valence,eeg,knn,5,5,4,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.5451298701298701
individual,P45,P45,valence,eeg,knn,5,5,5,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.513924963924964
individual,P10,P10,valence,eeg,knn,10,10,1,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5644345907503802
individual,P10,P10,valence,eeg,knn,10,10,2,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""distance""}",0.6034530771372877
individual,P10,P10,valence,eeg,knn,10,10,3,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5033470428207271
individual,P10,P10,valence,eeg,knn,10,10,4,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.609531306899728
individual,P10,P10,valence,eeg,knn,10,10,5,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5376796692586167
individual,P11,P11,valence,eeg,knn,10,10,1,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5288807189542484
individual,P11,P11,valence,eeg,knn,10,10,2,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.4660539215686274
individual,P11,P11,valence,eeg,knn,10,10,3,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5143790849673202
individual,P11,P11,valence,eeg,knn,10,10,4,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5338235294117647
individual,P11,P11,valence,eeg,knn,10,10,5,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5011846405228758
individual,P19,P19,valence,eeg,knn,10,10,1,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5259740259740259
individual,P19,P19,valence,eeg,knn,10,10,2,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5482683982683982
individual,P19,P19,valence,eeg,knn,10,10,3,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.5993145743145742
individual,P19,P19,valence,eeg,knn,10,10,4,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5803751803751804
individual,P19,P19,valence,eeg,knn,10,10,5,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5324314574314575
individual,P22,P22,valence,eeg,knn,10,10,1,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5978835978835978
individual,P22,P22,valence,eeg,knn,10,10,2,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5687830687830688
individual,P22,P22,valence,eeg,knn,10,10,3,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5939153439153438
individual,P22,P22,valence,eeg,knn,10,10,4,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5112299980721032
individual,P22,P22,valence,eeg,knn,10,10,5,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.4941681125891652
individual,P25,P25,valence,eeg,knn,10,10,1,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.5741518829754123
individual,P25,P25,valence,eeg,knn,10,10,2,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.4953781512605042
individual,P25,P25,valence,eeg,knn,10,10,3,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5539060068471834
individual,P25,P25,valence,eeg,knn,10,10,4,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5507314036725801
individual,P25,P25,valence,eeg,knn,10,10,5,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5313725490196078
individual,P32,P32,valence,eeg,knn,10,10,1,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5339052287581699
individual,P32,P32,valence,eeg,knn,10,10,2,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5175653594771242
individual,P32,P32,valence,eeg,knn,10,10,3,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5456290849673202
individual,P32,P32,valence,eeg,knn,10,10,4,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.5599673202614379
individual,P32,P32,valence,eeg,knn,10,10,5,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.6050245098039215
individual,P40,P40,valence,eeg,knn,10,10,1,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5778711484593838
individual,P40,P40,valence,eeg,knn,10,10,2,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}",0.4861344537815126
individual,P40,P40,valence,eeg,knn,10,10,3,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5808901338313103
