participant,target,task,task_label,feature,image_low_median,image_low_iqr,image_high_median,image_high_iqr,image_overall_median,image_overall_iqr,image_min,image_max,robot_median,robot_iqr,robot_min,robot_max,robot_z_median_abs,robot_z_p95_abs,robot_z_max_abs,robot_z_pct_abs_gt_2,robot_z_pct_abs_gt_3,robot_z_pct_abs_gt_5,robot_pct_outside_image_min_max,iqr_overlap,distance_median_contribution,distance_p95_contribution,distance_largest_contributor_pct,transferability_category,shift_indicator_count
P19,arousal,pick_place,Pick and Place,eeg_mf_hz__Fz,11.0,2.0,9.0,4.5,10.0,3.25,4.0,21.0,3.0,1.0,2.0,3.0,1.9991539434875751,2.260196895847215,2.260196895847215,42.857142857142854,0.0,0.0,100.0,neither,0.0013235334980952946,0.005332748718169183,0.0,MODERATELY_SHIFTED,2
P19,arousal,pick_place,Pick and Place,eeg_mf_hz__PO8,7.0,2.0,6.0,2.0,6.0,2.0,3.0,12.0,3.0,0.0,2.0,7.0,2.1890818184619762,2.7861041325879694,2.7861041325879694,88.09523809523809,0.0,0.0,19.047619047619047,neither,0.014547175797503507,0.08843688789159651,0.0,MODERATELY_SHIFTED,2
P19,arousal,pick_place,Pick and Place,eeg_bp_beta__Fz,22.843571396111297,9.577560887568374,17.287916202356534,9.301610695265321,20.881057400632308,10.541759900299116,8.193728041267866,56.908947088305695,17.973552689847402,6.570823785938771,8.583229531463132,36.62939073190883,0.5731784384034362,1.420901478457703,1.6203632092012537,0.0,0.0,0.0,0.0,both,0.0035840000876944675,0.06891508184317446,0.0,TRANSFER_COMPATIBLE,0
P19,arousal,pick_place,Pick and Place,eeg_bp_beta__PO8,8.066249401244097,2.3438049967323087,6.4574868107520125,1.7000797962133332,7.519678453332267,2.6116115478692175,3.6317451569747554,17.95899808473612,12.485317937997454,4.066752447029829,6.290020627847812,41.764627398406965,2.2106824201750426,7.826237489695548,15.83323883770627,52.38095238095239,26.190476190476193,9.523809523809524,11.904761904761903,neither,0.07166314585528583,0.30274487427145924,7.142857142857142,SEVERELY_SHIFTED,4
P19,arousal,pick_place,Pick and Place,eeg_bp_beta__Pz,2.6696069615351288,1.2640259918285426,2.35089987224879,0.8162776922547219,2.514702446401632,0.9574998550932063,1.1610735531347969,5.468825619608707,2.2952929396179513,1.0120815361121338,1.3061882491130326,7.211171389850012,0.7687768240754317,2.6361555055266996,4.930187047235079,11.904761904761903,4.761904761904762,0.0,4.761904761904762,both,0.0017134674928965562,0.12618672449035173,2.380952380952381,TRANSFER_COMPATIBLE,0
P19,arousal,shape_sorter_observation,Shape Sorter Observation,eeg_se__Fz,4.758784220132117,0.2007166186126339,4.60150591240336,0.30880784922941995,4.692576967635442,0.28142969421143516,3.75619972640026,5.026992101131952,2.443925395291472,0.7128565154471622,1.3066116900489164,4.369391348194225,9.222115852753317,11.384077325667935,14.000102577022348,98.30508474576271,98.30508474576271,89.83050847457628,94.91525423728814,neither,0.15707822596825527,0.39505365820713,5.084745762711865,SEVERELY_SHIFTED,6
P19,arousal,shape_sorter_observation,Shape Sorter Observation,eeg_hm__Fz,0.4083912274822276,0.059956910774641714,0.3751826368635525,0.07789981334094753,0.39675899252381,0.07091382209030422,0.258900907159693,0.5276483384419882,0.1559153401220758,0.07671726720893515,0.0243215474798986,0.4082942243576078,4.697359544979036,5.723068989777897,7.270069444654324,96.61016949152543,84.7457627118644,33.89830508474576,91.52542372881356,neither,0.040631255019194575,0.0692971460114232,0.0,SEVERELY_SHIFTED,6
P19,arousal,shape_sorter_observation,Shape Sorter Observation,eeg_hm__PO8,0.3019270008556102,0.03693745449883218,0.2859077992777361,0.03550777673597272,0.29448178442326733,0.038904070096386745,0.2084983592864777,0.3999655654544514,0.2070087912029121,0.06908315900658774,0.0279521883570135,0.3502134925005448,2.7126249188893174,4.690191626666205,8.13884744123825,61.016949152542374,42.3728813559322,1.694915254237288,50.847457627118644,neither,0.014419653020274313,0.08437074487838248,0.0,SEVERELY_SHIFTED,5
P19,arousal,shape_sorter_observation,Shape Sorter Observation,eeg_hc__Fz,1.5305865522858275,0.17245297084519784,1.6445812620634732,0.29253709960528096,1.5643856168795949,0.23726968121170988,1.2608469179136874,2.234299786474834,4.041483694678242,1.6007408506426435,1.658050501646973,15.7401966970567,13.042768948750268,20.919422134019428,75.57623199063873,96.61016949152543,94.91525423728814,91.52542372881356,94.91525423728814,neither,0.6236787422225336,0.754781548084614,84.7457627118644,SEVERELY_SHIFTED,6
P19,arousal,shape_sorter_observation,Shape Sorter Observation,eeg_hc__PO8,1.8567290496995528,0.2336211335190288,1.953646706011208,0.21888729043600996,1.9110862567497846,0.21781775393640435,1.4893668759545322,2.628936830864649,2.879312960581303,0.8830831414496165,1.7730808340576454,15.043178459200872,5.110689670932941,10.868151702684337,69.44423332290889,81.35593220338984,71.1864406779661,52.54237288135594,55.932203389830505,neither,0.06305215423426187,0.2346190511812008,3.389830508474576,SEVERELY_SHIFTED,6
P19,arousal,shape_sorter_observation,Shape Sorter Observation,eeg_mf_hz__Fz,11.0,2.0,9.0,4.5,10.0,3.25,4.0,21.0,2.0,1.0,2.0,5.0,2.260196895847215,2.260196895847215,2.260196895847215,55.932203389830505,0.0,0.0,94.91525423728814,neither,0.0010037187719713638,0.009860374940997101,0.0,MODERATELY_SHIFTED,3
P19,arousal,shape_sorter_observation,Shape Sorter Observation,eeg_mf_hz__PO8,7.0,2.0,6.0,2.0,6.0,2.0,3.0,12.0,3.0,1.0,2.0,9.0,2.1890818184619762,2.7861041325879694,2.7861041325879694,77.96610169491525,0.0,0.0,30.508474576271187,neither,0.008161268579677522,0.047152881895946394,0.0,MODERATELY_SHIFTED,3
P19,arousal,shape_sorter_observation,Shape Sorter Observation,eeg_bp_beta__Fz,22.843571396111297,9.577560887568374,17.287916202356534,9.301610695265321,20.881057400632308,10.541759900299116,8.193728041267866,56.908947088305695,14.987232038267765,7.589490651352072,6.622915417139266,39.69611356933574,0.8425309868761629,1.6610836647477911,1.967257971049824,0.0,0.0,0.0,8.47457627118644,Image_HIGH,0.0007780336056891494,0.05805600871876806,0.0,TRANSFER_COMPATIBLE,0
