Timestamp,Experiment_Time,Frame_Count,Trigger,Emotion
2026-05-26 15:20:13.813,296.506,8865,0,no face
2026-05-26 15:20:13.847,296.539,8866,0,no face
2026-05-26 15:20:13.880,296.572,8867,0,no face
2026-05-26 15:20:13.913,296.606,8868,0,no face
2026-05-26 15:20:13.946,296.639,8869,0,no face
2026-05-26 15:20:13.980,296.672,8870,0,no face
2026-05-26 15:20:14.013,296.706,8871,123,no face
2026-05-26 15:20:14.047,296.739,8872,0,no face
2026-05-26 15:20:14.080,296.773,8873,0,no face
2026-05-26 15:20:14.114,296.806,8874,0,no face
2026-05-26 15:20:14.147,296.839,8875,0,no face
2026-05-26 15:20:14.181,296.873,8876,0,no face
2026-05-26 15:20:14.216,296.908,8877,0,no face
2026-05-26 15:20:14.247,296.94,8878,0,no face
2026-05-26 15:20:14.280,296.972,8879,0,no face
2026-05-26 15:20:14.313,297.006,8880,0,no face
2026-05-26 15:20:14.346,297.039,8881,0,no face
2026-05-26 15:20:14.380,297.073,8882,0,no face
2026-05-26 15:20:14.413,297.106,8883,0,no face
2026-05-26 15:20:14.447,297.139,8884,0,no face
2026-05-26 15:20:14.480,297.172,8885,0,no face
2026-05-26 15:20:14.513,297.206,8886,0,no face
2026-05-26 15:20:14.547,297.239,8887,0,no face
2026-05-26 15:20:14.580,297.272,8888,0,no face
2026-05-26 15:20:14.613,297.306,8889,0,no face
2026-05-26 15:20:14.648,297.34,8890,0,no face
2026-05-26 15:20:14.680,297.373,8891,0,no face
2026-05-26 15:20:14.713,297.406,8892,0,no face
2026-05-26 15:20:14.747,297.439,8893,0,no face
2026-05-26 15:20:14.781,297.473,8894,0,no face
2026-05-26 15:20:14.813,297.506,8895,0,no face
2026-05-26 15:20:14.847,297.539,8896,0,no face
2026-05-26 15:20:14.881,297.573,8897,0,no face
2026-05-26 15:20:14.913,297.606,8898,0,no face
2026-05-26 15:20:14.947,297.639,8899,0,no face
2026-05-26 15:20:14.980,297.673,8900,0,no face
2026-05-26 15:20:15.014,297.706,8901,0,no face
2026-05-26 15:20:15.047,297.74,8902,0,no face
2026-05-26 15:20:15.080,297.773,8903,0,no face
2026-05-26 15:20:15.113,297.806,8904,0,no face
2026-05-26 15:20:15.148,297.841,8905,0,no face
2026-05-26 15:20:15.180,297.873,8906,0,no face
2026-05-26 15:20:15.214,297.906,8907,0,no face
2026-05-26 15:20:15.247,297.94,8908,0,no face
2026-05-26 15:20:15.288,297.981,8909,0,no face
2026-05-26 15:20:15.314,298.006,8910,0,no face
2026-05-26 15:20:15.348,298.041,8911,0,no face
2026-05-26 15:20:15.381,298.073,8912,0,no face
2026-05-26 15:20:15.414,298.106,8913,0,no face
2026-05-26 15:20:15.447,298.14,8914,0,no face
2026-05-26 15:20:15.480,298.173,8915,0,no face
2026-05-26 15:20:15.514,298.206,8916,0,no face
2026-05-26 15:20:15.547,298.24,8917,0,no face
2026-05-26 15:20:15.580,298.273,8918,0,no face
2026-05-26 15:20:15.614,298.306,8919,0,no face
2026-05-26 15:20:15.648,298.34,8920,0,no face
2026-05-26 15:20:15.680,298.373,8921,0,no face
2026-05-26 15:20:15.714,298.406,8922,0,no face
2026-05-26 15:20:15.747,298.44,8923,0,no face
2026-05-26 15:20:15.781,298.473,8924,0,no face
2026-05-26 15:20:15.814,298.506,8925,0,no face
2026-05-26 15:20:15.847,298.54,8926,0,no face
2026-05-26 15:20:15.880,298.573,8927,0,no face
2026-05-26 15:20:15.914,298.606,8928,0,no face
2026-05-26 15:20:15.947,298.64,8929,0,no face
2026-05-26 15:20:15.980,298.673,8930,0,no face
2026-05-26 15:20:16.015,298.708,8931,0,no face
2026-05-26 15:20:16.047,298.74,8932,20,no face
2026-05-26 15:20:16.081,298.773,8933,0,no face
2026-05-26 15:20:16.114,298.807,8934,0,no face
2026-05-26 15:20:16.147,298.84,8935,0,no face
2026-05-26 15:20:16.182,298.874,8936,0,no face
2026-05-26 15:20:16.215,298.908,8937,0,no face
2026-05-26 15:20:16.249,298.941,8938,0,no face
2026-05-26 15:20:16.282,298.974,8939,0,no face
2026-05-26 15:20:16.314,299.007,8940,0,no face
2026-05-26 15:20:16.352,299.045,8941,0,no face
2026-05-26 15:20:16.381,299.073,8942,0,no face
2026-05-26 15:20:16.414,299.106,8943,0,no face
2026-05-26 15:20:16.448,299.14,8944,0,no face
2026-05-26 15:20:16.481,299.173,8945,0,no face
2026-05-26 15:20:16.514,299.207,8946,0,no face
2026-05-26 15:20:16.548,299.24,8947,0,no face
2026-05-26 15:20:16.581,299.273,8948,0,no face
2026-05-26 15:20:16.614,299.307,8949,0,no face
2026-05-26 15:20:16.647,299.34,8950,0,no face
2026-05-26 15:20:16.681,299.373,8951,0,no face
2026-05-26 15:20:16.714,299.407,8952,0,no face
2026-05-26 15:20:16.748,299.441,8953,0,no face
2026-05-26 15:20:16.781,299.473,8954,0,no face
2026-05-26 15:20:16.814,299.507,8955,0,no face
2026-05-26 15:20:16.848,299.54,8956,0,no face
2026-05-26 15:20:16.881,299.574,8957,0,no face
2026-05-26 15:20:16.914,299.607,8958,0,no face
2026-05-26 15:20:16.948,299.64,8959,0,no face
2026-05-26 15:20:16.981,299.674,8960,0,no face
2026-05-26 15:20:17.014,299.707,8961,0,no face
2026-05-26 15:20:17.048,299.74,8962,0,no face
2026-05-26 15:20:17.082,299.774,8963,0,no face
2026-05-26 15:20:17.114,299.807,8964,0,no face
2026-05-26 15:20:17.148,299.84,8965,0,no face
2026-05-26 15:20:17.182,299.874,8966,0,no face
2026-05-26 15:20:17.216,299.908,8967,0,no face
2026-05-26 15:20:17.248,299.94,8968,0,no face
2026-05-26 15:20:17.281,299.974,8969,0,no face
2026-05-26 15:20:17.316,300.009,8970,0,no face
2026-05-26 15:20:17.348,300.04,8971,0,no face
2026-05-26 15:20:17.381,300.074,8972,0,no face
2026-05-26 15:20:17.437,300.129,8973,0,no face
2026-05-26 15:20:17.449,300.141,8974,0,no face
2026-05-26 15:20:17.483,300.176,8975,0,no face
