participant,target,modality,old_best_ba,new_best_ba,delta_ba,improved,old_ge_060,new_ge_060,old_ge_065,new_ge_065
P06,valence,eeg,0.6041269841269841,0.6123809523809524,0.008253968253968291,True,True,True,False,False
P07,valence,eeg,0.5180701754385965,0.5411111111111111,0.02304093567251464,True,False,False,False,False
P08,valence,eeg,0.5521212121212121,0.6448484848484848,0.09272727272727266,True,False,True,False,False
P09,valence,eeg,0.5425396825396825,0.5658730158730159,0.023333333333333317,True,False,False,False,False
P10,valence,eeg,0.55,0.5242857142857142,-0.0257142857142858,False,False,False,False,False
P11,valence,eeg,0.5354895104895105,0.525874125874126,-0.009615384615384581,False,False,False,False,False
P12,valence,eeg,0.535189075630252,0.605672268907563,0.07048319327731101,True,False,True,False,False
P13,valence,eeg,0.58003663003663,0.547985347985348,-0.03205128205128194,False,False,False,False,False
P14,valence,eeg,0.6037878787878788,0.5869696969696969,-0.016818181818181843,False,True,False,False,False
P15,valence,eeg,0.5958333333333333,0.6254761904761905,0.029642857142857193,True,False,True,False,False
P16,valence,eeg,0.5600582750582751,0.6021328671328672,0.042074592074592077,True,False,True,False,False
P17,valence,eeg,0.6412887112887112,0.648951048951049,0.007662337662337815,True,True,True,False,False
P18,valence,eeg,0.6342657342657343,0.6289627039627039,-0.005303030303030365,False,True,True,False,False
P19,valence,eeg,0.6015277777777778,0.6229166666666667,0.0213888888888889,True,True,True,False,False
P20,valence,eeg,0.5900000000000001,0.5811111111111111,-0.008888888888888946,False,False,False,False,False
P21,valence,eeg,0.5636764705882353,0.5868382352941176,0.02316176470588227,True,False,False,False,False
P22,valence,eeg,0.5806837606837607,0.6198046398046398,0.03912087912087914,True,False,True,False,False
P23,valence,eeg,0.5482783882783883,0.622942612942613,0.07466422466422473,True,False,True,False,False
P24,valence,eeg,0.5470862470862471,0.5273892773892774,-0.019696969696969657,False,False,False,False,False
P25,valence,eeg,0.5960739260739261,0.5546653346653346,-0.04140859140859143,False,False,False,False,False
P26,valence,eeg,0.5757042957042957,0.5666233766233766,-0.009080919080919125,False,False,False,False,False
P27,valence,eeg,0.5833333333333333,0.5766666666666667,-0.006666666666666599,False,False,False,False,False
P28,valence,eeg,0.6086904761904762,0.5761904761904761,-0.032500000000000084,False,True,False,False,False
P29,valence,eeg,0.6076923076923076,0.6713675213675214,0.06367521367521378,True,True,True,False,True
P30,valence,eeg,0.5196386946386947,0.5361888111888111,0.0165501165501164,True,False,False,False,False
P31,valence,eeg,0.4993006993006993,0.4916083916083916,-0.0076923076923077205,False,False,False,False,False
P32,valence,eeg,0.61497668997669,0.5995920745920745,-0.015384615384615441,False,True,False,False,False
P33,valence,eeg,0.5492424242424242,0.521969696969697,-0.027272727272727226,False,False,False,False,False
P34,valence,eeg,0.5005128205128205,0.5205128205128206,0.020000000000000018,True,False,False,False,False
P35,valence,eeg,0.6482983682983683,0.6201748251748251,-0.02812354312354315,False,True,True,False,False
P36,valence,eeg,0.5872222222222222,0.613989898989899,0.026767676767676774,True,False,True,False,False
P37,valence,eeg,0.5517094017094017,0.5933760683760684,0.04166666666666663,True,False,False,False,False
P38,valence,eeg,0.5411111111111111,0.5749206349206349,0.033809523809523845,True,False,False,False,False
P39,valence,eeg,0.657843137254902,0.7042016806722688,0.04635854341736689,True,True,True,True,True
P40,valence,eeg,0.6157042957042956,0.5957042957042957,-0.019999999999999907,False,True,False,False,False
P41,valence,eeg,0.6013286713286714,0.5816783216783217,-0.01965034965034973,False,True,False,False,False
P42,valence,eeg,0.5675824175824176,0.5746953046953047,0.007112887112887156,True,False,False,False,False
P43,valence,eeg,0.5456944444444445,0.5515277777777777,0.005833333333333246,True,False,False,False,False
P44,valence,eeg,0.530094537815126,0.5185924369747898,-0.011502100840336205,False,False,False,False,False
P45,valence,eeg,0.5363888888888889,0.5845833333333333,0.04819444444444443,True,False,False,False,False
P46,valence,eeg,0.5852747252747253,0.6252747252747253,0.039999999999999925,True,False,True,False,False
P01,valence,face,0.5744555444555445,0.576003996003996,0.0015484515484515127,True,False,False,False,False
P02,valence,face,0.5871794871794872,0.5674358974358975,-0.019743589743589696,False,False,False,False,False
P03,valence,face,0.6097619047619048,0.6097619047619048,0.0,False,True,True,False,False
P04,valence,face,0.6222222222222222,0.6022222222222222,-0.020000000000000018,False,True,True,False,False
P05,valence,face,0.6033799533799533,0.6117132867132866,0.008333333333333304,True,True,True,False,False
