old_best_modality,old_best_ba,old_best_classifier,old_feature_count_request,old_feature_count_resolved,participant,target,new_best_modality,new_best_ba,new_best_classifier,new_feature_family,new_channel_subset,new_feature_count_request,new_feature_count_resolved,delta_ba,comparison_outcome
multimodal,0.6210130718954249,gnb,all,all,P15,arousal,multimodal,0.6190196078431371,gnb,all_eeg_plus_face,all_channels,20,20,-0.00199346405228773,worsened
multimodal,0.6302777777777777,knn,20,20,P16,arousal,eeg,0.6788888888888889,logreg,paper_compact,all_channels,10,10,0.04861111111111116,improved
eeg,0.619000933706816,knn,10,10,P17,arousal,eeg,0.626890756302521,gnb,all_eeg,all_channels,8,8,0.007889822595705032,improved
face,0.6015151515151516,svm,5,5,P18,arousal,face,0.6148601398601399,logreg,face_geometry,all_face,all,all,0.013344988344988318,improved
eeg,0.6573426573426573,knn,10,10,P19,arousal,eeg,0.7041958041958042,logreg,all_eeg,all_channels,10,10,0.0468531468531469,improved
multimodal,0.585,knn,10,10,P20,arousal,eeg,0.5215384615384615,gnb,all_eeg,all_channels,8,8,-0.06346153846153846,worsened
face,0.6172127872127872,gnb,5,5,P21,arousal,face,0.6177322677322677,logreg,face_geometry,all_face,5,5,0.0005194805194805863,improved
face,0.6777777777777778,gnb,10,10,P22,arousal,face,0.6777777777777778,gnb,face_geometry,all_face,all,all,0.0,tied
face,0.5983193277310924,knn,10,10,P23,arousal,face,0.5321428571428571,svm,face_geometry,all_face,5,5,-0.06617647058823528,worsened
eeg,0.5969463869463869,knn,all,all,P24,arousal,multimodal,0.6065034965034964,svm,all_eeg_plus_face,all_channels,10,10,0.009557109557109533,improved
eeg,0.5947852147852147,knn,20,20,P25,arousal,eeg,0.6008691308691309,gnb,paper_compact,all_channels,8,8,0.006083916083916119,improved
eeg,0.5819047619047619,gnb,5,5,P26,arousal,eeg,0.6258730158730159,logreg,all_eeg,all_channels,8,8,0.04396825396825399,improved
multimodal,0.5571428571428572,svm,all,all,P27,arousal,eeg,0.5831318681318681,gnb,paper_compact,all_channels,10,10,0.025989010989010963,improved
face,0.59593837535014,gnb,5,5,P28,arousal,face,0.630812324929972,logreg,face_geometry,all_face,5,5,0.03487394957983192,improved
