participant,target,old_best_ba,new_best_ba,delta_ba,improved,old_ge_060,old_ge_065,new_ge_060,new_ge_065
P27,valence,0.5833333333333333,0.5766666666666667,-0.006666666666666599,False,False,False,False,False
P28,valence,0.6086904761904762,0.5761904761904761,-0.032500000000000084,False,True,False,False,False
P29,valence,0.6076923076923076,0.6713675213675214,0.06367521367521378,True,True,False,True,True
P30,valence,0.5196386946386947,0.5361888111888111,0.0165501165501164,True,False,False,False,False
P31,valence,0.4993006993006993,0.4916083916083916,-0.0076923076923077205,False,False,False,False,False
P32,valence,0.61497668997669,0.5995920745920745,-0.015384615384615441,False,True,False,False,False
P33,valence,0.5492424242424242,0.521969696969697,-0.027272727272727226,False,False,False,False,False
P34,valence,0.5005128205128205,0.5205128205128206,0.020000000000000018,True,False,False,False,False
P35,valence,0.6482983682983683,0.6201748251748251,-0.02812354312354315,False,True,False,True,False
P36,valence,0.5872222222222222,0.613989898989899,0.026767676767676774,True,False,False,True,False
P37,valence,0.5517094017094017,0.5933760683760684,0.04166666666666663,True,False,False,False,False
P38,valence,0.5411111111111111,0.5749206349206349,0.033809523809523845,True,False,False,False,False
P39,valence,0.657843137254902,0.7042016806722688,0.04635854341736689,True,True,True,True,True
P40,valence,0.6157042957042956,0.5957042957042957,-0.019999999999999907,False,True,False,False,False
P41,valence,0.6013286713286714,0.5816783216783217,-0.01965034965034973,False,True,False,False,False
P42,valence,0.5675824175824176,0.5746953046953047,0.007112887112887156,True,False,False,False,False
P43,valence,0.5456944444444445,0.5515277777777777,0.005833333333333246,True,False,False,False,False
P44,valence,0.530094537815126,0.5185924369747898,-0.011502100840336205,False,False,False,False,False
P45,valence,0.5363888888888889,0.5845833333333333,0.04819444444444443,True,False,False,False,False
P46,valence,0.5852747252747253,0.6252747252747253,0.039999999999999925,True,False,False,True,False
