mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,rmse,mae,r2,explained_variance
individual,P42,P42,arousal,multimodal,ridge,all,all,4,P42,120,96,24,1.8846956777351962,1.6498690542713146,-0.05300916698922764,-0.05125234662229827
individual,P42,P42,arousal,multimodal,ridge,all,all,5,P42,120,96,24,1.9011339538855325,1.6252129743903565,-0.3562493413127483,-0.2372743668984667
individual,P43,P43,arousal,multimodal,ridge,all,all,1,P43,120,96,24,1.1763980054334566,0.9505926933321357,-0.1322918549718486,0.2011716601776804
individual,P43,P43,arousal,multimodal,ridge,all,all,2,P43,120,96,24,1.385966957360556,1.2151853050946826,-0.15736499829673622,-0.1282691407099137
individual,P43,P43,arousal,multimodal,ridge,all,all,3,P43,120,96,24,1.4757884482093866,1.1895871360075405,-0.27619541125953506,-0.10663420582348282
individual,P43,P43,arousal,multimodal,ridge,all,all,4,P43,120,96,24,1.1714056379668334,0.9436769464483025,-0.009427986141045785,0.06224452653661472
individual,P43,P43,arousal,multimodal,ridge,all,all,5,P43,120,96,24,1.151231384718628,0.9613967841125399,-0.07368806170018805,-0.0029288396740729805
individual,P44,P44,arousal,multimodal,ridge,all,all,1,P44,119,95,24,2.2108673363427673,1.8787283476215038,0.1307656059738681,0.14252435128912655
individual,P44,P44,arousal,multimodal,ridge,all,all,2,P44,119,95,24,2.0577136981703648,1.7222464725337632,0.07054461042093596,0.21579000813289495
individual,P44,P44,arousal,multimodal,ridge,all,all,3,P44,119,95,24,2.0241585837671585,1.8598631659973606,-0.15742891221640165,-0.15629084548668604
individual,P44,P44,arousal,multimodal,ridge,all,all,4,P44,119,95,24,2.1941209883582435,1.9030810327850112,-0.16756216465481866,0.03120566480437248
individual,P44,P44,arousal,multimodal,ridge,all,all,5,P44,119,96,23,2.1069493714610408,1.8506367798959205,0.08195634835295529,0.12065727182518848
individual,P45,P45,arousal,multimodal,ridge,all,all,1,P45,120,96,24,2.074087603462228,1.7414929494984925,-0.5643052315766142,-0.4087422990886378
individual,P45,P45,arousal,multimodal,ridge,all,all,2,P45,120,96,24,1.772796062719925,1.5115351284621827,-0.4332986436082933,-0.2974420575901888
individual,P45,P45,arousal,multimodal,ridge,all,all,3,P45,120,96,24,1.5838851254741486,1.1374098628078415,-0.3392091234867447,-0.3001926998168096
individual,P45,P45,arousal,multimodal,ridge,all,all,4,P45,120,96,24,1.7137659677846409,1.4906638465768705,-0.07889567881760984,-0.075130176759173
individual,P45,P45,arousal,multimodal,ridge,all,all,5,P45,120,96,24,1.7259168651273522,1.45972724317671,0.04625765503575818,0.05724967387684832
individual,P46,P46,arousal,multimodal,ridge,all,all,1,P46,117,93,24,1.3211396069069181,1.0826941107618893,-0.20981477725677955,-0.20887276356862516
