experiment,target,classifier,parameter,selected_value,n_selected_outer_folds,n_configurations_with_selection,n_configurations,median_ba,mean_ba,upper_quartile_ba,maximum_ba,fraction_ba_ge_55,fraction_ba_ge_60,fraction_ba_ge_65
individual_optimized_top15,valence,extra_trees,classifier__min_samples_leaf,4,187,92,187,0.5565079365079365,0.5615961459811728,0.594949494949495,0.6793434343434344,0.5508021390374331,0.1925133689839572,0.0481283422459893
individual_optimized_top15,valence,gnb,classifier__var_smoothing,1e-11,525,105,525,0.5806837606837607,0.5687345194488052,0.6034965034965035,0.6701515151515152,0.6761904761904762,0.2761904761904762,0.0380952380952381
individual_optimized_top15,valence,knn,classifier__metric,euclidean,300,100,300,0.5342019092019092,0.5378612498612498,0.5619780219780219,0.6807070707070707,0.36666666666666664,0.09666666666666666,0.01
individual_optimized_top15,valence,knn,classifier__metric,manhattan,225,96,225,0.5321717171717172,0.5353392410059077,0.5646553446553446,0.6807070707070707,0.37777777777777777,0.07111111111111111,0.008888888888888889
individual_optimized_top15,valence,knn,classifier__n_neighbors,11,64,50,64,0.5462087912087912,0.5454753493034743,0.5733266733266733,0.6807070707070707,0.46875,0.171875,0.015625
individual_optimized_top15,valence,knn,classifier__n_neighbors,15,79,55,79,0.5371428571428571,0.5370071840957917,0.5646553446553446,0.6807070707070707,0.34177215189873417,0.08860759493670886,0.012658227848101266
individual_optimized_top15,valence,knn,classifier__n_neighbors,21,111,70,111,0.5338583638583639,0.5386323736323736,0.5782917082917083,0.6807070707070707,0.3963963963963964,0.0990990990990991,0.018018018018018018
individual_optimized_top15,valence,knn,classifier__n_neighbors,3,82,61,82,0.5280569430569431,0.5326369362344973,0.5617155067155066,0.6212887112887112,0.34146341463414637,0.04878048780487805,0.0
individual_optimized_top15,valence,knn,classifier__n_neighbors,5,70,58,70,0.5257542457542458,0.5296322962751535,0.5538986013986014,0.6807070707070707,0.2714285714285714,0.08571428571428572,0.014285714285714285
individual_optimized_top15,valence,knn,classifier__n_neighbors,7,57,48,57,0.5271212121212121,0.5302818234397182,0.5577777777777777,0.6212887112887112,0.2807017543859649,0.05263157894736842,0.0
individual_optimized_top15,valence,knn,classifier__n_neighbors,9,62,47,62,0.5466328116328116,0.5437252800962478,0.5646553446553446,0.6212887112887112,0.5,0.04838709677419355,0.0
individual_optimized_top15,valence,knn,classifier__weights,distance,113,69,113,0.5476190476190477,0.5434690334247856,0.5786013986013986,0.6807070707070707,0.4690265486725664,0.08849557522123894,0.008849557522123894
individual_optimized_top15,valence,knn,classifier__weights,uniform,412,105,412,0.5305738705738706,0.5349458820575326,0.5619780219780219,0.6807070707070707,0.3446601941747573,0.08495145631067962,0.009708737864077669
individual_optimized_top15,valence,logreg,classifier__C,0.01,196,91,196,0.5558913308913309,0.5728018778273881,0.629400738150738,0.7075252525252524,0.5459183673469388,0.3979591836734694,0.10204081632653061
individual_optimized_top15,valence,logreg,classifier__C,0.1,106,66,106,0.5498412698412698,0.5616827407393445,0.6198484848484848,0.7047979797979798,0.49056603773584906,0.3584905660377358,0.11320754716981132
individual_optimized_top15,valence,logreg,classifier__C,1,77,54,77,0.5583760683760683,0.5762212174549839,0.628080808080808,0.7075252525252524,0.5974025974025974,0.4155844155844156,0.07792207792207792
individual_optimized_top15,valence,logreg,classifier__C,10,88,66,88,0.5420940170940172,0.5575545414181778,0.6215784215784216,0.7075252525252524,0.42045454545454547,0.29545454545454547,0.125
individual_optimized_top15,valence,logreg,classifier__C,100,58,46,58,0.5395726495726496,0.5626924416579591,0.6203221778221778,0.7075252525252524,0.39655172413793105,0.27586206896551724,0.10344827586206896
individual_optimized_top15,valence,logreg,classifier__class_weight,None,280,100,280,0.5496825396825397,0.5648006973185544,0.625034965034965,0.7075252525252524,0.4857142857142857,0.34285714285714286,0.1
individual_optimized_top15,valence,logreg,classifier__class_weight,balanced,245,100,245,0.5555189255189255,0.5703401564421972,0.6247852147852148,0.7075252525252524,0.5265306122448979,0.3836734693877551,0.11020408163265306
individual_optimized_top15,valence,svm,classifier__C,0.01,72,49,72,0.5456304806304806,0.5539469558219559,0.5783916083916083,0.6504395604395604,0.4444444444444444,0.1111111111111111,0.013888888888888888
individual_optimized_top15,valence,svm,classifier__C,0.1,43,35,43,0.5482539682539683,0.5483323653091094,0.5713986013986014,0.5997602397602397,0.4883720930232558,0.0,0.0
individual_optimized_top15,valence,svm,classifier__C,1,151,83,151,0.5564957264957264,0.5563818631699426,0.5875224775224774,0.6735264735264735,0.5761589403973509,0.19205298013245034,0.033112582781456956
