experiment,target,classifier,parameter,selected_value,n_selected_outer_folds,n_configurations_with_selection,n_configurations,median_ba,mean_ba,upper_quartile_ba,maximum_ba,fraction_ba_ge_55,fraction_ba_ge_60,fraction_ba_ge_65
individual_optimized_top15,arousal,svm,classifier__C,10,149,83,149,0.5541269841269842,0.5518387859672896,0.5775443510737628,0.6912499999999999,0.5570469798657718,0.16778523489932887,0.06711409395973154
individual_optimized_top15,arousal,svm,classifier__C,100,112,72,112,0.5569841269841269,0.5548199233073182,0.5900256769374417,0.6912499999999999,0.5714285714285714,0.19642857142857142,0.03571428571428571
individual_optimized_top15,arousal,svm,classifier__class_weight,None,185,80,185,0.5431746031746032,0.5448144161967691,0.5723676323676323,0.6791708291708292,0.4648648648648649,0.12432432432432433,0.03783783783783784
individual_optimized_top15,arousal,svm,classifier__class_weight,balanced,340,104,340,0.5619047619047619,0.554499840845429,0.5901027077497665,0.6912499999999999,0.5852941176470589,0.21176470588235294,0.052941176470588235
individual_optimized_top15,arousal,svm,classifier__gamma,0.001,79,56,79,0.5569841269841269,0.55517637591167,0.5828898225957049,0.6912499999999999,0.569620253164557,0.17721518987341772,0.06329113924050633
individual_optimized_top15,arousal,svm,classifier__gamma,0.01,91,61,91,0.5657142857142856,0.5636344863389142,0.5965784215784216,0.6912499999999999,0.6263736263736264,0.25274725274725274,0.07692307692307693
individual_optimized_top15,arousal,svm,classifier__gamma,0.1,47,39,47,0.5550420168067227,0.5482280049598572,0.578782679738562,0.6791708291708292,0.5531914893617021,0.10638297872340426,0.02127659574468085
individual_optimized_top15,arousal,svm,classifier__gamma,1,45,29,45,0.522735760971055,0.5217271688006982,0.5534365634365634,0.6791708291708292,0.28888888888888886,0.06666666666666667,0.044444444444444446
individual_optimized_top15,arousal,svm,classifier__gamma,scale,106,66,106,0.5512698412698414,0.5433026904960867,0.5786313686313687,0.6621978021978022,0.5094339622641509,0.14150943396226415,0.009433962264150943
individual_optimized_top15,arousal,svm,classifier__kernel,linear,157,87,157,0.5587500000000001,0.5562829102436633,0.5901027077497665,0.6912499999999999,0.5732484076433121,0.2229299363057325,0.05732484076433121
individual_optimized_top15,arousal,svm,classifier__kernel,rbf,368,105,368,0.5534365634365634,0.5488700977597637,0.5786313686313687,0.6912499999999999,0.529891304347826,0.16304347826086957,0.043478260869565216
individual_optimized_top15,valence,extra_trees,classifier__class_weight,None,249,100,249,0.5519280719280719,0.5519096164879297,0.5805738705738706,0.6793434343434344,0.5060240963855421,0.13253012048192772,0.024096385542168676
individual_optimized_top15,valence,extra_trees,classifier__class_weight,balanced,276,103,276,0.5565079365079365,0.5598249053683837,0.5909090909090909,0.6793434343434344,0.5579710144927537,0.17028985507246377,0.03260869565217391
individual_optimized_top15,valence,extra_trees,classifier__max_depth,10,58,50,58,0.5588811188811189,0.5573139121414985,0.5790959040959041,0.6746553446553447,0.603448275862069,0.13793103448275862,0.034482758620689655
individual_optimized_top15,valence,extra_trees,classifier__max_depth,5,254,103,254,0.5530303030303031,0.5552906192669973,0.5882042957042958,0.6793434343434344,0.5275590551181102,0.16535433070866143,0.027559055118110236
individual_optimized_top15,valence,extra_trees,classifier__max_depth,None,213,99,213,0.5530303030303031,0.5566626487753249,0.5909090909090909,0.6793434343434344,0.5211267605633803,0.14084507042253522,0.028169014084507043
individual_optimized_top15,valence,extra_trees,classifier__max_features,None,174,83,174,0.5482539682539682,0.552309478516375,0.5937878787878788,0.6793434343434344,0.47701149425287354,0.1839080459770115,0.040229885057471264
individual_optimized_top15,valence,extra_trees,classifier__max_features,log2,72,31,72,0.5556166056166056,0.5584652230485564,0.5864535464535464,0.6746553446553447,0.5833333333333334,0.06944444444444445,0.05555555555555555
individual_optimized_top15,valence,extra_trees,classifier__max_features,sqrt,279,102,279,0.557057387057387,0.5577986489814447,0.5887878787878789,0.6793434343434344,0.5555555555555556,0.15412186379928317,0.014336917562724014
individual_optimized_top15,valence,extra_trees,classifier__min_samples_leaf,1,188,91,188,0.557002442002442,0.556316189720445,0.5858666333666334,0.6746553446553447,0.5585106382978723,0.12234042553191489,0.02127659574468085
individual_optimized_top15,valence,extra_trees,classifier__min_samples_leaf,2,150,89,150,0.5484126984126985,0.5488749694749695,0.5790959040959041,0.6793434343434344,0.48,0.14,0.013333333333333334
