experiment,target,factor,level,n_configurations,median_ba,mean_ba,upper_quartile_ba,maximum_ba,fraction_ba_ge_55,fraction_ba_ge_60,fraction_ba_ge_65
individual_optimized_top15,arousal,classifier × feature_count_request,svm × 8,15,0.5595238095238095,0.5563572669160906,0.5998781284075402,0.65125,0.6666666666666666,0.26666666666666666,0.06666666666666667
individual_optimized_top15,arousal,classifier × feature_count_request,logreg × 30,10,0.5678804855275443,0.5549580623624741,0.5837574925074924,0.5962500000000001,0.7,0.0,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,gnb × 8,15,0.5792063492063492,0.5548815237050531,0.6058137940490882,0.6307892107892108,0.6666666666666666,0.26666666666666666,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,extra_trees × 8,15,0.5657142857142857,0.5536172694407988,0.6098556998556999,0.64625,0.6,0.3333333333333333,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,knn × all,15,0.5533146591970122,0.5534453319012143,0.578964368964369,0.7028571428571428,0.5333333333333333,0.2,0.13333333333333333
individual_optimized_top15,arousal,classifier × feature_count_request,extra_trees × 10,15,0.5587301587301587,0.5519949647302589,0.5936291486291486,0.645,0.5333333333333333,0.2,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,logreg × all,15,0.5366946778711484,0.55172214767803,0.602012432012432,0.6287499999999999,0.3333333333333333,0.26666666666666666,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,knn × 20,10,0.5352987861811391,0.5511636827225063,0.5867148476523476,0.60625,0.4,0.2,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,logreg × 5,15,0.5612487512487513,0.5502410606822371,0.5968551587301587,0.6382539682539682,0.6666666666666666,0.2,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,extra_trees × 15,10,0.5568767507002801,0.5476373038725979,0.5875555694305694,0.6289810189810191,0.5,0.2,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,knn × 8,15,0.5537348272642391,0.5451928305898893,0.5765079365079365,0.6216483516483516,0.5333333333333333,0.13333333333333333,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,svm × 30,10,0.5597469197469196,0.5437584033613445,0.5726117632367632,0.61,0.6,0.1,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,knn × 15,10,0.5393650793650794,0.5432292854204619,0.579375,0.6426573426573426,0.4,0.1,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,extra_trees × 20,10,0.5434890109890109,0.54245760938408,0.5794345238095238,0.6337862137862139,0.5,0.1,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,extra_trees × 30,10,0.5434726384726385,0.5413849900099899,0.5866021825396825,0.6042657342657343,0.4,0.1,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,knn × 30,10,0.5388095238095238,0.5412635754768107,0.5633266733266733,0.5912499999999999,0.4,0.0,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,logreg × 3,15,0.5637962037962039,0.5398964597494008,0.5865178571428571,0.6468253968253969,0.7333333333333333,0.06666666666666667,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,gnb × 3,15,0.5282917082917084,0.5393674647792295,0.58,0.6103174603174603,0.4666666666666667,0.13333333333333333,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,extra_trees × all,15,0.5379365079365079,0.5364337835367247,0.5802858252858253,0.61375,0.4,0.06666666666666667,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,gnb × 5,15,0.55625,0.5364245411451294,0.5765873015873016,0.5958730158730159,0.6666666666666666,0.0,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,gnb × all,15,0.549047619047619,0.5361153155123742,0.5592156862745099,0.6777777777777778,0.4666666666666667,0.13333333333333333,0.06666666666666667
individual_optimized_top15,arousal,classifier × feature_count_request,knn × 5,15,0.5362937062937062,0.5290661000219824,0.5573786181139122,0.6228571428571429,0.3333333333333333,0.06666666666666667,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,extra_trees × 5,15,0.5308091908091909,0.5212831308125426,0.5558234126984127,0.6023809523809524,0.3333333333333333,0.06666666666666667,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,svm × 5,15,0.5395104895104895,0.5207975679005091,0.5560932817182818,0.5900000000000001,0.4,0.0,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,extra_trees × 3,15,0.5298412698412699,0.517058556911498,0.5476989676989676,0.56875,0.26666666666666666,0.0,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,knn × 3,15,0.5133053221288515,0.5111906981906981,0.5334942834942835,0.5665079365079365,0.06666666666666667,0.0,0.0
individual_optimized_top15,arousal,classifier × feature_count_request,svm × 3,15,0.51375,0.5110680942151531,0.5428898225957051,0.6298412698412698,0.2,0.06666666666666667,0.0
individual_optimized_top15,valence,classifier × feature_count_request,logreg × all,15,0.5703796203796204,0.5815396455396457,0.6231018981018981,0.6563136863136864,0.6666666666666666,0.4666666666666667,0.06666666666666667
individual_optimized_top15,valence,classifier × feature_count_request,logreg × 10,15,0.5583760683760683,0.5804206534206534,0.6231018981018981,0.6563136863136864,0.5333333333333333,0.4666666666666667,0.13333333333333333
individual_optimized_top15,valence,classifier × feature_count_request,gnb × 10,15,0.5892007992007993,0.5798435638435638,0.6125857475857475,0.6345654345654347,0.6666666666666666,0.4666666666666667,0.0
individual_optimized_top15,valence,classifier × feature_count_request,gnb × 8,15,0.5987301587301588,0.579062641062641,0.6126862026862026,0.6387878787878789,0.6666666666666666,0.4666666666666667,0.0
