mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp
general,COHORT,P11,valence,multimodal,knn,all,all,2,P10;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.503337041156841,0.5166666666666667,0.5185185185185185,0.9032258064516129,0.6588235294117647,6,52,6,56
general,COHORT,P19,valence,multimodal,knn,all,all,3,P10;P11;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.42826940501359106,0.5166666666666667,0.6,0.7402597402597403,0.6627906976744186,5,38,20,57
general,COHORT,P22,valence,multimodal,knn,all,all,4,P10;P11;P19;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.4457013574660633,0.43333333333333335,0.3888888888888889,0.5384615384615384,0.45161290322580644,24,44,24,28
general,COHORT,P25,valence,multimodal,knn,all,all,5,P10;P11;P19;P22;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.4612794612794613,0.5,0.5283018867924528,0.8484848484848485,0.6511627906976745,4,50,10,56
general,COHORT,P32,valence,multimodal,knn,all,all,6,P10;P11;P19;P22;P25;P40;P42;P43;P45,1200,1080,120,522,678,0.49916573971078976,0.5083333333333333,0.5161290322580645,0.7741935483870968,0.6193548387096774,13,45,14,48
general,COHORT,P40,valence,multimodal,knn,all,all,7,P10;P11;P19;P22;P25;P32;P42;P43;P45,1200,1080,120,522,678,0.46632996632996637,0.4666666666666667,0.5166666666666667,0.4696969696969697,0.49206349206349204,25,29,35,31
general,COHORT,P42,valence,multimodal,knn,all,all,8,P10;P11;P19;P22;P25;P32;P40;P43;P45,1200,1080,120,522,678,0.5214932126696833,0.5166666666666667,0.5892857142857143,0.4852941176470588,0.532258064516129,29,23,35,33
general,COHORT,P43,valence,multimodal,knn,all,all,9,P10;P11;P19;P22;P25;P32;P40;P42;P45,1200,1080,120,522,678,0.4577167019027484,0.5083333333333333,0.6125,0.6363636363636364,0.6242038216560509,12,31,28,49
general,COHORT,P45,valence,multimodal,knn,all,all,10,P10;P11;P19;P22;P25;P32;P40;P42;P43,1200,1080,120,522,678,0.5045787545787546,0.5416666666666666,0.6533333333333333,0.6282051282051282,0.6405228758169934,16,26,29,49
general,COHORT,P10,valence,multimodal,knn,5,5,1,P11;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.44000000000000006,0.4,0.4666666666666667,0.2,0.28,34,16,56,14
general,COHORT,P11,valence,multimodal,knn,5,5,2,P10;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.5008342602892102,0.5083333333333333,0.5172413793103449,0.7258064516129032,0.6040268456375839,16,42,17,45
general,COHORT,P19,valence,multimodal,knn,5,5,3,P10;P11;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.48474781032920566,0.5166666666666667,0.6301369863013698,0.5974025974025974,0.6133333333333333,16,27,31,46
general,COHORT,P22,valence,multimodal,knn,5,5,4,P10;P11;P19;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.5356334841628959,0.49166666666666664,0.45454545454545453,0.8653846153846154,0.5960264900662252,14,54,7,45
general,COHORT,P25,valence,multimodal,knn,5,5,5,P10;P11;P19;P22;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.4494949494949495,0.4666666666666667,0.5125,0.6212121212121212,0.5616438356164384,15,39,25,41
general,COHORT,P32,valence,multimodal,knn,5,5,6,P10;P11;P19;P22;P25;P40;P42;P43;P45,1200,1080,120,522,678,0.4824805339265851,0.49166666666666664,0.5053763440860215,0.7580645161290323,0.6064516129032258,12,46,15,47
general,COHORT,P40,valence,multimodal,knn,5,5,7,P10;P11;P19;P22;P25;P32;P42;P43;P45,1200,1080,120,522,678,0.47895622895622897,0.49166666666666664,0.5333333333333333,0.6060606060606061,0.5673758865248227,19,35,26,40
general,COHORT,P42,valence,multimodal,knn,5,5,8,P10;P11;P19;P22;P25;P32;P40;P43;P45,1200,1080,120,522,678,0.5333710407239819,0.5583333333333333,0.5903614457831325,0.7205882352941176,0.6490066225165563,18,34,19,49
general,COHORT,P43,valence,multimodal,knn,5,5,9,P10;P11;P19;P22;P25;P32;P40;P42;P45,1200,1080,120,522,678,0.48580489278163697,0.49166666666666664,0.6290322580645161,0.5064935064935064,0.5611510791366906,20,23,38,39
general,COHORT,P45,valence,multimodal,knn,5,5,10,P10;P11;P19;P22;P25;P32;P40;P42;P43,1200,1080,120,522,678,0.4990842490842491,0.49166666666666664,0.6491228070175439,0.47435897435897434,0.5481481481481482,22,20,41,37
general,COHORT,P10,valence,multimodal,knn,10,10,1,P11;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.4857142857142857,0.4666666666666667,0.5652173913043478,0.37142857142857144,0.4482758620689655,30,20,44,26
general,COHORT,P11,valence,multimodal,knn,10,10,2,P10;P19;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.46440489432703,0.4666666666666667,0.4852941176470588,0.532258064516129,0.5076923076923077,23,35,29,33
general,COHORT,P19,valence,multimodal,knn,10,10,3,P10;P11;P22;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.49365750528541225,0.5083333333333333,0.6363636363636364,0.5454545454545454,0.5874125874125874,19,24,35,42
general,COHORT,P22,valence,multimodal,knn,10,10,4,P10;P11;P19;P25;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.5305429864253394,0.48333333333333334,0.45098039215686275,0.8846153846153846,0.5974025974025974,12,56,6,46
general,COHORT,P25,valence,multimodal,knn,10,10,5,P10;P11;P19;P22;P32;P40;P42;P43;P45,1200,1080,120,522,678,0.4242424242424242,0.45,0.5,0.6818181818181818,0.5769230769230769,9,45,21,45
general,COHORT,P32,valence,multimodal,knn,10,10,6,P10;P11;P19;P22;P25;P40;P42;P43;P45,1200,1080,120,522,678,0.4168520578420467,0.425,0.4606741573033708,0.6612903225806451,0.543046357615894,10,48,21,41
general,COHORT,P40,valence,multimodal,knn,10,10,7,P10;P11;P19;P22;P25;P32;P42;P43;P45,1200,1080,120,522,678,0.4713804713804714,0.48333333333333334,0.527027027027027,0.5909090909090909,0.5571428571428572,19,35,27,39
general,COHORT,P42,valence,multimodal,knn,10,10,8,P10;P11;P19;P22;P25;P32;P40;P43;P45,1200,1080,120,522,678,0.47398190045248867,0.45,0.5263157894736842,0.29411764705882354,0.37735849056603776,34,18,48,20
general,COHORT,P43,valence,multimodal,knn,10,10,9,P10;P11;P19;P22;P25;P32;P40;P42;P45,1200,1080,120,522,678,0.5090607067351254,0.5083333333333333,0.65,0.5064935064935064,0.5693430656934306,22,21,38,39
general,COHORT,P45,valence,multimodal,knn,10,10,10,P10;P11;P19;P22;P25;P32;P40;P42;P43,1200,1080,120,522,678,0.44505494505494503,0.45,0.6,0.46153846153846156,0.5217391304347826,18,24,42,36
