participant,task,segment_id,window_id,window_start_s,window_end_s,condition,model_id,nearest_image_distance,outside_selected_count,outside_selected_fraction,max_abs_image_z,median_abs_image_z
P15,shape_sorter_observation,1,shape_sorter_observation_s1_54.000,54.0,56.0,no-ICA,valence__face__gnb__5,0.7375658746184118,0,0.0,1.1211942094712914,0.6404117624232167
P15,shape_sorter_observation,1,shape_sorter_observation_s1_55.000,55.0,57.0,no-ICA,valence__face__gnb__5,0.9487926838732988,0,0.0,0.7023546001007331,0.5941080471559967
P15,shape_sorter_observation,1,shape_sorter_observation_s1_56.000,56.0,58.0,no-ICA,valence__face__gnb__5,1.3686641123791754,0,0.0,1.731192231871889,0.9821405260972729
P15,shape_sorter_observation,1,shape_sorter_observation_s1_57.000,57.0,59.0,no-ICA,valence__face__gnb__5,1.2672072475967675,0,0.0,1.3818721233720375,0.8025892468581645
P15,shape_sorter_observation,1,shape_sorter_observation_s1_58.000,58.0,60.0,no-ICA,valence__face__gnb__5,0.9093592135645273,0,0.0,1.2896036359910272,0.8662493788468915
P15,shape_sorter_observation,1,shape_sorter_observation_s1_59.000,59.0,61.0,no-ICA,valence__face__gnb__5,1.0116375348287843,0,0.0,1.6054917231092407,1.3901581710192472
P15,shape_sorter_observation,1,shape_sorter_observation_s1_60.000,60.0,62.0,no-ICA,valence__face__gnb__5,0.6994758836807717,0,0.0,1.2445360776277512,0.80706313812782
P15,shape_sorter_observation,1,shape_sorter_observation_s1_61.000,61.0,63.0,no-ICA,valence__face__gnb__5,1.1825091023072936,0,0.0,1.870909088867847,1.0071505756294603
P15,shape_sorter_observation,1,shape_sorter_observation_s1_62.000,62.0,64.0,no-ICA,valence__face__gnb__5,1.6615877268285566,0,0.0,2.4017240787202447,1.1255456769955934
P15,shape_sorter_observation,1,shape_sorter_observation_s1_63.000,63.0,65.0,no-ICA,valence__face__gnb__5,1.711587163512838,2,0.4,2.4407649196760195,1.3654555388012914
P15,shape_sorter_observation,1,shape_sorter_observation_s1_64.000,64.0,66.0,no-ICA,valence__face__gnb__5,2.3141552317560294,2,0.4,2.5568136970012207,1.2603371093736555
P15,shape_sorter_observation,1,shape_sorter_observation_s1_65.000,65.0,67.0,no-ICA,valence__face__gnb__5,0.810053051813877,0,0.0,1.5656778660379878,0.9456764797511567
P15,shape_sorter_observation,1,shape_sorter_observation_s1_66.000,66.0,68.0,no-ICA,valence__face__gnb__5,1.139389221117561,0,0.0,1.361903913471854,0.6055902512882662
P15,shape_sorter_observation,1,shape_sorter_observation_s1_67.000,67.0,69.0,no-ICA,valence__face__gnb__5,0.9092364978334534,0,0.0,1.3345206304972645,0.38206323497946887
P15,shape_sorter_observation,1,shape_sorter_observation_s1_68.000,68.0,70.0,no-ICA,valence__face__gnb__5,0.8402852827983054,0,0.0,2.3679696727866917,1.8793473989187828
P15,shape_sorter_observation,1,shape_sorter_observation_s1_69.000,69.0,71.0,no-ICA,valence__face__gnb__5,0.994460441563258,0,0.0,2.2801176606411993,0.6705355063077018
P15,shape_sorter_observation,1,shape_sorter_observation_s1_70.000,70.0,72.0,no-ICA,valence__face__gnb__5,1.3802501382666519,2,0.4,2.993104308486156,0.8207627812963589
