mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,best_parameters,inner_best_balanced_accuracy,representation,source_run
individual,P19,P19,arousal,eeg,gnb,10,10,2,"{""classifier__var_smoothing"": 1e-11}",0.6259570494864612,with_ICA,p19_final
individual,P19,P19,arousal,eeg,gnb,10,10,3,"{""classifier__var_smoothing"": 1e-11}",0.5939620292561468,with_ICA,p19_final
individual,P19,P19,arousal,eeg,gnb,10,10,4,"{""classifier__var_smoothing"": 1e-11}",0.6347805788982259,with_ICA,p19_final
individual,P19,P19,arousal,eeg,gnb,10,10,5,"{""classifier__var_smoothing"": 1e-11}",0.6161531279178338,with_ICA,p19_final
individual,P19,P19,arousal,eeg,gnb,20,20,1,"{""classifier__var_smoothing"": 1e-11}",0.582337379396203,with_ICA,p19_final
individual,P19,P19,arousal,eeg,gnb,20,20,2,"{""classifier__var_smoothing"": 1e-11}",0.6267818238406474,with_ICA,p19_final
individual,P19,P19,arousal,eeg,gnb,20,20,3,"{""classifier__var_smoothing"": 1e-11}",0.5683006535947712,with_ICA,p19_final
individual,P19,P19,arousal,eeg,gnb,20,20,4,"{""classifier__var_smoothing"": 1e-11}",0.65406162464986,with_ICA,p19_final
individual,P19,P19,arousal,eeg,gnb,20,20,5,"{""classifier__var_smoothing"": 1e-11}",0.553454715219421,with_ICA,p19_final
individual,P19,P19,valence,eeg,knn,all,all,1,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.4803030303030303,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,knn,all,all,2,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.6013708513708513,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,knn,all,all,3,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5355339105339105,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,knn,all,all,4,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5357864357864358,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,knn,all,all,5,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5503607503607504,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,knn,5,5,1,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5416666666666666,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,knn,5,5,2,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.577958152958153,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,knn,5,5,3,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5440115440115441,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,knn,5,5,4,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.6304473304473305,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,knn,5,5,5,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}",0.5286435786435787,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,knn,10,10,1,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.5340909090909091,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,knn,10,10,2,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""distance""}",0.5614357864357864,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,knn,10,10,3,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5751082251082251,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,knn,10,10,4,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""distance""}",0.5684704184704185,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,knn,10,10,5,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5613275613275612,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,knn,20,20,1,"{""classifier__n_neighbors"": 11, ""classifier__weights"": ""uniform""}",0.48084415584415585,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,knn,20,20,2,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.581998556998557,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,knn,20,20,3,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""uniform""}",0.6364357864357865,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,knn,20,20,4,"{""classifier__n_neighbors"": 7, ""classifier__weights"": ""uniform""}",0.5562409812409812,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,knn,20,20,5,"{""classifier__n_neighbors"": 3, ""classifier__weights"": ""uniform""}",0.5724386724386724,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,svm,all,all,1,"{""classifier__C"": 0.1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,svm,all,all,2,"{""classifier__C"": 10, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5977272727272727,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,svm,all,all,3,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""}",0.5765151515151515,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,svm,all,all,4,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""}",0.5616161616161616,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,svm,all,all,5,"{""classifier__C"": 0.1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,svm,5,5,1,"{""classifier__C"": 0.1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,svm,5,5,2,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""}",0.6008297258297258,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,svm,5,5,3,"{""classifier__C"": 1, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",0.5621212121212121,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,svm,5,5,4,"{""classifier__C"": 10, ""classifier__gamma"": 0.1, ""classifier__kernel"": ""rbf""}",0.613059163059163,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,svm,5,5,5,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""}",0.5199855699855699,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,svm,10,10,1,"{""classifier__C"": 1, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5055555555555555,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,svm,10,10,2,"{""classifier__C"": 10, ""classifier__kernel"": ""linear""}",0.5921717171717171,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,svm,10,10,3,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""}",0.5956349206349206,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,svm,10,10,4,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.5938672438672439,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,svm,10,10,5,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""}",0.5252886002886002,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,svm,20,20,1,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.5071067821067822,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,svm,20,20,2,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""}",0.5786796536796537,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,svm,20,20,3,"{""classifier__C"": 1, ""classifier__kernel"": ""linear""}",0.6037157287157288,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,svm,20,20,4,"{""classifier__C"": 1, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5806998556998557,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,svm,20,20,5,"{""classifier__C"": 0.1, ""classifier__kernel"": ""linear""}",0.5598845598845599,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,gnb,all,all,1,"{""classifier__var_smoothing"": 1e-11}",0.5199134199134199,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,gnb,all,all,2,"{""classifier__var_smoothing"": 1e-11}",0.5746753246753246,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,gnb,all,all,3,"{""classifier__var_smoothing"": 1e-11}",0.559054834054834,no_ICA,p19_no_ica
individual,P19,P19,valence,eeg,gnb,all,all,4,"{""classifier__var_smoothing"": 1e-11}",0.5304473304473305,no_ICA,p19_no_ica
