mode,participant,held_out_participant,target,modality,regressor,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,rmse,mae,r2,explained_variance
individual,P45,P45,valence,eeg,knn,5,5,1,P45,120,96,24,1.5660393797229286,1.3863636363636365,0.02711563417799323,0.08867791362156507
individual,P45,P45,valence,eeg,knn,5,5,2,P45,120,96,24,1.2043310272265246,0.9469696969696969,0.004245510692579391,0.0067672061387521465
individual,P45,P45,valence,eeg,knn,5,5,3,P45,120,96,24,1.5626274052740463,1.3143939393939394,-0.1278904080537091,-0.10322956914777293
individual,P45,P45,valence,eeg,knn,5,5,4,P45,120,96,24,1.48043553250485,1.1649646574164292,-0.1445268130191124,-0.05668752919526909
individual,P45,P45,valence,eeg,knn,5,5,5,P45,120,96,24,1.7354840137278023,1.5357142857142856,-0.30636833046471623,-0.2510449963117778
individual,P10,P10,valence,eeg,knn,10,10,1,P10,120,96,24,1.8823890218953325,1.6742424242424245,-0.1518012051564277,-0.060388411096393924
individual,P10,P10,valence,eeg,knn,10,10,2,P10,120,96,24,2.195035721390843,1.9696969696969697,-0.29443690637720477,-0.2899808807203652
individual,P10,P10,valence,eeg,knn,10,10,3,P10,120,96,24,1.8795029110180062,1.6835649784739786,-0.011301176388912149,-0.0030359342266230716
individual,P10,P10,valence,eeg,knn,10,10,4,P10,120,96,24,1.9094516253735974,1.621212121212121,-0.029965264126394553,-0.01633031910797289
individual,P10,P10,valence,eeg,knn,10,10,5,P10,120,96,24,2.216113044227074,1.9696969696969697,-0.4059773589865763,-0.30601514877676084
individual,P11,P11,valence,eeg,knn,10,10,1,P11,120,96,24,2.3386647081357963,2.0795454545454546,-0.14184382292062936,-0.08725163926323765
individual,P11,P11,valence,eeg,knn,10,10,2,P11,120,96,24,2.5787593916455256,2.3000000000000003,-0.5704797047970482,-0.399852398523985
individual,P11,P11,valence,eeg,knn,10,10,3,P11,120,96,24,2.201145456873318,1.8181818181818183,-0.20498437031644756,-0.17345380322299775
individual,P11,P11,valence,eeg,knn,10,10,4,P11,120,96,24,2.45961074818971,2.197002876030803,-0.17723600634579673,-0.17012804259173353
individual,P11,P11,valence,eeg,knn,10,10,5,P11,120,96,24,2.225803473339094,1.8674242424242422,-0.14327717736808654,-0.13532726742954027
individual,P19,P19,valence,eeg,knn,10,10,1,P19,120,96,24,2.074511704606691,1.7307269314315228,-0.061161351039765055,-0.06114843194449593
individual,P19,P19,valence,eeg,knn,10,10,2,P19,120,96,24,1.6911086555418267,1.3522727272727273,-0.18423632442324034,-0.12362828335640552
individual,P19,P19,valence,eeg,knn,10,10,3,P19,120,96,24,1.5099532038066446,1.1553030303030303,-0.1399793388429751,-0.1368155991735538
individual,P19,P19,valence,eeg,knn,10,10,4,P19,120,96,24,1.7717941641557504,1.4763281411112859,-0.16809472005074388,-0.08937076567435631
individual,P19,P19,valence,eeg,knn,10,10,5,P19,120,96,24,1.2919163218018956,1.0652647494757577,-0.05529256063882371,0.019518719115234284
