mode,participant,held_out_participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,training_participants,sample_size,train_size,test_size,low_count,high_count,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp,representation,source_run,low_recall
individual,P19,P19,arousal,eeg,svm,all,all,3,P19,120,96,24,65,55,0.5664335664335665,0.5833333333333334,0.5714285714285714,0.36363636363636365,0.4444444444444444,10,3,7,4,with_ICA,p19_final,0.7692307692307693
individual,P19,P19,arousal,eeg,svm,all,all,4,P19,120,96,24,65,55,0.3601398601398601,0.375,0.25,0.18181818181818182,0.21052631578947367,7,6,9,2,with_ICA,p19_final,0.5384615384615384
individual,P19,P19,arousal,eeg,svm,all,all,5,P19,120,96,24,65,55,0.534965034965035,0.5416666666666666,0.5,0.45454545454545453,0.47619047619047616,8,5,6,5,with_ICA,p19_final,0.6153846153846154
individual,P19,P19,arousal,eeg,svm,5,5,1,P19,120,96,24,65,55,0.7482517482517483,0.75,0.7272727272727273,0.7272727272727273,0.7272727272727273,10,3,3,8,with_ICA,p19_final,0.7692307692307693
individual,P19,P19,arousal,eeg,svm,5,5,2,P19,120,96,24,65,55,0.7027972027972028,0.7083333333333334,0.7,0.6363636363636364,0.6666666666666666,10,3,4,7,with_ICA,p19_final,0.7692307692307693
individual,P19,P19,arousal,eeg,svm,5,5,3,P19,120,96,24,65,55,0.5664335664335665,0.5833333333333334,0.5714285714285714,0.36363636363636365,0.4444444444444444,10,3,7,4,with_ICA,p19_final,0.7692307692307693
individual,P19,P19,arousal,eeg,svm,5,5,4,P19,120,96,24,65,55,0.7342657342657343,0.75,0.8571428571428571,0.5454545454545454,0.6666666666666666,12,1,5,6,with_ICA,p19_final,0.9230769230769231
individual,P19,P19,arousal,eeg,svm,5,5,5,P19,120,96,24,65,55,0.6643356643356644,0.6666666666666666,0.6363636363636364,0.6363636363636364,0.6363636363636364,9,4,4,7,with_ICA,p19_final,0.6923076923076923
individual,P19,P19,arousal,eeg,svm,10,10,1,P19,120,96,24,65,55,0.7097902097902098,0.7083333333333334,0.6666666666666666,0.7272727272727273,0.6956521739130435,9,4,3,8,with_ICA,p19_final,0.6923076923076923
individual,P19,P19,arousal,eeg,svm,10,10,2,P19,120,96,24,65,55,0.6958041958041958,0.7083333333333334,0.75,0.5454545454545454,0.631578947368421,11,2,5,6,with_ICA,p19_final,0.8461538461538461
individual,P19,P19,arousal,eeg,svm,10,10,3,P19,120,96,24,65,55,0.534965034965035,0.5416666666666666,0.5,0.45454545454545453,0.47619047619047616,8,5,6,5,with_ICA,p19_final,0.6153846153846154
individual,P19,P19,arousal,eeg,svm,10,10,4,P19,120,96,24,65,55,0.7027972027972028,0.7083333333333334,0.7,0.6363636363636364,0.6666666666666666,10,3,4,7,with_ICA,p19_final,0.7692307692307693
individual,P19,P19,arousal,eeg,svm,10,10,5,P19,120,96,24,65,55,0.6188811188811189,0.625,0.6,0.5454545454545454,0.5714285714285714,9,4,5,6,with_ICA,p19_final,0.6923076923076923
individual,P19,P19,arousal,eeg,svm,20,20,1,P19,120,96,24,65,55,0.7867132867132867,0.7916666666666666,0.8,0.7272727272727273,0.7619047619047619,11,2,3,8,with_ICA,p19_final,0.8461538461538461
individual,P19,P19,arousal,eeg,svm,20,20,2,P19,120,96,24,65,55,0.7027972027972028,0.7083333333333334,0.7,0.6363636363636364,0.6666666666666666,10,3,4,7,with_ICA,p19_final,0.7692307692307693
individual,P19,P19,arousal,eeg,svm,20,20,3,P19,120,96,24,65,55,0.5664335664335665,0.5833333333333334,0.5714285714285714,0.36363636363636365,0.4444444444444444,10,3,7,4,with_ICA,p19_final,0.7692307692307693
individual,P19,P19,arousal,eeg,svm,20,20,4,P19,120,96,24,65,55,0.5734265734265734,0.5833333333333334,0.5555555555555556,0.45454545454545453,0.5,9,4,6,5,with_ICA,p19_final,0.6923076923076923
individual,P19,P19,arousal,eeg,svm,20,20,5,P19,120,96,24,65,55,0.534965034965035,0.5416666666666666,0.5,0.45454545454545453,0.47619047619047616,8,5,6,5,with_ICA,p19_final,0.6153846153846154
individual,P19,P19,arousal,eeg,gnb,all,all,1,P19,120,96,24,65,55,0.8006993006993006,0.7916666666666666,0.7142857142857143,0.9090909090909091,0.8,9,4,1,10,with_ICA,p19_final,0.6923076923076923
individual,P19,P19,arousal,eeg,gnb,all,all,2,P19,120,96,24,65,55,0.6258741258741258,0.625,0.5833333333333334,0.6363636363636364,0.6086956521739131,8,5,4,7,with_ICA,p19_final,0.6153846153846154
individual,P19,P19,arousal,eeg,gnb,all,all,3,P19,120,96,24,65,55,0.49650349650349646,0.5,0.45454545454545453,0.45454545454545453,0.45454545454545453,7,6,6,5,with_ICA,p19_final,0.5384615384615384
individual,P19,P19,arousal,eeg,gnb,all,all,4,P19,120,96,24,65,55,0.5944055944055944,0.5833333333333334,0.5333333333333333,0.7272727272727273,0.6153846153846154,6,7,3,8,with_ICA,p19_final,0.46153846153846156
individual,P19,P19,arousal,eeg,gnb,all,all,5,P19,120,96,24,65,55,0.5559440559440559,0.5416666666666666,0.5,0.7272727272727273,0.5925925925925926,5,8,3,8,with_ICA,p19_final,0.38461538461538464
individual,P19,P19,arousal,eeg,gnb,5,5,1,P19,120,96,24,65,55,0.7482517482517483,0.75,0.7272727272727273,0.7272727272727273,0.7272727272727273,10,3,3,8,with_ICA,p19_final,0.7692307692307693
