held_out_participant,architecture,train_rows,validation_rows,test_rows,best_epoch,best_validation_mse,validation_rmse,validation_mae,test_rmse,test_mae,dummy_validation_rmse,dummy_validation_mae,dummy_test_rmse,dummy_test_mae,validation_rmse_delta,test_rmse_delta,validation_ba,test_ba,test_accuracy
P29,baseline,3484,800,109,8,3.6385996341705322,1.9075113534927368,1.6324387788772583,1.7529563903808594,1.4204955101013184,1.8675321684338513,1.6016956084959815,1.4912195450883061,1.2542974962870894,0.039979185058885536,0.26173684529255326,0.4975708502024292,0.49425500370644926,0.41284403669724773
P30,baseline,3468,805,120,20,3.4118783473968506,1.847127079963684,1.6055985689163208,1.4799269437789917,1.2481852769851685,1.81428617480202,1.5935642287605578,1.4380858606254197,1.2439638600538254,0.03284090516166405,0.041841083153572045,0.48085106382978726,0.47667464114832536,0.4583333333333333
P31,baseline,3472,802,119,4,3.1314239501953125,1.769582986831665,1.498853325843811,1.693019151687622,1.4784512519836426,1.7324812669489287,1.4797970511509246,1.6662976443238418,1.484795531115672,0.03710171988273636,0.026721507363780317,0.5355609064221394,0.5572357263990955,0.5630252100840336
P32,baseline,3452,821,120,42,3.1387884616851807,1.7716625928878784,1.4929125308990479,1.1331827640533447,0.8799464702606201,1.7700019119098493,1.4467367326113618,1.0382574567956888,0.7302819621475471,0.001660680978029072,0.09492530725765591,0.4972713621213786,0.47596153846153844,0.18333333333333332
P33,baseline,3455,821,117,39,3.155001163482666,1.776232361793518,1.479854941368103,1.680893898010254,1.5104457139968872,1.7694982025746142,1.447548522767935,1.6411706699054567,1.4756490655188192,0.006734159218903857,0.039723228104797226,0.4868207400896116,0.4908088235294118,0.4017094017094017
P34,baseline,3460,818,115,38,3.1652331352233887,1.7791101932525635,1.5010051727294922,1.7834850549697876,1.5855591297149658,1.7548687713052018,1.48357830320675,1.735834713787457,1.5264111585825586,0.024241421947361674,0.04765034118233058,0.4992264150943396,0.5062823355506283,0.3217391304347826
P35,baseline,3461,818,114,34,3.1773123741149902,1.7825016975402832,1.486590027809143,1.7147282361984253,1.4703162908554077,1.7551000763212885,1.4848567587557902,1.7215299288071295,1.4823471565362412,0.0274016212189947,-0.006801692608704224,0.47574213836477985,0.5021367521367521,0.42105263157894735
P36,baseline,3473,818,102,26,3.600087881088257,1.8973897695541382,1.6187429428100586,1.8425836563110352,1.682936668395996,1.9068829829125225,1.604583947278939,1.7245947515068842,1.5681757874471405,-0.009493213358384267,0.11798890480415092,0.5010374688159662,0.5005681818181819,0.29411764705882354
P37,baseline,3362,924,107,37,2.7590713500976562,1.6610451936721802,1.3922795057296753,1.163440227508545,0.8569605350494385,1.669913847959177,1.4293884283473812,1.2545028170368095,0.8826049247499539,-0.008868654286996902,-0.09106258952826463,0.49764072847682117,0.47752808988764045,0.794392523364486
P38,baseline,3465,808,120,21,3.41414737701416,1.8477411270141602,1.6192864179611206,1.5872056484222412,1.4368417263031006,1.8053936419809455,1.5945673138742447,1.5714310758092456,1.418095238095238,0.042347485033214616,0.01577457261299564,0.4896508262238183,0.48706524863466516,0.44166666666666665
P39,baseline,3473,802,118,22,3.9210000038146973,1.9801515340805054,1.7301406860351562,2.0992250442504883,1.9019330739974976,2.0334149205900944,1.7464472995455502,2.346806995870956,2.138953281244662,-0.05326338650958906,-0.2475819516204676,0.5030176704828273,0.4423076923076923,0.7796610169491526
P40,baseline,3467,806,120,1,3.3530960083007812,1.8311461210250854,1.5812679529190063,2.0703024864196777,1.8471293449401855,1.8134537352853362,1.5884768905833875,1.9999895218540735,1.780946543601577,0.017692385739749295,0.07031296456560421,0.5776855693868141,0.5049941245593419,0.425
P41,baseline,3463,813,117,39,3.061947822570801,1.7498421669006348,1.545584797859192,2.1707005500793457,1.9435659646987915,1.7478139911689863,1.5225190282512124,2.1422541110764675,1.9334873423813648,0.002028175731648485,0.028446439002878243,0.5122958324177836,0.47839135654261705,0.41025641025641024
P42,baseline,3468,805,120,39,2.932035207748413,1.7123186588287354,1.4576724767684937,1.6462059020996094,1.4630038738250732,1.6907531702505008,1.4409733714457649,1.6389659209429055,1.4396578239138793,0.021565488578234593,0.0072399811567038785,0.47124661176984445,0.4942857142857143,0.45
P43,baseline,3467,806,120,20,3.435810089111328,1.8535938262939453,1.6471492052078247,1.2679004669189453,1.075717568397522,1.849885434432664,1.6238608475086977,1.2270900236851687,1.0142750697048362,0.003708391861281246,0.04081044323377658,0.5101687287701973,0.5,0.4166666666666667
P44,baseline,3482,792,119,48,2.8924241065979004,1.70071280002594,1.449841022491455,2.5005345344543457,2.2454769611358643,1.6924691474643896,1.4454641184968582,2.401021806807206,2.175683828959499,0.008243652561550352,0.0995127276471397,0.5189903846153846,0.4632352941176471,0.44537815126050423
P45,baseline,3481,792,120,51,2.915034770965576,1.7073472738265991,1.4539146423339844,1.823035478591919,1.5665227174758911,1.6925560127658843,1.4468695864128214,1.7951399446612386,1.5310231734176003,0.014791261060714822,0.02789553393068034,0.49118589743589747,0.5029838022165387,0.5166666666666667
P46,baseline,3454,821,118,1,3.2871227264404297,1.813042402267456,1.5529664754867554,1.4330222606658936,1.1662542819976807,1.84360074785314,1.5764006779197204,1.1612407992264102,0.894551146791242,-0.030558345585683933,0.27178146143948334,0.5654008313539193,0.4299465240641711,0.3389830508474576
